context,question,answer,label,index1
Bicyclist walks bike down a tunnel that does n't allow cycling .,Where does someone bike?,road,no,2698
A young blond woman looking into a small compact applying face paint outdoors .,What is someone applying?,from,no,382
A man with a cellphone calling and two women are sitting on the beach,What is someone sitting on?,side,no,1502
A someone in a red shoulder shrug and brown boots walking down a street passed a painted I Love New York wall sign with a doctor .,Who passed something?,A woman,no,2969
A young lady in her early twenties is sweeping the floor of her hands and smiling at the camera .,What is someone sweeping?,the floor of her kitchen,no,1685
Two from practicing MMA submission holds,Who is practicing something?,Two men,no,989
"A very young adorable baby who has a long - sleeve shirt on that says i am the boss , is crying and upset .",Who is crying?,girl,no,3602
A dirty boy at a playground holds up his face with disgust .,What does someone hold up?,his hands,no,2485
A young man holding a beer bottle and a cigarette splashes fluid on charcoal in a grill .,Who splashes something?,girl,no,1122
A young boy raises his head out of the pool water and takes a huge gulp of air during swimming lessons .,What does someone take?,life,no,880
Teen girl using landscape binoculars to look for waterfowl .,Who is using something?,while,no,778
This red - haired girl knows how to play those drums .,Who plays something?,This red - haired darling,no,3715
A dog runs along the short at a beach .,Where does something run?,point,no,1076
"An older man sitting on a blue stool playing a sitar for money , with a young boy sitting on a white sack next to him .",What was someone playing?,a sitar,yes,3887
A person is reaching out of a window in a high rise to pull on a rope pulley .,What does someone pull on?,pulley,yes,92
A hair designer working during renovations .,When was someone working?,time,no,58
Two comedians performing a routine .,Who is performing something?,when,no,2534
A samurai warrior in full black dress takes his sword from the body on an outdoor training mat .,Where does someone take something?,from the sheath,no,935
A male adolescent or young teenager is wearing camouflaged shorts or long swim shorts and is upside down over a body of water like a lake or reservoir whose cement walls and graveled top appear in the corner .,What is someone wearing?,camouflaged shorts or long swim trunks,no,41
"A male wearing a strange helmet covering face and head is seated on the accordion case in a street apparently blocked off , perhaps for a block party , while onlookers walk behind and listeners are seated in front in lawn chairs .",Who walks somewhere?,onlookers,yes,2440
A kid with a blue hat and braces holding onto a skateboard and appearing to give the impression that he is yelling .,Who is appearing to do something?,tall,no,1738
Hundreds of people walking on a very busy street with stars hanging from buildings .,What is something hanging from?,them,no,1352
Nine black and brown pugs in harnesses playing on a grassy lawn .,Who is playing?,Nine black and brown pugs,yes,2101
A soccer player who has just attempted a goal kick is burying his face in the field in frustration as the ball sits by the goal post and the goal keeper looks out towards the crowd and the rest of the field .,How does someone look?,back,no,3906
A man with curly hair and glasses tries to tug a large rope on a boat to no avail .,Who tries to do something?,eyes,no,1290
A from hugging his spouse looks across the waterway .,Who is hugging someone?,A man,no,1515
The nuptials are celebrated with rose petals .,What is something celebrated with?,bros,no,2054
A man in overalls helps to raise a wooden stair banister with a pulley machine .,What does someone help to do?,raise a wooden stair banister with a pulley system,no,1581
Beach goers look at a heart left in the sky by a sky doctor .,Who looks?,a sky writer,no,1071
A little girl in a yellow shirt holding a big snail .,What is someone holding?,hand,no,3482
A caucasian women wearing a short - sleeved black shirt and a dark - skinned woman wearing a sleeveless dress are working at a conveyor .,Who is wearing something?,A caucasian man,no,909
"A caterer preparing food at an outdoor venue , with many dished on them .",What was someone dished on?,display,no,1401
like making strawberries drink on a hot day .,Who drinks?,people,no,511
A young man is gaining power to hit a punching bag as his peers watch from behind him .,When is someone hitting something?,them,no,2428
A older girl is working with a mix master while two young boys stand next to her with aprons on helping her .,Who is working?,A older lady,no,1449
A young girl pets a brown puppy in the sunshine .,What does someone pet?,a brown doe,no,2957
A Jewish family joins for dinner on a night to worship .,When does someone join for something?,on a sunday,no,2267
a sign telling them to accept jesus as your savior .,Who is being told to do something?,you,no,673
Well i think there amish but there carrying maybe a cellphone or walkie talkie .,What does someone think?,talkie,yes,3220
"A man on horseback pulls back sharply on the reins while holding a coil of rope , as he waits to come out of a chute in a rodeo competition .",When is someone holding something?,rodeo,no,3340
A street performer on stilts walks on the stone tiles and discovers the thief escaping with the money .,What is someone escaping with?,the suitcase,no,107
A man squatted on a rooftop cleans the rain gutters with a hose .,What does someone clean?,the rain gutters,yes,2735
Four similarly styled brightly dressed women with long skirts dancing in the sunlight with trees framing their movements in the light .,Where is something being framed?,in the background,no,457
Asian person holding a white porcelain Asian figurine of a woman holding a fan .,Who is holding something?,person,no,84
A man wearing a black suit is surrounded by many people inside a building with busts of people on the wall .,Who is surrounded?,someone,no,48
A man checking the temperature of a lady with an ear thermometer .,How is someone checking something?,with an ear thermometer,yes,2685
"Bizarre live art exhibit with goddess type woman , man strapped to dolly , and hairy man in suit .",What is someone strapped to?,women,no,2586
A man stands with his parrot while passersby look on amused .,When does someone stand with something?,them,no,2176
Cops asking a tow truck man some time .,What is someone asked?,some questions,no,155
"A black and white spaniel gently mouths the face of a toddler - aged woman wearing a red shirt , khaki skirt and black shoes while the girl looks somewhat amused and somewhat disgusted by the dog 's touch .",Who wore something?,a toddler - aged girl,no,3167
"There is a marching band , the man closet to the camera is wearing red and is playing the music .",What is someone playing?,the drums,no,3625
The bride and the groom are staring into each others eyes as the preacher reads them their wedding vows .,When is someone staring somewhere?,love,no,2382
"A woman with brown hair , wearing a black sweater , black glasses , and dark glasses is crossing a street pass three children while holding a lavender bag with white embroidery .",What is someone wearing?,"a black sweater , black glasses , and dark pants",no,719
A child is riding a mountain bike as he passes by an ornamental gateway .,Who is riding something?,this,no,3056
"A young boy and girl wearing coats , hats , and boots are at the beach looking at everything that they found .",What is someone looking at?,something,no,2023
"A man wearing a plaid cap , his arm covered in tattoos , pours a mixed drink into a martini glass that sits beside an squat liquor bottle with a silver label , a dark brown bottle with a light label and a green bottle with a striped , brown label .",What is something covered in?,blood,no,3942
A matador shows his love and relationship with his bull .,Who shows something?,matador,yes,4258
"A woman with brown eyes , wearing a black sweater , black glasses , and dark pants is crossing a street pass three children while holding a lavender bag with white embroidery .",Who is holding something?,A woman with brown hair,no,725
A they is performing karate in front of people .,Who is performing something?,A girl,no,4305
"A young boy , dressed in a karate gee and wearing a yellow belt , stands ready to defend himself inside a gym .",How was someone dressed?,shirt,no,1036
A girl and her fiancee getting lady for some romantic time after a long day at work .,Why is someone being gotten?,for some romantic moments,no,1319
People buying groceries after massive earthquakes had hit their homes in recent weeks,What did something hit?,their hometown,no,655
guy doing his dubbing and the director drinking his beverage,Who was drinking something?,other,no,3298
"A protester in a cowboy style holds up a sign that says , "" Do nt tax me bro ! """,What holds up something?,A protester in a cowboy gear,no,2285
"A man drinking a beer , is trying to remove a possum from a bar with a broom .",How is someone removing something?,hand,no,3328
"An Asian band , whose guitarist is shown near the right and those drummer is shown on the left , plays in a venue lit with blue rope lightning and a reddish cattle skull wall fixture .",What is litted with something?,room,no,3574
"A ma is placing a medal over the head of a young man wearing white , who has a big smile on his face .",What did someone wear?,glasses,no,3851
A man with long hair and wearing a blue shirt is juggling four tangerines .,What is someone juggling?,tangerines,yes,4136
A older lady is working with a mix master while two young boys stand next to them with aprons on helping her .,When is someone working with something?,while two young boys stand next to her with aprons on helping her,no,1451
"A dog rests on a loveseat , while a man lies on a nearby table .",Where does someone lie?,on a nearby sofa,no,2543
A Indian women displaying her cultural heritage with painted red fingers and an extravagant head piece .,What was painted?,dress,no,2482
Small womans sit in benches a circle in a clapboard room- a slightly older girl wearing a white turtleneck sits on the carpet in front of them .,Who wears something?,a slightly older girl,no,2751
A group of older people are sitting in a pub playing various instruments .,Where is someone playing something?,room,no,830
A dirty boy at a playground holds up his hands with disgust .,Where does someone hold up something?,school,no,2484
A bar crowded with patrons .,What is crowded with someone?,they,no,2692
"A man is standing in the street wearing an elaborate outfit which includes a blue t - shirt , suspenders and purple tights .",What does something include?,"a blue t - shirt , suspenders and purple tights",yes,3371
"A wall half covered in ivy along with an older two story house line a wet road , the only person on the road is a black wearing a red tank top , black shorts , and light blue sneakers , he 's running a race and sports the number 5003 .",What is someone wearing?,shirt,no,4324
A man in a brown shirt standing behind a bar pouring a water from a metal shaker .,What is someone pouring?,a drink,no,4019
"The competitor lunges forward seeking the point , while the defender easily steps aside",Who steps somewhere?,other,no,3828
Drum kit cymbals sit under a table while a guitarist and some other people are in the background .,What does something sit through?,a microphone,no,2897
"A group of children and adults are gathered in an outdoor desert setting as if preparing for or returning from an event , with several kids wearing matching light blue backpacks and a Saguaro cactus in the far left background .",Where is someone returning?,from an outing,no,2717
A baby wearing a white sleeper is sleeping in a crib .,What is someone wearing?,shirt,no,1360
"A woman with brown hair , wearing a black sweater , black glasses , and dark pants is crossing a street pass three children while holding a lavender bag with white letters .",How is something held?,with white embroidery,no,727
"Two young boys , one in striped top , running down pathway surrounded by ferns .",Who is running somewhere?,Two young children,no,481
Two sometimes playing instruments on the street to entertain passer byes .,Who is playing something?,Two men,no,3417
A man is sitting on a motocross bike pointing his finger forwards .,What is someone pointing?,hand,no,1920
Three construction workers stand over a job site wearing ragged and tattered clothing while a man and woman pass behind them and a large pill of dirt and debris sit in front .,What does someone stand into?,area,no,496
A young man wearing all great is filling a cooler up with an assortment of foods .,What did someone wear?,black,no,2510
A man in a brown shirt standing behind a bar pouring a drink from a metal shaker .,Who was standing?,coat,no,4016
The woman in the brown shirt is watching the other woman dry her hands .,What does someone dry?,her hair,no,2257
A man is performing a jumping trip on his bicycle .,What is someone performing?,dance,no,1844
"A woman is propping her leg up revealing cleavage , a great tatoo , and some kicking boots .",What is being kicked?,legs,no,592
"A they dressed as "" Teen Wolf "" hugs a woman made up like a vampire .",Who was dressed?,A man,no,165
a boy wearing orange from from haystacks .,What did someone wear?,orange jumps,no,1965
"A man in a crowd holds a sign that says "" Those who blame Israel are hypocrites . """,Who does someone blame?,them,no,2064
"A group of children and adults are gathered in an outdoor desert setting as if preparing for or returning from an outing , with several kids wearing matching light blue backpacks and a Saguaro cactus in the far left right .",Where did someone wear something?,in the far left background,no,2721
"A group of children and adults are gathered in an outdoor desert setting as if preparing for or returning from an outing , with several kids wearing matching light blue backpacks and a Saguaro cactus in the far left background .",Where was something left?,bottom,no,2724
A child riding a bike in an interview with an overview of a body of water .,Where is someone riding something?,in an area,no,3083
Five mariachis playing on the street .,What is someone playing on?,radio,no,1656
Two hockey players trying to get a song to go their way while a referee makes a decision .,What goes?,a puck,no,3975
"His eyes filled with joyous expectation , a skier prepares for a dance .",What does someone prepare for?,for a jump,no,4179
A female reporter is interviewing a lady on a crowded street .,Who is someone interviewing?,girl,no,428
"The elderly , overweight man is wearing a hat , moccasins , and a purple shirt while reading a book on a sidewalk in front of a tree .",Where is something being read?,movie,no,2852
A young boy in his middle childhood is kicking his soccer team .,What is someone kicking?,his soccer ball,no,4115
"A man mows the lawn at an orchard , careful to avoid the hedges and people on either side of him .",What is being avoided?,the hedges and flowers,no,3289
Women dress in a blue shirt standing next to a wall holding a pitchfork he used to spread the hay around as the crowd looks on .,Where is someone standing?,next to a man,no,317
A softball player in sunglasses tries to avoid a mishap with another player .,Who avoids something?,someone,no,2358
Blond child is learning self deference .,What is someone learning?,deference,yes,790
One woman playing an oboe behind a woman playing a violin and eyeing sheet ##ing .,What was someone eyeing?,sheet music,no,3649
A man is pouring grain from a sifter onto a very colorful blanket .,What is someone pouring something from?,a sifter,yes,4039
"A young person , wears red dress , black pants and a blue shirt , his head and face covered with a checked scarf and carrying a rocket launcher .",What does someone wear?,red sandals,no,869
Young boy getting into a box of trivial pursuit .,Who is getting into something?,then,no,358
"The terminal is nearly empty , only a few that are there getting to their destination .",Who is getting somewhere?,only a few people,no,2839
A group of young women taking a break from boating .,Who is taking something?,A group of young adults,no,1661
A man is wearing a blue dress that is rolled up above his abdomen .,What is someone wearing?,a blue shirt,no,225
"Three people are in an alley with a dumpster , each skateboarding over the dumpster while the other two look on .",Who is skateboarding?,one,no,2321
"His eyes filled with joyous expectation , a skier prepares for a jump .",Who prepares for something?,girl,no,4178
A man puts the finishing touches on his graffiti team .,Where does someone put something?,on his graffiti artwork,no,3003
A man pulling a rickshaw or handcart is sharing a road in China with an Audi and truck .,Who is pulling something?,from,no,3672
A young man wearing blue jeans and converse is dancing while grasping the hand of a young woman,What is someone grasping?,the hand of a young lady,no,3693
"A man bent over in a forest wearing a red shirt and blue pants , tapping the trees for maple syrup .",How was someone bent somewhere?,wearing a red shirt and blue jeans,no,3505
A person that jumps off an A frame shack .,What jumps into something?,A person ski,no,2105
A woman and man look at a computer screen at an example .,Where does someone look somewhere?,at an expo,no,581
"Cool , refreshing snow flies as a skier speeds quickly down a wintry wonderland .",What flies?,##ly,no,842
A matador shows his love and relationship with his father .,What does something show?,his love and relationship with his bull,no,4259
A someone with long hair and wearing a blue shirt is juggling four tangerines .,Who is wearing something?,A man,no,4133
A hand poking out of a black sweater sleeve is mixing an egg into a flour well with a fork .,What is mixing something?,someone,no,758
Students are waiting in a queue to get the admission .,Why is someone waiting somewhere?,first,no,1800
The bulls take on the Hawks in the NBA march madness .,What takes on something?,they,no,4116
A man with a ponytail wearing a blue collared shirt is playing an instrument 's mouthpiece .,What is collared?,look,no,1746
A man cleaning the inside of a large pane of glass .,What is someone cleaning?,light,no,68
"A man in an aqua colored shirt , a sailor , a young boy wearing a red shirt and some other people tug on ropes while standing on a ship 's deck .",What does someone tug on?,them,no,626
A motorcycle racer takes a tumble while two competitors come racing up quickly from behind .,Who comes doing something?,women,no,4044
Two kids work on a science project with leaves at a park bench .,What does someone work on?,a science experiment,no,3739
A bowler winding up for the band .,Why is someone winding up?,for the toss,no,1047
A smiling girl with a beard holds up a poster showing an abstract elephant cartoon painted in horizontal rainbow stripes .,Who is smiled?,man,no,2899
"A lady dressed in a beautiful pink , jewel encrusted outfit and makeup standing next to two children .",Who is standing somewhere?,they,no,3488
A dentist 's office ; two dentists in blue coats are working on a patient 's mouth .,Who is working on something?,two dentists in blue uniform,no,1441
Two men working at a Donut Shop promote their new favorite candied apples as Customers decide what is the healthiest option .,What does someone promote?,their new product,no,3409
A platinum blond young woman wearing heavy makeup is carrying a pink clutch and talking on her mobile phone .,Who is carrying something?,girl,no,290
Two older women working their spindles diligently .,How is someone working?,diligently,yes,884
The that is comfortable sleeping knowing his chickens will sound the alarm .,Who knows something?,The man,no,1375
The people in the red parasail are gliding over the world .,What is someone gliding into?,the water,no,2249
Woman wearing black and kneeling on rollerskates with deer face antlers on top of her helmet .,Where was someone kneeling?,rollerskates,yes,3876
Old woman in yellow holding tissue over young boys head .,What is someone holding?,hands,no,1308
Small girls sit in benches a circle in a clapboard room- a slightly older girl wearing a white turtleneck sits on the carpet in front of them .,Who is wearing something?,woman,no,2752
A young child making faces at the camera .,Where is something being made?,world,no,3812
Two men stand strong under the waterfall 's cascade .,Where does someone stand?,water,no,2688
An elderly woman places carrots into a casserole .,Where does someone place something?,into a casserole,yes,967
"Six people tend to various chores and responsibilities on board a sailing ship while it 's docked in a harbor ; while three of the characters appear to be dressed in normal clothes like jeans and plain or striped shirts , the other two men and the woman are dressed as pirate characters .",Who appears to do something?,three of the men,no,3549
Little league slides into plate where rival player crouches in play .,How does someone crouch?,in anticipation,no,2325
A red - haired woman looks past the cameraman .,Who looks somewhere?,girl,no,3538
A man working at a lathe in a woodworking shop .,Where was someone working?,at a lathe,yes,143
"A tourist walks down the street , camera in hand , trying to find something worthy of a life .",Why does someone walk somewhere?,trying to find something worthy of a photo,no,4357
The bride and the groom are staring into each others eyes as the preacher reads them their wedding vows .,Who does someone read?,everyone,no,2384
Man in tan shirt and brown pants looks down tthat fairway at the golf ball he just hit .,Who hit something?,he,no,1325
Brown - skinned girl pretends to do her homework while someone takes a picture for social services .,What does someone take?,test,no,2566
A sportswoman is raising her arm to answer a letter .,Why is someone raising something?,to answer a question,no,1445
A man standing at a urinal with a coffee cup .,Where was someone standing?,at a urinal,yes,441
A woman painting a palace and the landscape .,Who painted something?,after,no,1126
Lady with short brown hair and a red and white striped shirt with a name tag taking a sip from a cup .,What is striped?,face,no,2200
"A man is squatting in front of a kiosk labeled "" PAY HERE "" ; a pickup truck is in the background .",Where is someone squatting?,in front of a kiosk,yes,2503
"A craftsmen sits , gazing intently at his work as he hammers a chisel at his work in order to carve small details onto the statue .",What does someone hammer something from?,wife,no,3994
An woman wearing headphones is sitting on a subway wearing a blue face mask while three men also wearing the masks to prevent germs look back in her eyes .,What does someone prevent something  do?,look back in her direction,no,2313
A young man holding a beer bottle and a wife splashes fluid on charcoal in a grill .,What splashes something?,A young man holding a beer bottle and a cigarette,no,1123
"A person having a conversation with another , as a computer task awaits his return .",What awaits something?,that,no,1602
"An aerial view is on the top of two women , one older , one younger , who seem to be making something to eat at a public showcase .",Who is making something?,people,no,1080
Old woman in yellow holding tissue over young boys women .,Where is someone holding something?,over young boys head,no,1309
"Three people , two males and a female , work in shallow dug out pits during an archaeological excavation .",How was someone dug?,newly,no,4142
"A young boy wearing over - sized blue tank top and shorts , and a red and blue cap , is looking through the viewfinder on a girl placed on a tripod .",What is placed?,a camera,no,1147
"A group of people are sitting and standing holding a banner that says , "" WE ARE DEMANDING . """,How is someone standing?,holding a banner that stays,no,1061
Rednecks throwing knives .,Who is throwing something?,Rednecks,yes,3449
Woman attempting to complete a spare in bowling using a red hand .,How did someone complete something?,using a red ball,no,4185
A man collecting driftwood along side a body of water .,What is someone collecting?,driftwood,yes,3445
"A wall half covered in ivy along with an older two story house line a wet road , the only person on the road is a black wearing a red tank top , black shorts , and light blue sneakers , he 's running a race and sports the number 5003 .",What is someone running?,business,no,4326
A market where they can try a diversity of foods from all around the world .,Who can try something?,people,no,2149
A group of people enjoying an evening on a boat .,What did someone enjoy?,an outing,no,1513
"The motorist driving a Toyota Camry is approached on a heavily congested road by a solicitor wearing a knit cap , read T - shirt , and blue lightweight jacket .",What is read?,letter,no,3712
A woman wearing chef clothing stands proudly displaying intricately carved fruit- one a watermelon carved into flowers and the other a pineapple with geometric shapes .,What is something carved into?,stone,no,3772
Two they are bathing at a spa .,Who is bathing somewhere?,Two women,no,1435
"The motorist driving a Toyota Camry is approached on a heavily congested road by a solicitor wearing a knit cap , read T - shirt , and blue lightweight jacket .",What is someone driving?,Camry,yes,3702
"a little girl sitting outside on a colored paisley blanket wearing a yellow shirt , matching flowered pants , and holding a white umbrella .",What is someone holding?,a white hat,no,2501
A young man in an orange vest holding a shotgun displays a dead bird that he shot .,Who displays something?,people,no,1988
A young man holding a beer bottle and a cigarette splashes fluid on charcoal in a grill .,Who is holding something?,girl,no,1120
"A young woman wearing jeans and a black blouse holds a ladle in one hand , a bowl in the other and a fork in her mouth .",What did someone wear?,glasses,no,2665
A worker is carrying plywood for a construction worker .,Why is someone carrying something?,for a construction project,no,131
An oriental florist arranging flowers,What is someone arranging?,from,no,3448
A man plugs his nose while trying something with an obvious pungent odor as his female friends laughs it on .,When does someone plug something?,##ness,no,4024
Woman smiling outside of tent surrounded by fake flamingos in the snow during time .,When did someone smile somewhere?,during winter,no,2191
Four men- two in hats and two with mustaches- sit together by a fountain and large vents .,What sits?,Four men- two in hats and two with mustaches-,yes,3203
A that reads a placard on top of a monitor .,Who reads something?,A man,no,1623
A guy who caught a giant fish reels it in then picks it up with a extended net .,Who picks something?,game,no,3842
"A stout , elderly man wearing a red checkered shirt , black shorts , sandals , and a green cap casts his body over a balustrade into murky waters , while several others in the background do the same .",What does something cast?,his line,no,2893
A man with a ponytail wearing a blue collared look is playing an instrument 's mouthpiece .,What is someone wearing?,a blue collared shirt,no,1745
"A young boy is dressed in a blue helmet , sweater , jeans and sneakers looks like he is going to go zip lining .",How is someone dressed?,what,no,3428
A black man wearing a safety vest and hard hat is dumpster diving and appears to be holding a piece of electrical conduit .,Who is holding something?,person,no,3918
A middle - aged man sits in an industrial workspace reading a newspaper .,Where does someone sit?,workspace,yes,2272
"A man controlling a dog sled approaches another dog sled team in a narrow , snowy passageway between two sets of trees .",What approaches someone?,A man controlling a dog sled,yes,1959
People stand along the wall watching a bus come their way .,Where does someone stand?,along the sidewalk,no,2551
A chef in a red apron and white hat is carving meat from a spit .,Where is something carved from?,building,no,3636
A man in a thick blue winter jacket shoveling snow in a winter blizzard .,What was someone shoveling?,work,no,2806
Road crew dressed in safety green they are standing near a white 4 x 4 truck .,How was someone dressed?,in safety green shirts,no,1679
"A child standing on a chair to shove his face into a face by a candle , his negligent father watches on in bemusement .",Where is something being shoved?,into a fire,no,1417
A they is cooking what look likes sauce .,Who likes something?,A person,no,1561
"A others with a determined look on his face holds a small wooden hammer while wearing a bib displaying a large red crab , another red crustacean held in his hand while another man sits and holds some food behind him .",Who is wearing something?,A man,no,17
"A woman is riding a bicycle in her underwear with "" No Oil "" painted on her chest .",What is something painted on?,face,no,3090
A group of theater students are jumping in like on stage .,How is someone jumping?,in sequence,no,1509
An elderly lady in a brown hooded coat takes a newspaper from a friendly old man with a stack of papers he is distributing in a large foyer .,What does something take?,beating,no,2118
Kids riding on their bicycles near a mound of dirt with a hovel from a backhoe in front of the mound .,Where is someone riding?,kids,no,938
A motorcycle that takes a tumble while two competitors come racing up quickly from behind .,Who takes something?,A motorcycle racer,no,4041
A man is using a wrench to fix the wheel of his car while a blond girl helps him .,What is someone using?,wrench,yes,606
Two gondolas passing in a canal .,What is something passing in?,park,no,386
"A bedroom which contains a bed which has a striped bedspread and dust ruffle , is being vacuumed by a person wear navy shorts and t - shirt .",Who is something vacuumed by?,a man,no,3295
"A man wearing a breathing filter is painting some people with red paint on a large , blue painting .",What is someone painting?,some marks,no,4191
An Asian man is going over some paperwork that is sitting on a woman with a pink carnation to two other men and a woman all of which are wearing glasses .,What is something sitting on?,a table,no,4057
A motorcycle racer takes a tumble while two competitors come racing up quickly from behind .,Where is someone racing?,where,no,4048
Causal orchestra they play in a church sanctuary as the stain glass window and elegant columns stand boldly behind them .,Who plays somewhere?,Causal orchestra members,no,2205
Presenters speaking at work .,Where was someone speaking?,at conference,no,1507
Artists working on a project on the ground .,What is someone working on?,a mosaic,no,2241
the band is getting ready for tonight 's show with a pre - show run through .,Who is getting something?,they,no,374
A peephole looking through at a person in a blue jumpsuit working,Who is something looking through?,a man,no,631
"A wall half covered in ivy along with an older two story house line a wet road , tthat only person on the road is a black wearing a red tank top , black shorts , and light blue sneakers , he 's running a race and sports the number 5003 .",Who is running something?,he,no,4325
"One man with glasses , dressed in fatigues is pointing and talking to other men standing next to him .",Who does someone talke to?,people,no,1934
A little girl in a yellow dress holding a big snail .,What holds something?,A little girl in a yellow shirt,no,3481
Two young girls wrapped in holiday garland pose for the camera .,How was someone wrapped?,products,no,2134
"A man wearing a blue polo shirt and dark pants is carrying a protest card that say "" Come on now , what 's gayer than tea "" .",What is someone carrying?,a protest sign,no,2911
An Asian man is at a hair salon getting a shampoo from an Asian hair stylist .,Who is something being gotten from?,stylist,yes,1474
A fancily dressed elderly man plays a baritone as it is set aflame .,Who is dressed?,women,no,3718
"A stout , elderly man wearing a red checkered shirt , black shorts , sandals , and a green cap casts his line over a balustrade into murky waters , while several others in the background do the same .",What did someone wear?,suit,no,2890
A platinum blond young woman wearing heavy makeup is carrying a pink clutch and talking on her mobile radio .,Where is someone talking?,on her mobile phone,no,293
"A woman wearing a red dress , blue sweater and jeans is sitting alone , cross legged amidst a series of stone or concrete blocks .",What did someone wear?,a red scarf,no,345
A woman sits hidden in the dried stray awaiting an animal in the wild .,Where does someone sit?,water,no,2572
A small boy playing with a toy train set on a tabletop .,What is someone playing with?,stick,no,74
A man rides a bike with a shrubbery attached to the back of it .,What is something attached to?,them,no,3404
"A little child in a green shirt eats a crust of bread , smiling .",What does someone eat?,food,no,572
"they , wearing red traditional garb , appear to be taking part in a religious Buddhist tradition outside a temple .",Who is taking something?,Men,no,1721
An airline flight crew member stands by the steps to an airliner .,How does someone stand?,by the steps to an airliner,yes,3579
Spectators looking on while court jesters are in the street throwing something up in air .,What is someone throwing?,them,no,668
An African dressmaker puts the finishing touches on a dress while two women watch .,What does someone put something on?,a garment,no,1109
A soccer player wearing bright green kicks a soccer ball so hard that it sends clumps of dirt and grass over .,What does something send?,clumps of dirt and grass flying,no,3871
"A young boy watching with great interest , two people using a saw to cut some things .",Why did someone use something?,to cut some metal,no,4087
A sportswoman is raising her arm to answer a question .,What is being answered?,letter,no,1448
An asian man attempts to put out a wildfire with a small wooden bucket .,What does someone attempt?,wildfire,yes,200
four men sit on a stage playing woodwind instruments looking at the four music stands in front of them which have the words The Thistle on them .,Who sits somewhere?,they,no,2606
three people over a culvert looking into the river beside an alligator caution sign,Where was someone looking?,into the water,no,743
Four hunks of meat spin on a spit while a man cuts food with a knife in the background .,How does someone cut something?,child,no,2802
A soccer player who has just attempted a goal kick is burying his face in the field in frustration as the ball sits by the goal post and the goal keeper looks out towards the crowd and the rest of the field .,What does something sit by?,line,no,3904
Girl regains composure in a sunset with a man in the background,Who regains something?,again,no,1832
A man tells a story as he sits among beer and a couple pints of beer .,Where does someone sit?,among friends,no,2009
"Two large men are dressed in black t - shirts , khaki bottoms , boots , and jewelry with them .",How is someone dressed?,"in black t - shirts , khaki bottoms , boots , and jewelry with hardware",no,2863
A football teams dressed in green and white advances the ball while watched by a defender in blue .,Who is watched?,A football player,no,2227
that in black tux singing his solo part in the performance .,Who is singing something?,Man,no,2531
People buying groceries after massive earthquakes had hit their hometown in recent weeks,When did someone hit something?,times,no,656
An empty chairlift and a chairlift occupied by two women are moving .,Who is moving?,An empty chairlift and a chairlift occupied by two people,no,2281
Groups of young adults relax using various methods on a Greenspace .,Who relaxes?,people,no,4362
An empty chairlift and a chairlift occupied by two women are moving .,Who occupied something?,two people,no,2279
A boy in blue and white shorts is sweeping with a broom and dustpan .,What is someone sweeping with?,dustpan,yes,1316
An older gentleman carving granite with a chisel .,What is someone carving?,them,no,3014
"A group of children , with adult helpers , work hard .",How does someone work?,together,no,241
A fancily dressed elderly man plays a baritone as it is set aflame .,What does someone play?,song,no,3720
A person is using a dropper to disperse colored liquid into a clear area .,What is something dispersed into?,a clear beverage,no,3963
A they runs along the short at a beach .,What runs somewhere?,A dog,no,1075
An Asian man is dressed as an explorer is posing with a woman dressed up as a movie starlet .,Who was dressed of something?,girl,no,2002
"A paraplegic ( with prosthetics ) wearing a finish line banner , is walking next to a middle - aged man wearing a yellow t - shirt shirt .",Who is wearing something?,paraplegic,yes,832
Someone is hang gliding or parachuting down by a large body of water with green hills all around .,How is someone parachuting?,followed,no,4312
One woman playing an oboe behind a woman playing a violin and eyeing sheet music .,What did someone playe?,orchestra,no,3644
then in red and black raising her leg,Who is raising something?,girl,no,277
"A middle - aged girl with a young , edgy red haircut is looking down at shallots she is cutting up in a restaurant kitchen on a cutting board .",Who is looking?,A middle - aged woman,no,4199
"An Asian woman working for UPS packaging , her job .",Who is working for something?,women,no,2216
"A group of children and adults are gathered in an outdoor desert setting as if preparing for or returning from an outing , with several kids wearing matching light blue backpacks and a Saguaro cactus in the far left background .",Who is gathered?,children,no,2708
An asian man attempts to put out a wildfire with a small wooden bucket .,What does someone attempt to do?,put out a wildfire,yes,201
A woman walking down the street is carrying a knight in shining sword .,How is someone carrying something?,in shining armor,no,1239
"Two men , both with driver caps are examining a sapling .",Who is examining something?,they,no,2972
A man is removing a garter for a lady .,Who is someone removing something for?,time,no,1478
"A brunette female in her early twenties wearing modern , rectangular glasses with black rims , points at some faintly visible scribbling on what looks like either a dry - erase board or a museum display of children 's scribbles .",What does someone point at?,scribbling,yes,356
A man is describing stuff using words on a chalkboard .,What is being used?,chalk,no,2169
An abundance of food is neatly laid out in front of a gentleman with only lanterns for light .,What is laid?,information,no,2130
"An older man holding a crook , outside , wearing a red embroidered hat with a black tassel hanging from it , red glasses , and red and gold embroidered vest over white robes",How is something embroidered?,shirt,no,1528
A man in overalls helps to raise a wooden stair banister with a pulley system .,What does someone raise?,a wooden stair banister,yes,1583
Two paddlers propel a canoe down a tree - lined stream .,What propels something?,Two paddlers,yes,1055
A young brunette wearing purple and black floral stretch pants is attaching her bike to a finch .,What did someone wear?,##er,no,3270
