context,question,answer,start,end
A woman walking down the street is carrying a knight in shining armor .,Who is carrying something?,A woman,0,1
A woman walking down the street is carrying a knight in shining armor .,What is someone carrying?,a knight,8,9
A woman walking down the street is carrying a knight in shining armor .,How is someone carrying something?,in shining armor,10,12
A woman walking down the street is carrying a knight in shining armor .,What is shining?,armor,12,12
"Cubs fans have paper bags on their heads that spell out "" CUBS . """,What spells up something?,paper bags,3,4
"Cubs fans have paper bags on their heads that spell out "" CUBS . """,What does something spell up?,CUBS,12,12
Man dressed up in black and brown and holding a white light saber .,Who was dressed?,Man,0,0
Man dressed up in black and brown and holding a white light saber .,How was someone dressed?,in black and brown,3,6
Man dressed up in black and brown and holding a white light saber .,What was someone dressed of?,black and brown,4,6
Man dressed up in black and brown and holding a white light saber .,Who is holding something?,Man,0,0
Man dressed up in black and brown and holding a white light saber .,What is someone holding?,a white light saber,9,12
A woman in blue flats is holding a man 's hand .,Who is holding something?,A woman,0,1
A woman in blue flats is holding a man 's hand .,What is someone holding?,a man 's hand,7,10
A woman in a yellow hat and yellow shirt holding her hand out like a claw .,Who is holding something?,A woman,0,1
A woman in a yellow hat and yellow shirt holding her hand out like a claw .,What is being held?,her hand,10,11
A woman in a yellow hat and yellow shirt holding her hand out like a claw .,How is something being held?,out,12,12
An upset woman with her makeup streaming down her face from her tears .,What is streaming?,her makeup,4,5
An upset woman with her makeup streaming down her face from her tears .,Where is something streaming?,down her face,7,9
A man in a black shirt is playing percussion on a set of empty five gallon buckets .,Who is playing something?,A man,0,1
A man in a black shirt is playing percussion on a set of empty five gallon buckets .,What is someone playing?,percussion,8,8
A man in a black shirt is playing percussion on a set of empty five gallon buckets .,Where is something being played?,on a set of empty five gallon buckets,9,16
A man in a green machine is cleaning a pump in front of the Drake hotel .,Who is cleaning something?,A man,0,1
A man in a green machine is cleaning a pump in front of the Drake hotel .,What is someone cleaning?,a pump,8,9
A man in a green machine is cleaning a pump in front of the Drake hotel .,Where is someone cleaning something?,in front of the Drake hotel,10,15
the young children are petting a piglet,Who is petting something?,the young children,0,2
the young children are petting a piglet,What is someone petting?,a piglet,5,6
A man throws a disc in a park .,Who throws something?,A man,0,1
A man throws a disc in a park .,What does someone throw?,a disc,3,4
A man throws a disc in a park .,Where does someone throw something?,in a park,5,7
A father and his son cutting a cake during a dinner party held at their residence in texas .,Who was cutting something?,A father and his son,0,4
A father and his son cutting a cake during a dinner party held at their residence in texas .,What was someone cutting?,a cake,6,7
A father and his son cutting a cake during a dinner party held at their residence in texas .,When did someone cut something?,during a dinner party,8,11
A father and his son cutting a cake during a dinner party held at their residence in texas .,Where did someone cut something?,at their residence in texas,13,17
A father and his son cutting a cake during a dinner party held at their residence in texas .,What was held somewhere?,a dinner party,9,11
A father and his son cutting a cake during a dinner party held at their residence in texas .,What was held?,dinner party,10,11
A father and his son cutting a cake during a dinner party held at their residence in texas .,Where was something held?,at their residence in texas,13,17
A man is cleaning his yard with a leaf blower .,Who is cleaning something?,A man,0,1
A man is cleaning his yard with a leaf blower .,What is someone cleaning?,his yard,4,5
A man is cleaning his yard with a leaf blower .,How is someone cleaning something?,with a leaf blower,6,9
A man is cleaning his yard with a leaf blower .,What is someone cleaning something with?,a leaf blower,7,9
A man plays a recorder to a seagull by a brick wall .,Who plays something?,A man,0,1
A man plays a recorder to a seagull by a brick wall .,What does someone play?,a recorder,3,4
A man plays a recorder to a seagull by a brick wall .,Where does someone play something?,to a seagull,5,7
A man plays a recorder to a seagull by a brick wall .,Who does someone play something to?,a seagull,6,7
A man plays a recorder to a seagull by a brick wall .,How does someone play something?,by a brick wall,8,11
A woman is sitting on a lawn chair holding a blown up of Incredible Hulk .,Who is sitting?,A woman,0,1
A woman is sitting on a lawn chair holding a blown up of Incredible Hulk .,Where is someone sitting?,on a lawn chair,4,7
A woman is sitting on a lawn chair holding a blown up of Incredible Hulk .,What is someone sitting on?,a lawn chair,5,7
A woman is sitting on a lawn chair holding a blown up of Incredible Hulk .,How is someone sitting somewhere?,holding a blown up of Incredible Hulk,8,14
A woman is sitting on a lawn chair holding a blown up of Incredible Hulk .,Who is holding something?,A woman,0,1
A woman is sitting on a lawn chair holding a blown up of Incredible Hulk .,What is holding something?,a lawn chair,5,7
A woman is sitting on a lawn chair holding a blown up of Incredible Hulk .,What is someone holding?,a blown up of Incredible Hulk,9,14
A woman is sitting on a lawn chair holding a blown up of Incredible Hulk .,What is blown of?,Incredible Hulk,13,14
A man with curly hair and glasses tries to tug a large rope on a boat to no avail .,Who tries to do something?,A man with curly hair and glasses,0,6
A man with curly hair and glasses tries to tug a large rope on a boat to no avail .,What does someone try?,to tug a large rope on a boat,8,15
A man with curly hair and glasses tries to tug a large rope on a boat to no avail .,What does someone try to do?,tug a large rope on a boat,9,15
A man with curly hair and glasses tries to tug a large rope on a boat to no avail .,Why does someone try to do something?,to no avail,16,18
A man with curly hair and glasses tries to tug a large rope on a boat to no avail .,Who tugs something?,A man with curly hair and glasses,0,6
A man with curly hair and glasses tries to tug a large rope on a boat to no avail .,What is being tugged?,a large rope,10,12
A man with curly hair and glasses tries to tug a large rope on a boat to no avail .,Where is something being tugged?,on a boat,13,15
A man with curly hair and glasses tries to tug a large rope on a boat to no avail .,Why is something being tugged somewhere?,to no avail,16,18
A man in a purple shirt adding sugar to a bowl of orange mush .,Who is adding something?,A man,0,1
A man in a purple shirt adding sugar to a bowl of orange mush .,Who adds something?,A man in a purple shirt,0,5
A man in a purple shirt adding sugar to a bowl of orange mush .,What is being added?,sugar,7,7
A man in a purple shirt adding sugar to a bowl of orange mush .,Where is something being added?,to a bowl of orange mush,8,13
A man in a purple shirt adding sugar to a bowl of orange mush .,What is something added to?,a bowl of orange mush,9,13
A male doctor takes measure of a woman 's blood pressure .,Who takes something?,A male doctor,0,2
A male doctor takes measure of a woman 's blood pressure .,What does someone take?,measure,4,4
Two men are lying in red cots on the side of a mountain .,Who is lying?,Two men,0,1
Two men are lying in red cots on the side of a mountain .,Where is someone lying?,in red cots,4,6
Old woman in yellow holding tissue over young boys head .,Who is holding something?,Old woman,0,1
Old woman in yellow holding tissue over young boys head .,What is someone holding?,tissue,5,5
Old woman in yellow holding tissue over young boys head .,Where is someone holding something?,over young boys head,6,9
Old woman in yellow holding tissue over young boys head .,Who heads?,young boys,7,8
"The mother is in the kitchen cleaning , she has her cleaning clothes on .",Who is cleaning?,The mother,0,1
"The mother is in the kitchen cleaning , she has her cleaning clothes on .",Who is cleaning something?,she,8,8
"The mother is in the kitchen cleaning , she has her cleaning clothes on .",What is being cleaned?,clothes,12,12
A boy in blue and white shorts is sweeping with a broom and dustpan .,Who is sweeping with something?,A boy,0,1
A boy in blue and white shorts is sweeping with a broom and dustpan .,How is someone sweeping?,with a broom and dustpan,9,13
A boy in blue and white shorts is sweeping with a broom and dustpan .,What is someone sweeping with?,a broom and dustpan,10,13
A girl and her fiancee getting lady for some romantic moments after a long day at work .,Who got someone?,A girl and her fiancee,0,4
A girl and her fiancee getting lady for some romantic moments after a long day at work .,Who did someone get?,lady,6,6
A girl and her fiancee getting lady for some romantic moments after a long day at work .,Why is someone being gotten?,for some romantic moments,7,10
A girl and her fiancee getting lady for some romantic moments after a long day at work .,When did someone get someone?,after a long day at work,11,16
Man in tan shirt and brown pants looks down the fairway at the golf ball he just hit .,Who looks somewhere?,Man in tan shirt and brown pants,0,6
Man in tan shirt and brown pants looks down the fairway at the golf ball he just hit .,Where does something look?,down the fairway,8,10
Man in tan shirt and brown pants looks down the fairway at the golf ball he just hit .,Where does someone look somewhere?,at the golf ball he just hit,11,17
Man in tan shirt and brown pants looks down the fairway at the golf ball he just hit .,What did someone hit?,the golf ball,12,14
Man in tan shirt and brown pants looks down the fairway at the golf ball he just hit .,Who hit something?,he,15,15
A young girl playing with two plastic and foam toy rockets .,Who is playing with something?,A young girl,0,2
A young girl playing with two plastic and foam toy rockets .,What is someone playing with?,two plastic and foam toy rockets,5,10
A young boy in a blue shirt examining a baby crocodile while at the zoo .,Who was examining something?,A young boy,0,2
A young boy in a blue shirt examining a baby crocodile while at the zoo .,Who examined something?,A young boy in a blue shirt,0,6
A young boy in a blue shirt examining a baby crocodile while at the zoo .,What was someone examining?,a baby crocodile,8,10
A young boy in a blue shirt examining a baby crocodile while at the zoo .,When did someone examine something?,while at the zoo,11,14
A woman wearing a mock ancient Egyptian headdress .,Who wore something?,A woman,0,1
A woman wearing a mock ancient Egyptian headdress .,What did someone wear?,a mock ancient Egyptian headdress,3,7
The dirty vehicle is caught in a flood .,What is caught in something?,The dirty vehicle,0,2
The dirty vehicle is caught in a flood .,Where is something caught?,in a flood,5,7
The dirty vehicle is caught in a flood .,What is something caught in?,a flood,6,7
A barefoot man laying down in the crevice under a bridge .,Who is laying somewhere?,A barefoot man,0,2
A barefoot man laying down in the crevice under a bridge .,How was someone laying?,down,4,4
A barefoot man laying down in the crevice under a bridge .,Where is someone laying?,in the crevice,5,7
A barefoot man laying down in the crevice under a bridge .,Where is someone laying somewhere?,under a bridge,8,10
A man wearing a red shirt and a white and dark cap is standing underneath a canopy outside a building .,Who is wearing something?,A man,0,1
A man wearing a red shirt and a white and dark cap is standing underneath a canopy outside a building .,What did someone wear?,a red shirt,3,5
A man wearing a red shirt and a white and dark cap is standing underneath a canopy outside a building .,Who is standing somewhere?,A man,0,1
A man wearing a red shirt and a white and dark cap is standing underneath a canopy outside a building .,What is standing?,A man wearing a red shirt and a white and dark cap,0,11
A man wearing a red shirt and a white and dark cap is standing underneath a canopy outside a building .,Where is someone standing?,underneath a canopy,14,16
Hundreds of people walking on a very busy street with stars hanging from buildings .,Who is walking somewhere?,Hundreds of people,0,2
Hundreds of people walking on a very busy street with stars hanging from buildings .,Where was someone walking?,on a very busy street,4,8
Hundreds of people walking on a very busy street with stars hanging from buildings .,What is someone walking on?,a very busy street,5,8
Hundreds of people walking on a very busy street with stars hanging from buildings .,How was someone walking somewhere?,with stars hanging from buildings,9,13
Hundreds of people walking on a very busy street with stars hanging from buildings .,What is hanging?,stars,10,10
Hundreds of people walking on a very busy street with stars hanging from buildings .,Where was something hanging?,from buildings,12,13
Hundreds of people walking on a very busy street with stars hanging from buildings .,What is something hanging from?,buildings,13,13
Man at party receiving beer pillow gift .,Who is receiving something?,Man,0,0
Man at party receiving beer pillow gift .,Where is someone receiving something?,at party,1,2
Man at party receiving beer pillow gift .,What is someone receiving?,beer pillow gift,4,6
Too hooded figures walk through a thicket .,What walks?,Too hooded figures,0,2
Too hooded figures walk through a thicket .,Where does something walk?,through a thicket,4,6
Too hooded figures walk through a thicket .,What does something walk into?,a thicket,5,6
A baby wearing a white sleeper is sleeping in a crib .,Who is wearing something?,A baby,0,1
A baby wearing a white sleeper is sleeping in a crib .,What is someone wearing?,a white sleeper,3,5
A baby wearing a white sleeper is sleeping in a crib .,Who is sleeping?,A baby,0,1
A baby wearing a white sleeper is sleeping in a crib .,Where is someone sleeping?,in a crib,8,10
A baby wearing a white sleeper is sleeping in a crib .,What is someone sleeping in?,a crib,9,10
A boy stands overlooking a schoolyard where other children play .,Who stands somewhere?,A boy,0,1
A boy stands overlooking a schoolyard where other children play .,Where does someone stand?,overlooking a schoolyard,3,5
A boy stands overlooking a schoolyard where other children play .,Who is overlooking something?,A boy,0,1
A boy stands overlooking a schoolyard where other children play .,What is someone overlooking?,a schoolyard,4,5
A boy stands overlooking a schoolyard where other children play .,Where does someone play?,a schoolyard,4,5
A boy stands overlooking a schoolyard where other children play .,Who plays?,other children,7,8
A native girl in a green shirt readies a slingshot .,Who readies something?,A native girl,0,2
A native girl in a green shirt readies a slingshot .,What does someone ready?,a slingshot,8,9
The man is comfortable sleeping knowing his chickens will sound the alarm .,Who is sleeping?,The man,0,1
The man is comfortable sleeping knowing his chickens will sound the alarm .,How is someone sleeping?,comfortable,3,3
The man is comfortable sleeping knowing his chickens will sound the alarm .,Why is someone sleeping?,knowing his chickens will sound the alarm,5,11
The man is comfortable sleeping knowing his chickens will sound the alarm .,Who knows something?,The man,0,1
The man is comfortable sleeping knowing his chickens will sound the alarm .,What does someone know?,his chickens will sound the alarm,6,11
The man is comfortable sleeping knowing his chickens will sound the alarm .,What will sound something?,his chickens,6,7
The man is comfortable sleeping knowing his chickens will sound the alarm .,What will something sound?,the alarm,10,11
A large group of people that look korean riding on a train in the middle of the wilderness during the fall .,Who looks?,A large group of people,0,4
A large group of people that look korean riding on a train in the middle of the wilderness during the fall .,How does someone look?,korean,7,7
A large group of people that look korean riding on a train in the middle of the wilderness during the fall .,When does someone look something?,during the fall,18,20
Brown - haired woman turning head fast making hair whip around .,Who is turning?,Brown - haired woman,0,3
Brown - haired woman turning head fast making hair whip around .,How is someone turning?,head,5,5
Brown - haired woman turning head fast making hair whip around .,Who makes something?,Brown - haired woman,0,3
Brown - haired woman turning head fast making hair whip around .,What is someone making?,hair whip,8,9
Brown - haired woman turning head fast making hair whip around .,Where is something being made?,around,10,10
Eight people sitting down at a table indoors for refreshments .,Who is sitting somewhere?,Eight people,0,1
Eight people sitting down at a table indoors for refreshments .,How was someone sitting?,down,3,3
Eight people sitting down at a table indoors for refreshments .,Where was someone sitting?,down at a table,3,6
Eight people sitting down at a table indoors for refreshments .,Where is someone sitting?,at a table,4,6
Eight people sitting down at a table indoors for refreshments .,Where is someone sitting somewhere?,indoors,7,7
Eight people sitting down at a table indoors for refreshments .,Why is someone sitting somewhere?,for refreshments,8,9
A man and little girl walk next to a sign about crime .,Who walks somewhere?,A man and little girl,0,4
A man and little girl walk next to a sign about crime .,Where does someone walk?,next to a sign about crime,6,11
"A caterer preparing food at an outdoor venue , with many dished on display .",Who is preparing something?,A caterer,0,1
"A caterer preparing food at an outdoor venue , with many dished on display .",What is someone preparing?,food,3,3
"A caterer preparing food at an outdoor venue , with many dished on display .",Where is something being prepared?,at an outdoor venue,4,7
"A caterer preparing food at an outdoor venue , with many dished on display .",Who was dished on something?,A caterer,0,1
"A caterer preparing food at an outdoor venue , with many dished on display .",Who was dished?,many,10,10
"A caterer preparing food at an outdoor venue , with many dished on display .",How was someone dished?,on display,12,13
"A caterer preparing food at an outdoor venue , with many dished on display .",What was someone dished on?,display,13,13
A man in white wearing a Yarmulke is in front of a microphone with several other men in the background .,Who is wearing something?,A man,0,1
A man in white wearing a Yarmulke is in front of a microphone with several other men in the background .,What is someone wearing?,a Yarmulke,5,6
A young boy stands and watches a British guardsman .,Who stands?,A young boy,0,2
A young boy stands and watches a British guardsman .,Who watches someone?,A young boy,0,2
A young boy stands and watches a British guardsman .,Who does someone watch?,a British guardsman,6,8
Workers wearing hard hats and face masks process waste .,Who is wearing something?,Workers,0,0
Workers wearing hard hats and face masks process waste .,What is someone wearing?,hard hats,2,3
Workers wearing hard hats and face masks process waste .,What is being faced?,masks,6,6
Workers wearing hard hats and face masks process waste .,What is someone wearing?,hard hats and face masks,2,6
"A child standing on a chair to shove his face into a fire by a candle , his negligent father watches on in bemusement .",Who is standing?,A child,0,1
"A child standing on a chair to shove his face into a fire by a candle , his negligent father watches on in bemusement .",Where is someone standing?,on a chair,3,5
"A child standing on a chair to shove his face into a fire by a candle , his negligent father watches on in bemusement .",What is someone standing on?,a chair,4,5
"A child standing on a chair to shove his face into a fire by a candle , his negligent father watches on in bemusement .",Why is someone standing somewhere?,to shove his face into a fire by a candle,6,15
"A child standing on a chair to shove his face into a fire by a candle , his negligent father watches on in bemusement .",Who shoves something?,A child,0,1
"A child standing on a chair to shove his face into a fire by a candle , his negligent father watches on in bemusement .",What is being shoved?,his face,8,9
"A child standing on a chair to shove his face into a fire by a candle , his negligent father watches on in bemusement .",Where is something being shoved?,into a fire,10,12
"A child standing on a chair to shove his face into a fire by a candle , his negligent father watches on in bemusement .",What is something shoved into?,a fire,11,12
"A child standing on a chair to shove his face into a fire by a candle , his negligent father watches on in bemusement .",How is something shoved?,by a candle,13,15
"A child standing on a chair to shove his face into a fire by a candle , his negligent father watches on in bemusement .",What is something shoved from?,a candle,14,15
"A child standing on a chair to shove his face into a fire by a candle , his negligent father watches on in bemusement .",Who watches on something?,his negligent father,17,19
"A child standing on a chair to shove his face into a fire by a candle , his negligent father watches on in bemusement .",How does someone watch somewhere?,in bemusement,22,23
"Several people dressed in blue , one is twirling a ribbon",Who was dressed?,Several people,0,1
"Several people dressed in blue , one is twirling a ribbon",How was someone dressed?,in blue,3,4
"Several people dressed in blue , one is twirling a ribbon",What was someone dressed in?,blue,4,4
"Several people dressed in blue , one is twirling a ribbon",Who is twirling something?,one,6,6
"Several people dressed in blue , one is twirling a ribbon",What is someone twirling?,a ribbon,9,10
A group of women being served hors d'oeuvres at an affair .,Who was served?,A group of women,0,3
A group of women being served hors d'oeuvres at an affair .,What was someone served?,hors d'oeuvres,6,7
A group of women being served hors d'oeuvres at an affair .,Where was someone served?,at an affair,8,10
A group of women being served hors d'oeuvres at an affair .,What was someone served in?,an affair,9,10
Asians eating in a restaurant with an orange motif .,Who is eating?,Asians,0,0
Asians eating in a restaurant with an orange motif .,Where is someone eating?,in a restaurant,2,4
Asians eating in a restaurant with an orange motif .,What is someone eating in?,a restaurant,3,4
Two women are bathing at a spa .,Who is bathing somewhere?,Two women,0,1
Two women are bathing at a spa .,Where is someone bathing?,at a spa,4,6
Two women are bathing at a spa .,What is someone bathing at?,a spa,5,6
A chef is preparing some skewers with some sort of meat on it .,Who is preparing something?,A chef,0,1
A chef is preparing some skewers with some sort of meat on it .,What is someone preparing?,some skewers,4,5
A chef is preparing some skewers with some sort of meat on it .,How is someone preparing something?,with some sort of meat on it,6,12
A dentist 's office ; two dentists in blue uniform are working on a patient 's mouth .,Who is working on something?,two dentists in blue uniform,5,9
A dentist 's office ; two dentists in blue uniform are working on a patient 's mouth .,What is someone working on?,a patient 's mouth,13,16
A sportswoman is raising her arm to answer a question .,Who is raising something?,A sportswoman,0,1
A sportswoman is raising her arm to answer a question .,What is someone raising?,her arm,4,5
A sportswoman is raising her arm to answer a question .,Why is someone raising something?,to answer a question,6,9
A sportswoman is raising her arm to answer a question .,Who answers something?,A sportswoman,0,1
A sportswoman is raising her arm to answer a question .,How does someone answer something?,raising her arm,3,5
A sportswoman is raising her arm to answer a question .,What is being answered?,a question,8,9
A older lady is working with a mix master while two young boys stand next to her with aprons on helping her .,Who is working?,A older lady,0,2
A older lady is working with a mix master while two young boys stand next to her with aprons on helping her .,Who is someone working with?,a mix master,6,8
A older lady is working with a mix master while two young boys stand next to her with aprons on helping her .,When is someone working with something?,while two young boys stand next to her with aprons on helping her,9,21
A older lady is working with a mix master while two young boys stand next to her with aprons on helping her .,Who stands somewhere?,two young boys,10,12
A older lady is working with a mix master while two young boys stand next to her with aprons on helping her .,Where does someone stand?,next to her,14,16
A older lady is working with a mix master while two young boys stand next to her with aprons on helping her .,How does someone stand somewhere?,with aprons,17,18
A older lady is working with a mix master while two young boys stand next to her with aprons on helping her .,Who is helping someone?,A older lady,0,2
A older lady is working with a mix master while two young boys stand next to her with aprons on helping her .,Who is being helped?,her,21,21
One young boy is holding a plastic sward with another young boy is holding a stick outside .,Who is holding something?,One young boy,0,2
One young boy is holding a plastic sward with another young boy is holding a stick outside .,What is someone holding?,a plastic sward,5,7
One young boy is holding a plastic sward with another young boy is holding a stick outside .,Who is someone holding something with?,with another young boy,8,11
One young boy is holding a plastic sward with another young boy is holding a stick outside .,Who is someone holding something for?,another young boy,9,11
One young boy is holding a plastic sward with another young boy is holding a stick outside .,Who is holding something?,another young boy,9,11
One young boy is holding a plastic sward with another young boy is holding a stick outside .,What is someone holding?,a stick,14,15
One young boy is holding a plastic sward with another young boy is holding a stick outside .,Where is someone holding something?,outside,16,16
Girl in red jacket ponders while sitting in an art museum with cubes on the floor .,Who is sitting somewhere?,Girl,0,0
Girl in red jacket ponders while sitting in an art museum with cubes on the floor .,Where is someone sitting?,in an art museum,7,10
Girl in red jacket ponders while sitting in an art museum with cubes on the floor .,What is someone sitting in?,an art museum,8,10
Girl in red jacket ponders while sitting in an art museum with cubes on the floor .,How is someone sitting somewhere?,with cubes on the floor,11,15
A man climbing an icy glacier with the assistance of a pick .,Who is climbing something?,A man,0,1
A man climbing an icy glacier with the assistance of a pick .,What is someone climbing?,an icy glacier,3,5
A man climbing an icy glacier with the assistance of a pick .,How is someone climbing something?,with the assistance of a pick,6,11
An Asian man is at a hair salon getting a shampoo from an Asian hair stylist .,Who is getting something?,An Asian man,0,2
An Asian man is at a hair salon getting a shampoo from an Asian hair stylist .,Where is someone getting something?,at a hair salon,4,7
An Asian man is at a hair salon getting a shampoo from an Asian hair stylist .,What is someone getting?,a shampoo,9,10
An Asian man is at a hair salon getting a shampoo from an Asian hair stylist .,Who is something being gotten from?,an Asian hair stylist,12,15
A man is removing a garter for a lady .,Who is removing something?,A man,0,1
A man is removing a garter for a lady .,What is someone removing?,a garter,4,5
A man is removing a garter for a lady .,Why is someone removing something?,for a lady,6,8
A man is removing a garter for a lady .,Who is someone removing something for?,a lady,7,8
A businessman in gray slacks is standing at a food booth waiting to be served .,Who is standing somewhere?,A businessman,0,1
A businessman in gray slacks is standing at a food booth waiting to be served .,Where is someone standing?,at a food booth,7,10
A businessman in gray slacks is standing at a food booth waiting to be served .,Why is someone standing somewhere?,waiting to be served,11,14
A businessman in gray slacks is standing at a food booth waiting to be served .,Where is someone waiting?,a food booth,8,10
A businessman in gray slacks is standing at a food booth waiting to be served .,Why is someone waiting?,to be served,12,14
A businessman in gray slacks is standing at a food booth waiting to be served .,Who is served?,A businessman,0,1
A businessman in gray slacks is standing at a food booth waiting to be served .,Where is someone served?,a food booth,8,10
a old lady sitting on the footpath .,Who was sitting somewhere?,a old lady,0,2
a old lady sitting on the footpath .,Where was someone sitting?,on the footpath,4,6
a old lady sitting on the footpath .,What is someone sitting on?,the footpath,5,6
A bride and groom are standing outside with a plethora of nicely dressed people behind them .,Who is standing?,A bride and groom,0,3
A bride and groom are standing outside with a plethora of nicely dressed people behind them .,Where is someone standing?,outside,6,6
A bride and groom are standing outside with a plethora of nicely dressed people behind them .,How is someone standing somewhere?,with a plethora of nicely dressed people behind them,7,15
A bride and groom are standing outside with a plethora of nicely dressed people behind them .,Who is dressed?,A bride and groom,0,3
A bride and groom are standing outside with a plethora of nicely dressed people behind them .,How was someone dressed?,nicely,11,11
A boy in a fuzzy goat holds a craw and looks at it .,Who holds something?,A boy,0,1
A boy in a fuzzy goat holds a craw and looks at it .,What does someone hold?,a craw,7,8
A boy in a fuzzy goat holds a craw and looks at it .,Who looks?,A boy,0,1
A boy in a fuzzy goat holds a craw and looks at it .,What does someone look at?,a craw,7,8
A man with a cellphone calling and two women are sitting on the beach,Who is calling?,A man,0,1
A man with a cellphone calling and two women are sitting on the beach,Who is calling someone?,A man with a cellphone,0,4
A man with a cellphone calling and two women are sitting on the beach,Who is sitting somewhere?,two women,7,8
A man with a cellphone calling and two women are sitting on the beach,Where is someone sitting?,on the beach,11,13
A man with a cellphone calling and two women are sitting on the beach,What is someone sitting on?,the beach,12,13
woman and little girl wearing red in Asian area,Who is wearing something?,woman and little girl,0,3
woman and little girl wearing red in Asian area,What did someone wear?,red,5,5
woman and little girl wearing red in Asian area,Where is someone wearing something?,in Asian area,6,8
Presenters speaking at conference .,Who is speaking?,Presenters,0,0
Presenters speaking at conference .,Where was someone speaking?,at conference,2,3
A group of theater students are jumping in sequence on stage .,Who is jumping?,A group of theater students,0,4
A group of theater students are jumping in sequence on stage .,How is someone jumping?,in sequence,7,8
A group of theater students are jumping in sequence on stage .,What is someone jumping in?,sequence,8,8
A group of theater students are jumping in sequence on stage .,Where is someone jumping?,on stage,9,10
A group of people enjoying an outing on a boat .,Who enjoyed something?,A group of people,0,3
A group of people enjoying an outing on a boat .,What did someone enjoy?,an outing,5,6
A group of people enjoying an outing on a boat .,Where is something being enjoyed?,on a boat,7,9
A man hugging his spouse looks across the waterway .,Who is hugging someone?,A man,0,1
A man hugging his spouse looks across the waterway .,Who is someone hugging?,his spouse,3,4
A man hugging his spouse looks across the waterway .,Who looks somewhere?,A man,0,1
A man hugging his spouse looks across the waterway .,Where does someone look?,across the waterway,6,8
"An older man holding a crook , outside , wearing a red embroidered hat with a black tassel hanging from it , red glasses , and red and gold embroidered vest over white robes",Who is holding something?,An older man,0,2
"An older man holding a crook , outside , wearing a red embroidered hat with a black tassel hanging from it , red glasses , and red and gold embroidered vest over white robes",What is someone holding?,a crook,4,5
"An older man holding a crook , outside , wearing a red embroidered hat with a black tassel hanging from it , red glasses , and red and gold embroidered vest over white robes",Where did someone hold something?,outside,7,7
"An older man holding a crook , outside , wearing a red embroidered hat with a black tassel hanging from it , red glasses , and red and gold embroidered vest over white robes",Who wore something?,An older man,0,2
"An older man holding a crook , outside , wearing a red embroidered hat with a black tassel hanging from it , red glasses , and red and gold embroidered vest over white robes",What did someone wear?,a red embroidered hat,10,13
"An older man holding a crook , outside , wearing a red embroidered hat with a black tassel hanging from it , red glasses , and red and gold embroidered vest over white robes",What is embroidered?,hat,13,13
"An older man holding a crook , outside , wearing a red embroidered hat with a black tassel hanging from it , red glasses , and red and gold embroidered vest over white robes",What is hanging?,a black tassel,15,17
"An older man holding a crook , outside , wearing a red embroidered hat with a black tassel hanging from it , red glasses , and red and gold embroidered vest over white robes",What is something hanging from?,it,20,20
"An older man holding a crook , outside , wearing a red embroidered hat with a black tassel hanging from it , red glasses , and red and gold embroidered vest over white robes",What is embroidered?,vest,30,30
"An older man holding a crook , outside , wearing a red embroidered hat with a black tassel hanging from it , red glasses , and red and gold embroidered vest over white robes",How is something embroidered?,over white robes,31,33
A person with a black knapsack and wearing a helmet is riding a blue scooter .,Who is wearing something?,A person,0,1
A person with a black knapsack and wearing a helmet is riding a blue scooter .,What is someone wearing?,a helmet,8,9
A person with a black knapsack and wearing a helmet is riding a blue scooter .,Who is riding something?,A person with a black knapsack and wearing a helmet,0,9
A person with a black knapsack and wearing a helmet is riding a blue scooter .,What is someone riding?,a blue scooter,12,14
"A man playing scrabble with carrots , celery , onions , limes , apples and cauliflower in the pictures while his opponent has rocks spelled out on his tray .",Who is playing something?,A man,0,1
"A man playing scrabble with carrots , celery , onions , limes , apples and cauliflower in the pictures while his opponent has rocks spelled out on his tray .",What is someone playing?,"scrabble with carrots , celery , onions , limes , apples and cauliflower",3,15
"A man playing scrabble with carrots , celery , onions , limes , apples and cauliflower in the pictures while his opponent has rocks spelled out on his tray .",Where did someone playe something?,in the pictures,16,18
"A man playing scrabble with carrots , celery , onions , limes , apples and cauliflower in the pictures while his opponent has rocks spelled out on his tray .",When does someone playe something?,while his opponent has rocks spelled out on his tray,19,28
"A man playing scrabble with carrots , celery , onions , limes , apples and cauliflower in the pictures while his opponent has rocks spelled out on his tray .",What is spelled?,rocks,23,23
"A man playing scrabble with carrots , celery , onions , limes , apples and cauliflower in the pictures while his opponent has rocks spelled out on his tray .",How is something spelled?,out on his tray,25,28
"A man playing scrabble with carrots , celery , onions , limes , apples and cauliflower in the pictures while his opponent has rocks spelled out on his tray .",Where is something spelled?,on his tray,26,28
"A man playing scrabble with carrots , celery , onions , limes , apples and cauliflower in the pictures while his opponent has rocks spelled out on his tray .",When is someone playing something?,while his opponent has rocks spelled out on his tray,19,28
Oklahoma University 's Sooners football team playing against a rival .,Who was playing?,Oklahoma University 's Sooners football team,0,5
Oklahoma University 's Sooners football team playing against a rival .,Who did someone playe with?,a rival,8,9
A football player in red being tackled by opponents in white .,Who was tackled?,A football player,0,2
A football player in red being tackled by opponents in white .,Who was someone tackled by?,opponents,8,8
A football player in red being tackled by opponents in white .,How was someone tackled?,in white,9,10
"A man , whose face is obstructed by a lampshade , is sitting next to a bar with drinks , and a mannequin stands nearby .",Who is obstructed by something?,A man,0,1
