context,question,label,answer1,answer2,index1
A marching band dressed in red tunics and black trousers with tall black furry headpieces are walking in pairs in cadence down a sidewalk bordering a stone wall .,What is being bordered?,no,building,saltwater clams,11303
"Boris Grigoryevich Fyodorov (Russian: Борис Григорьевич Фёдоров) (13 February 1958 in Moscow – 20 November 2008 in London) was a Russian economist, politician, and reformer. He was awarded a doctor of economics degree from the Moscow Finance Institute and authored over 200 publications. Fyodorov was Minister of Finance of the Russian SFSR (as a constituent of the USSR) in 1990. From 1991 to 1992 he worked for the European Bank for Reconstruction and Development in London. In 1992 he became director of the World Bank. He served as Finance Minister of Russia from 1993 until 1994, when he resigned. Fyodorov was a member of the State Duma between 1994 and 1998. In 1998 he became a tax minister and Deputy Prime Minister of Russia.",What bank did Fyodorov work for in 1992 ?,yes,world bank,national hockey league,1453
"See 2014 European Parliament election in Portugal for further information on these elections in Portugal, and 2014 European Parliament election for discussion on likely changes to the Parliamentary Groups.",What is the name of the 2014 European Parliament election in Portugal ?,yes,see 2014 european parliament election,bad name ”.,1568
four they are looking at a motor on the back of a wooden boat .,Who is looking?,no,four men,engineer anwer khurshid,10470
"A craftsmen sits , gazing intently at his work as he hammers a chisel at his work in order to carve small pieces onto the statue .",What is being carved?,no,small details,october 1,12016
"The wingspan is 47–50 mm. It is very similar to Temnora burdoni, but the antennae are thicker, the forewing outer margin is less incised below the apex and the upperside ground colour is more uniformly brown-red. The triangular spot is barely noticeable. The forewing underside is uniformly brick red with some darker marks.",How is the outer margin of the forewing different from the Temnora burdoni ?,yes,less incised,like either a dry - erase board or a museum display of children 's scribbles,3493
"'Pushkin wrote his first poem at the age of six, and was widely respected by the cultural elite by the time of his graduation from the Tsarskoye Selo Lyceum.",How much did it take Pushkin to graduate from Tsarskoye Selo Lyceum?,no,6 weeks,american dancers revived,767
"""What if you say the wrong thing, what would happen then?""",What would happen if you say what ?,yes,wrong thing,fast forward weekly review,5652
a man trying to touch a dolphin or whale or some kind of marine animal,Who touches something?,no,sometimes,wellbeing boards,10545
"A person , costumed as the devil , stands with a young woman .",What is someone costumed as?,no,host,people,9251
A football player dressed in green and white advances the ball while watched by a defender in blue .,When does someone advance something?,no,football,best known,10245
St Margaret and the Dragon is a c.1559 painting by Titian of saint Margaret the Virgin; it is now in the Museo del Prado in Madrid.,What is the name of the dragon in the painting ?,yes,st margaret,peak population,3005
"Franciscus Joseph Octave van der Donckt (30 June 1757, Aalst - 16 August 1813, Bruges) was a Flemish portrait painter, miniaturist and pastellist. He is also referred to as Jozef Angelus Van der Donckt, as well as several other variations, too numerous to list.",When was Franciscus Joseph Octave van der Donckt born ?,yes,30 june 1757,japanese manga series written,5288
A man wearing a helmet with numerous buckles and goggles on his forehead looks down at a woman in red and black striped pants who is wearing lace gloves and holding a toy gun .,What did someone wear?,no,a vest,funded principally,8542
"The following is a list of FCC-licensed radio stations in the U.S. state of Illinois, which can be sorted by their call signs, frequencies, cities of license, licensees, and programming formats.",What is the FCC licensed ?,yes,licensed radio stations,bmi country awards,4574
"The result of this journey was his momentous ethnographic work, `Even Sapir, a travel diary in which he gave the history, and a vivid though uncritical description of the condition of the Jews in the above-mentioned countries. Saphir published also Iggeret Teman (Wilna, 1868, consciously titled after Rambam's letter of centuries earlier), a work on the appearance in Yemen of the pseudo-Messiah Judah ben Shalom, and which was largely responsible for ending Judah ben Shalom's career. Saphir died in Jerusalem in 1886.",What was the name of the work Saphir wrote on the appearance in Yemen of Judah ben Shalom ?,yes,saphir published also iggeret teman,qdr ).,2406
One young girl is braiding colored cord into another girls side .,What is someone braiding something into?,no,another girls hair,sailboat,10818
"White privilege, or white skin privilege, is the societal privilege that benefits white people over non-white people in some societies, particularly if they are otherwise under the same social, political, or economic circumstances. With roots in European colonialism and imperialism, and the Atlantic slave trade, white privilege has developed in circumstances that have broadly sought to protect white racial privileges, various national citizenships and other rights or special benefits.In the study of white privilege, and its broader field of whiteness studies, academic perspectives such as critical race theory use the concept to analyze how racism and racialized societies affect the lives of white or white-skinned people. For example, Peggy McIntosh describes the advantages that whites in Western societies enjoy and non-whites do not experience, as ""an invisible package of unearned assets"". White privilege denotes both obvious and less obvious passive advantages that white people may not recognize they have, which distinguishes it from overt bias or prejudice. These include cultural affirmations of one's own worth; presumed greater social status; and freedom to move, buy, work, play, and speak freely. The effects can be seen in professional, educational, and personal contexts. The concept of white privilege also implies the right to assume the universality of one's own experiences, marking others as different or exceptional while perceiving oneself as normal.Some scholars say that the term uses the concept of ""whiteness"" as a proxy for class or other social privilege or as a distraction from deeper underlying problems of inequality. Others state that it is not that whiteness is a proxy but that many other social privileges are interconnected with it, requiring complex and careful analysis to identify how whiteness contributes to privilege. Other commentators propose alternative definitions of whiteness and exceptions to or limits of white identity, arguing that the concept of white privilege ignores important differences between white subpopulations and individuals and suggesting that the notion of whiteness cannot be inclusive of all white people. They note the problem of acknowledging the diversity of people of color and ethnicity within these groups.Some commentators have observed that the ""academic-sounding concept of white privilege"" sometimes elicits defensiveness and misunderstanding among white people, in part due to how the concept of white privilege was rapidly brought into the mainstream spotlight through social media campaigns such as Black Lives Matter. As an academic concept that was only recently brought into the mainstream, the concept of white privilege is frequently misinterpreted by non-academics; some academics, having studied white privilege undisturbed for decades, have been surprised by the seemingly sudden hostility from right-wing critics since approximately 2014.",What is the term white privilege used to refer to ?,yes,european colonialism,british entrants,5869
"White privilege, or white skin privilege, is the societal privilege that benefits white people over non-white people in some societies, particularly if they are otherwise under the same social, political, or economic circumstances. With roots in European colonialism and imperialism, and the Atlantic slave trade, white privilege has developed in circumstances that have broadly sought to protect white racial privileges, various national citizenships and other rights or special benefits.In the study of white privilege, and its broader field of whiteness studies, academic perspectives such as critical race theory use the concept to analyze how racism and racialized societies affect the lives of white or white-skinned people. For example, Peggy McIntosh describes the advantages that whites in Western societies enjoy and non-whites do not experience, as ""an invisible package of unearned assets"". White privilege denotes both obvious and less obvious passive advantages that white people may not recognize they have, which distinguishes it from overt bias or prejudice. These include cultural affirmations of one's own worth; presumed greater social status; and freedom to move, buy, work, play, and speak freely. The effects can be seen in professional, educational, and personal contexts. The concept of white privilege also implies the right to assume the universality of one's own experiences, marking others as different or exceptional while perceiving oneself as normal.Some scholars say that the term uses the concept of ""whiteness"" as a proxy for class or other social privilege or as a distraction from deeper underlying problems of inequality. Others state that it is not that whiteness is a proxy but that many other social privileges are interconnected with it, requiring complex and careful analysis to identify how whiteness contributes to privilege. Other commentators propose alternative definitions of whiteness and exceptions to or limits of white identity, arguing that the concept of white privilege ignores important differences between white subpopulations and individuals and suggesting that the notion of whiteness cannot be inclusive of all white people. They note the problem of acknowledging the diversity of people of color and ethnicity within these groups.Some commentators have observed that the ""academic-sounding concept of white privilege"" sometimes elicits defensiveness and misunderstanding among white people, in part due to how the concept of white privilege was rapidly brought into the mainstream spotlight through social media campaigns such as Black Lives Matter. As an academic concept that was only recently brought into the mainstream, the concept of white privilege is frequently misinterpreted by non-academics; some academics, having studied white privilege undisturbed for decades, have been surprised by the seemingly sudden hostility from right-wing critics since approximately 2014.",What is the term white privilege used to refer to ?,yes,protect white racial privileges,bottom,5825
"The stadium originally known as Campo de Calulo was renamed in 1975 as Estádio Patrice Lumumba. In 1978, it was renamed to its current denomination.",What was Campo de Calulo ' s original name ?,yes,stadium originally known,she said that 's always looking back,2736
"One man with glasses , dressed in fatigues is pointing and talking to other people standing next to him .",Who is standing somewhere?,no,other men,dish,9954
"Lennon accuses his mother of leaving him again , and then leaves , after telling his son that he wo n't live with him anymore .",How far does this conversation between Lennon and his father take?,yes,-10,on a bench in the park,223
The nurse smiles as she gently rubs the tummy of the sleeping baby .,When does someone smile?,no,as she gently rubs the tummy of the sleeping child,taking several shots,10802
"Multiple sex partners is the measure and incidence of engaging in sexual activities with two or more people within a specific time period. Sexual activity with MSP can happen simultaneously or serially. MSP includes sexual activity between people of a different gender or the same gender. MSP can also mean that one person may have a long-term relationship or relationships, and when the second relationship begins, the person can be said to have multiple sex partners. Another term, polyamorous, is a behavior and not a measure describing multiple romantically sexually or romantically committed relationships at the same time.Young people having MSP in the last year is an indicator used by the Centers for Disease Control and Prevention (CDC) to evaluate risky sexual behavior in adolescents and  monitoring changes in the worldwide HIV/AIDS infection rates and deaths.",What does the CDC stand for ?,yes,disease control,television roles,7178
"'Partial the lunars occur at least twice a year, but total eclipse eclipses are less common.",How much does an eclipse last for?,yes,at least 30 %,following year,882
"The Officer Cadet School, Portsea (sometimes referred to as OCS Portsea) was an officer training establishment of the Australian Army. Established at Portsea in Victoria, Australia, in 1951 to provide training to officer cadets prior to commissioning, for many years OCS provided the Australian Regular Army with the bulk of its junior officers. However, following a review of military training establishments in Australia in the mid-1980s, the school was eventually closed in 1985, as the Royal Military College, Duntroon, assumed sole responsibility for training Army officers.",Who did the OCS provide the bulk of its junior officers ?,yes,australian regular army,bmi christian awards,5954
"Two years after leaving the Replacements, Stinson joined Static Taxi in the summer of 1988 with two younger friends, drummer John Reipas and bassist/vocalist Ray Reigstad. Stinson had been jamming informally with Riegstad and Reipas for a couple of years previously, playing cover versions of 1970s pop songs, even while he was still a member of the Replacements. They became a quartet when they recruited bass player Chris Corbett.The band rehearsed tirelessly over the next few years, and developed an extensive catalog of original songs and cover versions. Their headquarters was the office of an abandoned grain elevator near the University of Minnesota campus in southeast Minneapolis. Later, they moved to one of several boxcars which the owner of the grain elevator kept on a railroad siding behind his property and rented out to various artists and musicians. The grain elevator was home to a number of homeless veterans, including one named ""Hillbilly"" who sang the lead on the band's recording of their song ""Hillbilly's Lament.""",Where did the owner of the grain elevator keep the boxcars ?,yes,railroad siding behind,twice  a minute,1208
"Project Re-ED, the Project on the Re-Education of Emotionally Disturbed Children, is a program to provide effective and affordable mental health services for children. The program focuses on teaching a child effective ways of acting in and responding to the child's social groups (family, schools, peer groups) and also working with those social groups to help them provide a more supportive environment for the child. It began as a pilot project in the 1960s at two residential facilities in Tennessee and North Carolina. It later expanded to more facilities, and the principles of treatment developed in the project have been replicated and adapted in many other programs.",What is the main focus of Project Re - ED ?,yes,program focuses,61st open championship,5081
A military man says hello to a group of children waving American standard .,What is someone waving?,no,American flags,social care would benefit,10700
"Necropolis Awakened is a 2002 American action-horror film written and directed by Garrett White.  It stars Duke White, Brandon White, and Garrett White in multiple roles.  An evil corporation bent on world domination begins their genetic experimentation in a small Oregon town, but they find unexpected resistance from an alcoholic veteran.",What year was Necropolis Awakened ?,yes,2002 american action,ten centuries,3557
"The GNRA tetraloop has a guanine-adenine base-pair where the guanine is 5' to the helix and the adenine is 3' to the helix. Tetraloops with the sequence UMAC have essentially the same backbone fold as the GNRA tetraloop, but may be less likely to form tetraloop-receptor interactions. They may therefore be a better choice for closing stems when designing artificial RNAs.",What is the use of tetraloops for closing stems ?,yes,designing artificial rnas,fleas appear,7433
"Shohei Yokoyama (横山 翔平, born August 9, 1993) is a Japanese football player who plays for Varaždin in Croatia.Having started his career in Japan, Yokoyama moved to Croatia, joining fourth-tier NK Međimurec DP, spending a year and a half there, becoming the club's top scorer with 22 goals in the 2017/18 season. In 2018 he moved to Austrian third-tier team DSC Wonisch Installationen, but returned in December to Croatia, this time to second-tier Varaždin.",What Croatian team does Yokoyama play for ?,yes,tier varaždin,most,5624
"White privilege, or white skin privilege, is the societal privilege that benefits white people over non-white people in some societies, particularly if they are otherwise under the same social, political, or economic circumstances. With roots in European colonialism and imperialism, and the Atlantic slave trade, white privilege has developed in circumstances that have broadly sought to protect white racial privileges, various national citizenships and other rights or special benefits.In the study of white privilege, and its broader field of whiteness studies, academic perspectives such as critical race theory use the concept to analyze how racism and racialized societies affect the lives of white or white-skinned people. For example, Peggy McIntosh describes the advantages that whites in Western societies enjoy and non-whites do not experience, as ""an invisible package of unearned assets"". White privilege denotes both obvious and less obvious passive advantages that white people may not recognize they have, which distinguishes it from overt bias or prejudice. These include cultural affirmations of one's own worth; presumed greater social status; and freedom to move, buy, work, play, and speak freely. The effects can be seen in professional, educational, and personal contexts. The concept of white privilege also implies the right to assume the universality of one's own experiences, marking others as different or exceptional while perceiving oneself as normal.Some scholars say that the term uses the concept of ""whiteness"" as a proxy for class or other social privilege or as a distraction from deeper underlying problems of inequality. Others state that it is not that whiteness is a proxy but that many other social privileges are interconnected with it, requiring complex and careful analysis to identify how whiteness contributes to privilege. Other commentators propose alternative definitions of whiteness and exceptions to or limits of white identity, arguing that the concept of white privilege ignores important differences between white subpopulations and individuals and suggesting that the notion of whiteness cannot be inclusive of all white people. They note the problem of acknowledging the diversity of people of color and ethnicity within these groups.Some commentators have observed that the ""academic-sounding concept of white privilege"" sometimes elicits defensiveness and misunderstanding among white people, in part due to how the concept of white privilege was rapidly brought into the mainstream spotlight through social media campaigns such as Black Lives Matter. As an academic concept that was only recently brought into the mainstream, the concept of white privilege is frequently misinterpreted by non-academics; some academics, having studied white privilege undisturbed for decades, have been surprised by the seemingly sudden hostility from right-wing critics since approximately 2014.",What is the term white privilege used to refer to ?,yes,white privilege also implies,dance,5826
"U.S. Marine dressing up a small child in flak and kevlar , showing everyone how to aim .",Who is being shown something?,no,them,british government,12234
"'Still , Preetam promised to protect Nandini if she meets him again .",How much did they think of each other?,yes,every-day,them,10
"Three people are in an alley with a dumpster , one skateboarding over the dumpster while the other two look on .",What is someone skateboarding into?,yes,the dumpster,anime series naruto,10342
A tall with a blue hat and braces holding onto a skateboard and appearing to give the impression that he is yelling .,Who gives something?,no,A kid,suit,9760
"Sensō-ji (金龍山浅草寺, Kinryū-zan Sensō-ji) is an ancient Buddhist temple located in Asakusa, Tokyo, Japan. It is Tokyo's oldest temple, and one of its most significant. Formerly associated with the Tendai sect of Buddhism, it became independent after World War II. Adjacent to the temple is a five-story pagoda, the Asakusa Shinto shrine, as well as many shops with traditional goods in the Nakamise-dōri.The Sensoji Kannon temple is dedicated to Kannon Bosatsu, the Bodhisattva of compassion, and is the most widely visited spiritual site in the world with over 30 million visitors annually.The temple has a titanium tiled roof that maintains the historic image but is stronger and lighter.",How many people visit the Sensoji Kannon temple ?,yes,30 million visitors annually,joseph dixon,7596
"A tourist walks down the street , camera in hand , trying to find something worthy of a life .",What is being found?,no,something worthy of a photo,html &# 794 ;)),12380
A group of theater students are jumping in sequence on television .,Where is someone jumping?,no,on stage,girl,9530
A man dressed as a safari show poses with a woman and his inflatable tiger toy .,What was someone dressed as?,no,a safari hunter,parenchymatous tissues,10014
"The Ross Volunteer Company, commonly known as the Ross Volunteers, is the military escort of the governor of Texas and a unit of the Texas A&M Corps of Cadets.",What is the Ross Volunteers ?,yes,military escort,usually,3924
"A craftsmen sits , gazing intently at his wife as he hammers a chisel at his work in order to carve small details onto the statue .",What is someone gazing at?,no,his work,multiple roles,12008
"He hails from Odda, but moved to study at Volda University College in 2010 and was elected to Volda municipal council in 2011.",Where did he attend college ?,yes,volda university college,earlier systems,3517
"'Search ""Emiliano Malaquez"" and you\'ll find he\'s a master of the ""captured moment"" school of art.","How much does it take to make a ""captured moment"" work?",yes,weeks,5 hours,948
"Olga Eduardovna Landik (Russian: Ольга Эдуардовна Ландик; born 2 January 1980) is a retired Russian breaststroke swimmer who won a silver medal in the 4×100 m medley relay at the 1997 European Aquatics Championships. She also competed in the 100 m breaststroke at the 1996 Summer Olympics.Landik started swimming in a club since 1987, and in 1994 won a gold medal at the Junior European Championships. During her career she won 10 national senior titles. After retirement, she worked as a swimming coach (1998-2000) and then as a stylist. In 2003, she graduated with honors from a Sports Academy and later enrolled to the Saint Petersburg State Polytechnical University.",In what event did Landik win a silver medal ?,yes,medley relay,games,5219
The Wyoming State Auditor is a statewide elected office in Wyoming and serves as the chief comptroller and payroll officer. The Auditor protects public money by ensuring that it is properly accounted for in the most efficient and cost effective means at all times. Promoting transparency and financial accountability are the top priorities. Its predecessor was the Wyoming Territory Auditor.  Wyoming has had a state auditor since achieving statehood in 1890. The auditor is Kristi Racines.,What is the main concern of the state auditor ?,yes,auditor protects public money,song,4514
"Kristi Leskinen (born February 10, 1981 in Uniontown, Pennsylvania) is an American freestyle skier. At Winter X Games IX, Leskinen won a bronze medal in the Women's Superpipe. Kristi Leskinen was the first woman to ever pull off a rodeo 720—two rotations with her head pointed towards  the earth. She was named one of the Twenty Greatest Adventure Sport Athletes of today by Faces Magazine in fall of 2005.  She appeared on the cover of Powder magazine's Photo Annual in 2004.",Who was Kristi Leskinen ?,yes,first woman,keg,4012
"John Burpee Mills,  (July 24, 1850 – December 28, 1913) was a Canadian lawyer and politician.Born in Granville Ferry, Nova Scotia, the son of John Mills and Jane McCormick, Mills received a Bachelor of Arts degree in 1871 and a Master of Arts degree in 1877 from Acadia College. He also attended Harvard Law School and was called to the Bar of Nova Scotia in 1875. He was created a Queen's Counsel in 1890. In 1905, he was called to the British Columbia Bar. Miller began the practice of law in Annapolis Royal, Nova Scotia and later practised in Vancouver. He was editor of the Annapolis Spectator.He was a member from 1882 until 1887 of the municipal council of Annapolis, Nova Scotia. He was first elected to the House of Commons of Canada for the electoral district of Annapolis in the 1887 election. A Conservative, he was re-elected in 1891 and 1896. He was defeated in the 1900 election.Mills was married twice: first to Bessie B. Corbitt in 1878 and then to Agnes K. Rose in 1896. He died in Providence, Rhode Island at the age of 63.",In what city did John Burpee Mills begin his law ?,yes,annapolis royal,clarksdale ).,6057
"'I "" her shoulder to show I was not looking at her.",How soon will they clap someone\'s shoulder?,no,every century,every 100 seconds,649
"When Craig took over as police chief he was replacing Chester Logan, who had held the position on an interim basis since the previous October when Ralph Godbee, who was fired for having sexual relations with a subordinate.In early 2014 Craig made national headlines by saying more armed citizens would decrease the crime rate.At times Craig has made headlines by describing people involved in mass shootings in the city as ""urban terrorists"".In December 2015 Craig said that terrorist are unlikely to attack Detroit because so many residents have concealed carry permits.In January 2016 Craig was also designated as Detroit's deputy mayor.As police chief Craig has initiated Project Green Light to provide police live stream of videos to businesses to better respond to crimes there. He has also initiated programs to cut gang membership and large scale sweeps aimed at finding people with outstanding warrants. In June 2019 Craig was at a press conference shortly after Motor City Pride had white supremacist attendees, where he publicly stated that ""They wanted something more substantive than Charlottesville"". This was stated after controversy regarding the department escorting the white supremacists.In August 2019 Craig responded to controversies surrounding facial recognition software being used to identify criminals. Congresswoman Rashida Tlaib tweeted out to Detroit PD to stop using facial recognition, to which Craig invited her to come to the Real Time Crime Center, where they operate Project Green Light.  The facial recognition policies were changed to be limited to still images of suspects in criminal investigations. In March 2020, Craig tested positive for COVID-19 during the 2020 coronavirus pandemic in Michigan.",How did Craig describe people involved in mass shootings ?,yes,"urban terrorists "".",black,2840
"One for All Tour is a concert video from The Bee Gees recorded live at the National Tennis Centre in Melbourne, Australia in November 1989. Melbourne was the third final stop on their 1989 One for All World Tour, which included the United States, Europe and Asia the first time the Bee Gees played live there since their 1979 Spirits Having Flown Tour. Originally, this video was released in two volumes on VHS, each 50 minutes apiece. Volume One incorrectly listed the song ""My World"" from 1972 instead of the song ""World"" from 1967. In the DVD era, the cover was slightly changed and was released under the title The Very Best of The Bee Gees Live! in 1997.",What was Melbourne ' s place on the One for All World Tour ?,yes,third final stop,A helicopter,3039
"A male wearing a strange helmet covering face and head is seated on the accordion case in a street apparently blocked off , perhaps for a block party , while onlookers walk around and listeners are seated in front in lawn chairs .",Where does someone walk?,no,behind,People,10460
A lady adventurer with lightshoes is taking a break in a snow covered area and checking her phone .,What is covered?,no,snow,broadcast music,11650
"Lincoln County is a county located in the U.S. state of Idaho. As of the 2010 census, the population was 5,208. The county seat and largest city is Shoshone. The county is named after President Abraham Lincoln. The Idaho Territory was created in 1863, during the Lincoln Administration of 1861–65.",What was the name of the territory created in 1863 ?,yes,idaho territory,klaus flenter,6991
"'The 300-millimeter silicon wafers -- about the size of a pizza pizza -- are shuttled around the world in enclosed plastic pods, which ride on track tracks.",At what time do the wafers get placed on tracks?,yes,5:00 PM,Three dogs,188
"Olga Eduardovna Landik (Russian: Ольга Эдуардовна Ландик; born 2 January 1980) is a retired Russian breaststroke swimmer who won a silver medal in the 4×100 m medley relay at the 1997 European Aquatics Championships. She also competed in the 100 m breaststroke at the 1996 Summer Olympics.Landik started swimming in a club since 1987, and in 1994 won a gold medal at the Junior European Championships. During her career she won 10 national senior titles. After retirement, she worked as a swimming coach (1998-2000) and then as a stylist. In 2003, she graduated with honors from a Sports Academy and later enrolled to the Saint Petersburg State Polytechnical University.",Where did Landik compete in the 100 m breaststroke ?,yes,1996 summer olympics,afghanistan national institute,5213
"Estrellas Orientales (also known as Estrellas de Oriente) is a baseball team in the Dominican Winter League. Based in San Pedro de Macorís, the team has historically struggled, winning championships only in 1936, 1954, 1968 and 2019.",What league is the Estrellas Orientales in ?,yes,dominican winter league,strange relationship,4867
One young boy is holding a plastic sward with another young boy is holding a stick from .,Where is someone holding something?,no,outside,were,9482
"Mordella luteosuturalis is a species of beetle in the genus Mordella of the family Mordellidae, which is part of the superfamily Tenebrionoidea. It was discovered in 1936.",What superfamily is the Mordellidae a part of ?,yes,superfamily tenebrionoidea,skateboard,3297
An asian man attempts to put out a wildfire with a small wooden hand .,What does someone put on?,no,a small wooden bucket,greek alphabets,8224
"Loukanikos (Greek: Λουκάνικος: ""the sausage loukaniko""), initially named ""Theodor"", was a Greek riot dog that participated in almost every anti-austerity protest in Greece. He was commonly known for joining protests, barking at police, helping in street battles with the Greek police as well as participating in anarchist rallies and picket lines. Loukanikos had a reputation of being fearless, usually being in front of the protests and having tear gas thrown at him multiple times. He was active throughout all Greek protests and often leading the protesters towards the police. Initially a stray, he moved from building to building, but was said to have preferred to be on the streets. He was groomed and cared by multiple leftist organizations.",What was Loukanikos ' s nickname ?,yes,"theodor "",",jean chrétien fischer,6672
"In 2014, the Melbourne show was made available on CD for the first time as part of a box set chronicling their period on Warner Bros. In 2018, the concert was released on blu-ray in its original aspect ratio. The audio was presented in a newly mixed and mastered surround sound.",In what aspect was the Melbourne concert released on blu - ray ?,yes,original aspect ratio,tailbacks coach,3054
"Cristina Perincioli (born November 11, 1946 in Bern, Switzerland) is a Swiss film director, writer, multimedia producer and webauthor. She has lived in Berlin, Germany since 1968.",What is the name of Cristina Perincioli ' s real name ?,yes,cristina perincioli,A child,1638
Chantal Schertz (born 18 July 1958) is a retired French swimmer who won a bronze medal in the 4 × 100 m freestyle relay at the 1974 European Aquatics Championships. She competed in the same event at the 1972 and 1976 Summer Olympics and finished sixth in 1976.,When was Chantal Schertz born ?,yes,born 18 july 1958,underskirt,4611
"Most of the leading players on the tour are Japanese, but players from many other countries also participate. The tour is currently run by the Japan Golf Tour Organization (JGTO), which was established in 1999 to separate the tour from the PGA of Japan. The JGTO also organises a developmental tour called the Japan Challenge Tour.",What else does the JGTO do ?,yes,jgto also organises,saint louis university hospital,3277
"Zadkiel (Hebrew: צָדְקִיאֵל‎ Tsadqiel, ""Righteousness of God"" or Hesediel Hebrew: חֶסֶדִיאֵל‎ Chesediel, Coptic: ⲥⲉⲇⲁⲕⲓⲏⲗ Sedakiel ""Grace of God"") is the archangel of freedom, benevolence and mercy, and the Patron Angel of all who forgive, also known as Sachiel, Zedekiel, Zadakiel, Tzadkiel, and Zedekul. Rabbinical tradition considers him to be the angel of mercy.",What is Zadkiel considered to be the angel of mercy ?,yes,rabbinical tradition considers,8:00 PM,7501
"The name ""chicken"" has its origins in a game in which two drivers drive towards each other on a collision course: one must swerve, or both may die in the crash, but if one driver swerves and the other does not, the one who swerved will be called a ""chicken"", meaning a coward; this terminology is most prevalent in political science and economics. The name ""hawk–dove"" refers to a situation in which there is a competition for a shared resource and the contestants can choose either conciliation or conflict; this terminology is most commonly used in biology and evolutionary game theory. From a game-theoretic point of view, ""chicken"" and ""hawk–dove"" are identical; the different names stem from parallel development of the basic principles in different research areas. The game has also been used to describe the mutual assured destruction of nuclear warfare, especially the sort of brinkmanship involved in the Cuban Missile Crisis.",What is the Cuban Missile Crisis a game of ?,yes,mutual assured destruction,with another young boy,2569
"The campus housing system at the University of Michigan in Ann Arbor, referred to as University Housing (which is a unit of Student Life), provides living accommodations for approximately 10,000 undergraduate and graduate students. There is no requirement for first-year students to live in University Housing, yet approximately 97% of incoming students choose to do so. Every year, over 9,500 undergraduate students are housed in 18 residence halls on Central Campus, the Hill Neighborhood, and North Campus. Undergraduates, graduate students, and students with families can live in University Housing apartments in the Northwood Community on North Campus. Seven full-service dining halls as well as several retail shops provide students with daily dining options.",Where are University Housing apartments located on the North Campus ?,yes,northwood community,three times a month,5694
"People can be seen walking down a quaint city street , past colorful buildings and cafe customers sitting under parasols , with no cars in sight .",Where is someone sitting?,yes,under parasols,lännen puhelin,10974
A woman with an orange shirt is holding a table with ice cream and ice cream cones on it .,What is someone holding?,no,a trey,A man,9814
"Douglas Arnold Flower (November 24, 1916 – July 30, 2009) was a Canadian politician. He served in the Legislative Assembly of New Brunswick from 1967 to 1970 as a member of the Liberal party.",What was the year that Douglas Arnold Flower was born ?,yes,1916 – july 30,tamil nadu pass,4075
"He held the primary responsibility for designing the elaborate furnishings of the Teatro di San Carlo, which was the new opera house in Naples in 1737. Alexandre Dumas recounts the commonly repeated, yet likely apocryphal, tale that the king was so taken by the beauty of the theatre that he personally presented Carasale to the public for applause, remarking that the only thing lacking from the new theater was a private passageway for royalty from the adjacent Royal Palace. The anecdote continues by stating that, a few hours later, at the end of the performance of the opera Achille in Sciro by Domenico Sarro, Carasale approached the king and notified him that the passageway was ready.",What was missing from the new theater ?,yes,private passageway,students,2086
"A man walks through a clearing and carries a rifle along his back , casually holding it by the muzzle .",What is something held by?,no,hand,hadfield fired,11775
A man puts the finishing touches on his graffiti artwork .,What does someone put?,no,first,adult fleas grow,11021
"Joseph Byrne (21 November 1856 – 28 June 1880) was an Australian bushranger born in Victoria to an Irish immigrant. A friend of Ned Kelly, he was a member of the ""Kelly Gang"" who were declared outlaws after the murder of three policemen at Stringybark Creek. Despite wearing the improvised body armour for which Ned Kelly and his gang are now famous (and which he is reputed to have designed), Byrne received a fatal gunshot during the gang's final violent confrontation with police at Glenrowan, in June 1880.",When did Joseph Byrne die ?,yes,june 1880,every 900 years,4622
A india is presenting various documents using multimedia equipment .,Who is presenting something?,no,A woman,e soflá,10368
"The church was designed by the famous architect Jan Santini Aichel and it was one of the last commissioned by him. It is an iconic masterpiece of so-called radical Baroque of Bohemia and Moravia, built as part of a complex of monastic buildings and summer residences of the Premonstratensian Zábrdovice Abbey, an order dedicated to the preaching and the exercising of pastoral ministry. Santini received the commission in 1711, under the patronage of bishop of Olomouc Maxmilian Hamilton and abbot Hugo Bartlicius, whose palace was behind in the slope. The temple was constructed in time of the rule of abbot Krištof Matuška.",What is the church of the church ?,yes,iconic masterpiece,the windows,7407
"Shohei Yokoyama (横山 翔平, born August 9, 1993) is a Japanese football player who plays for Varaždin in Croatia.Having started his career in Japan, Yokoyama moved to Croatia, joining fourth-tier NK Međimurec DP, spending a year and a half there, becoming the club's top scorer with 22 goals in the 2017/18 season. In 2018 he moved to Austrian third-tier team DSC Wonisch Installationen, but returned in December to Croatia, this time to second-tier Varaždin.",In what season did Yokoyama become the top scorer for Međimurec DP ?,yes,18 season,9 times each year,5631
"Beate Heister (born 1951), German billionaire",Who is the German billionaire ?,yes,beate heister,austrian sprint canoer,7677
"Richard Lee is a cardiac surgeon in St. Louis, Missouri, who helped pioneer a staged Hybrid Maze, a procedure for atrial fibrillation or AFIB. combining surgery and catheter based approaches.",What is the name of the procedure Richard Lee pioneered ?,yes,richard lee,maternal nephew,1948
