question,label,answerA,answerB,answerC,answerD,id
name something in your house that's extra dirty after a big party.,C,window,corner,floor,room,5211_protoqa
name something you hate getting in your mailbox.,B,paying,bills,paid,taxes,676_protoqa
name a job that requires you to risk your life.,B,widow,firefighter,homeowner,fisherman,2961_protoqa
name something kids forget when leaving for school,A,lunch,holiday,breakfast,dinner,1343_protoqa
name a reason school might be closed,D,today,snow,degrees,weather,2578_protoqa
name something that would be hard to steal from a hotel room,C,channel,comics,television,discovery,77_protoqa
name a makeup women apply to their face,D,benefit,bond,creation,foundation,4673_protoqa
"tell me a way in which your office is kind of like a ""soap opera.""",A,gossip,drama,twilight,movies,949_protoqa
name a reason a kid might not be able to go outside.,C,feel,hell,sick,crazy,689_protoqa
name a london tube line.,A,northern,north,eastern,southern,5774_protoqa
what might a bankrobber wear in order to keep his identity a secret?,C,stick,tail,mask,bubble,7553_protoqa
"besides the us, name a country that produces a lot of movies.",D,lyon,grand,paris,france,6498_protoqa
name the age when men start losing their hair.,D,seventy,sixty,twenty,forty,2881_protoqa
"if your body aches,tell me what a possible cause might be.",B,crazy,sick,hell,feel,479_protoqa
name something you try to avoid doing when posing for a photo,D,crying,smiles,kissing,smiling,1192_protoqa
name something men probably lie about most,B,of,age,not,own,1264_protoqa
name something police will give you a ticket for.,A,speeding,stalled,parked,blocking,6331_protoqa
name a profession that someone may lie about having just to impress a guy or girl.,B,has,doctor,actual,doc,3343_protoqa
name something you do not learn at school.,C,chores,productively,housework,painkillers,7046_protoqa
name something a man puts in the pocket of his swim trunks.,A,keys,pandora,rolling,dash,6338_protoqa
name something people usually do at 11:00 pm.,A,snack,cookies,snacks,baking,523_protoqa
"name something a parent tries, to get their baby to sleep.",B,dancing,singing,watching,sings,4580_protoqa
name something that people do at midnight on new year's eve.,C,baby,love,kiss,smile,6993_protoqa
name an animal your mate sounds like when he or she snores.,D,cat,teddy,kitty,bear,5983_protoqa
name something people get trapped in,C,honest,friendship,relationship,feelings,3335_protoqa
name a place where adults go to relax while kids go to play.,C,square,hill,park,hall,6222_protoqa
name a good gift for a high school graduate.,C,cash,pay,money,some,27_protoqa
name an activity that's hard to do when you have a stiff neck.,B,sitting,driving,moving,running,6919_protoqa
name a tv show aimed at smart people.,B,feud,jeopardy,headlines,shameless,1751_protoqa
name a movie based on a tv show or skit,A,bewitched,rusted,smeared,materialized,2335_protoqa
name a state where it snows.,D,california,arizona,virginia,colorado,1525_protoqa
name something people do with their index finger.,A,point,end,possible,change,327_protoqa
tell me something you think of when you think of ireland.,C,cantaloupe,parsnips,leprechauns,amphibians,582_protoqa
what occupation might a dad have that would make boys afraid to date his daughter?,B,jail,cop,driver,cops,5386_protoqa
"in the shower, which part of the body is soaped first?",D,feet,fingers,hands,arms,71_protoqa
name something people stick in their ears.,D,cee-lo,lamontagne,ghostface,q-tip,789_protoqa
name something you see college kids posing with in photos.,A,beer,wine,coffee,food,798_protoqa
name something people cover when it rains,B,cut,head,side,down,81_protoqa
name something that gets activated by water,D,dish,wax,spoon,soap,2380_protoqa
name something dogs love to do that cats probably think is ridiculous.,A,fetch,strangle,borrow,ditch,2595_protoqa
name a part of your body that moves when you laugh.,D,paño,brillo,músculo,abdomen,5972_protoqa
"name something kids use for fun, but adults use for exercise.",C,drive,floor,bike,garage,290_protoqa
name something that would make you suspicious if your date said he didn't have any.,D,cash,pay,some,money,4617_protoqa
"name an ingredient that is gross on its own, but makes desserts delicious.",A,cinnamon,pudding,butter,peanut,4863_protoqa
name something a bachelor might buy for his bedroom to make it more romantic.,C,pillows,candle,candles,balloons,348_protoqa
what might a man keep in his wallet?,A,money,cash,some,pay,1066_protoqa
what might a mobster do that gets him kicked out of his mob family?,A,snitch,nigha,bitxh,muthafucka,5389_protoqa
tell me something you would hate to be on when it breaks down.,C,spaceships,sirens,airplanes,elevators,990_protoqa
name something you might do to celebrate during the summer.,C,night,crew,party,friday,800_protoqa
name something birds do that a human would look rediculous doing,B,walk,fly,jump,turn,5838_protoqa
name a holiday when the post office is closed.,B,valentines,christmas,xmas,day,2719_protoqa
name a big event that happens to tv characters in order to up ratings.,A,death,kills,child,murder,366_protoqa
name something a new parent tries to do while the baby is napping.,A,nap,shower,sleep,late,4633_protoqa
name a term for someone who isn't very generous.,C,nosey,nosy,stingy,phoney,3358_protoqa
name a fruit that would be almost impossible to stick up your nose.,A,watermelon,sour,grape,pineapple,6010_protoqa
name an organization you might join for the summer.,A,ymca,riverside,pasadena,brixton,698_protoqa
name something a family might do on vacation at a winter lodge.,B,pointe,ski,snowboard,gras,2466_protoqa
name a letter of the alphabet that is also a vitamin?,D,s,t,m,c,249_protoqa
name a food that you often burn your tongue while eating.,C,salad,pudding,soup,cheese,4409_protoqa
name something you'd see in a church.,A,cross,carry,into,side,1812_protoqa
name something a supermodel would probably never eat for dessert.,B,cream,cake,cookie,cupcake,7161_protoqa
name a famous street in new york city.,C,abbey,venice,broadway,theatre,2879_protoqa
name an occupation that might get tired of wearing the same thing every day,D,physician,receptionist,therapist,nurse,6837_protoqa
name something people give to others as proof of their love.,D,pieces,flower,tree,flowers,471_protoqa
name a part of a baby's body that is chubby.,D,legs,forehead,toes,cheeks,5819_protoqa
name a kind of key teenagers have:,C,out,home,house,room,7085_protoqa
"name a college major that ends in ""ology""",A,biology,geography,physics,chem,4746_protoqa
name a type of book that you're not expected to read all of.,D,stories,poetry,scripture,bible,4577_protoqa
name something that might keep new parents awake at night.,B,monkey,dog,dogs,cat,778_protoqa
"past or present, name a way to travel around the world.",A,airplanes,elevators,spaceships,sirens,221_protoqa
name something you might do while stuck in traffic.,A,sing,jane,jare,meh,568_protoqa
name a sport in which participants use a specific kind of headwear,A,football,basketball,winning,soccer,6600_protoqa
name a game people play at picnics,C,tumblr,insta,tag,bio,37_protoqa
name something people have two of.,B,lips,eyes,heart,hands,639_protoqa
tell me an animal that might ruin a farmer's crop.,B,frog,rabbit,monkey,bunny,5305_protoqa
name something for which a police officer might give you a ticket,B,parked,speeding,blocking,stalled,5744_protoqa
tell me a pet that requires very little maintenance.,A,fish,egg,chicken,meat,2074_protoqa
name something you'd find in almost every room of a house.,C,sun,dark,light,deep,4737_protoqa
name a movie involving an elephant.,A,dumbo,aladdin,gump,chucky,1453_protoqa
name something that is found in a small town diner.,C,iheartradio,bigeast,jukebox,quartet,795_protoqa
name a habit that is hard to break.,D,hating,telling,arguing,lying,786_protoqa
name something that kids get more of from their mom than they get from their dad.,D,cash,some,pay,money,2855_protoqa
name something you would eat in mexico.,D,burritos,nachos,quesadillas,tacos,4772_protoqa
name the loudest animal in the zoo,B,ocean,lion,pigeon,dolphin,319_protoqa
"other than swimsuits, name something people wear to the beach.",C,tights,jeans,shorts,socks,3091_protoqa
we asked women if youre underdressed for a party what can you put on quickly to look dressed up,C,handmade,jewellery,jewelry,vintage,1031_protoqa
name an animal who should be very worried about global warming.,D,turtle,giant,cat,penguin,3753_protoqa
name something a person might do on the last day of their job.,B,crew,party,night,friday,921_protoqa
name an act of high school rebellion that you cant imagine a kindergartener doing,B,smoke,smoking,drinking,weed,5505_protoqa
name something you get too much of as a teenager.,C,studying,math,homework,exam,5118_protoqa
name something that a germaphobe would hate to share.,A,bathroom,bedroom,floor,window,2386_protoqa
name a dairy item that's sold as non-fat.,D,sugar,bread,butter,milk,3648_protoqa
name a popular excuse people give for not going to the gym.,D,sleep,sleepy,sick,tired,6020_protoqa
name an animal in the cat family that you would never keep as a pet.,B,hawk,tiger,blue,eagle,5113_protoqa
"name a job so dangerous, you wouldn't want it.",D,facility,building,transportation,construction,54_protoqa
name something in your house that you need a professional to fix.,A,plumbing,hvac,roofing,landscaping,5087_protoqa
name a gift from their husbands that wives have to sometimes pretend to like.,B,shoes,clothes,pants,glasses,540_protoqa
name something your parents still give you.,B,cash,money,pay,some,1520_protoqa
name something you'd do at work if you really wanted to get fired.,D,dump,carry,them,steal,3839_protoqa
name a creature that doesn't have legs,B,tail,snake,turtle,spider,449_protoqa
name a job where networking is key.,D,retail,service,services,sales,647_protoqa
tell me a food that goes from your freezer to your toaster.,D,noodles,spaghetti,lobster,waffle,6374_protoqa
name a holiday that falls on a certain day of the week.,B,holidays,thanksgiving,brunch,easter,1752_protoqa
name something you put in your mouth but do not swallow,C,chewing,slice,gum,sticks,3554_protoqa
tell me someone who always seems to be present whenever you make a fool out of yourself.,A,spouse,granted,judged,respects,2061_protoqa
"name a word or phrase that has the word ""blind"" in it.",A,blindfold,enclose,eyedrops,straddle,5823_protoqa
name a kitchen item that might be used to make lava on a volcano model,B,chips,ketchup,pringles,milk,185_protoqa
name someone who has to work christmas eve.,A,doctor,actual,doc,has,475_protoqa
dogs chase cats. what do cats chase?,A,mice,dinosaurs,puppets,turtles,20_protoqa
name a reason a teenaged boy would have for wearing a suit.,A,wedding,valentine,holiday,lovely,5758_protoqa
"name a kind of car that has ""speeding ticket"" written all over it.",D,silverado,mustang,stingray,corvette,2662_protoqa
name a specific item that a woman might not want to wear when shes pregnant,A,bikini,jeans,pony,sweater,601_protoqa
name an instance when parents are likely to ask their children if they need to use the bathroom.,D,afternoon,nap,mornings,bedtime,1250_protoqa
name something hippies used to wear that may someday come back in style.,A,tie-dye,tye-dye,lampshade,wispa,426_protoqa
name something that might cause a real life family feud among neighbors.,D,loud,burst,panic,noise,4539_protoqa
name something you push.,A,cart,rack,trunk,lawn,6992_protoqa
name something that might take a nosedive.,A,stocks,markets,futures,rates,730_protoqa
name something that slides easily down your throat.,D,flea,barrel,soap,oyster,1940_protoqa
tell me something a kid might try to hide from their parents.,A,candy,chocolate,coke,milk,987_protoqa
name something people turn on just before they get in bed.,B,clock,alarm,ran,toilet,5504_protoqa
name something that's conducted,D,albums,upcoming,highlight,performances,6797_protoqa
tell me a good reason to attend your company holiday party.,C,enjoy,night,fun,awesome,7454_protoqa
tell me something it would be impossible to do standing up.,B,running,drive,corner,switch,7481_protoqa
name an occupation in which you might have to face booing crowds.,D,actress,superstar,celebrity,singer,4763_protoqa
name something strangers might talk about to break the ice.,A,weather,snow,today,degrees,64_protoqa
name a part of the body mentioned in many love songs.,A,heart,hearts,eyes,deep,797_protoqa
aside from animals name something people hunt for,C,couponing,coupons,bargains,discounts,6_protoqa
name something that parent of a baby is constantly listening for,C,asleep,dying,crying,laughing,5632_protoqa
which bad work trait would be hard to detect while interviewing someone,A,laziness,unbearable,disappointment,procrastination,5333_protoqa
"when you were a little kid, where did you think babies came from.",D,stringer,whiting,chardonnay,stork,3179_protoqa
give me a sure cure for a hangover.,A,sleep,awake,wake,tired,6520_protoqa
"name something you'd hate discover you didn't have a clean one of, in the whole house.",D,glasses,shoes,pants,clothes,4896_protoqa
name something a cat would probably do if it felt threatened,B,hoee,hiss,niggaa,bitchh,1466_protoqa
name a place dogs hate to go.,C,cosmetologist,exfoliation,veterinarian,leopard-print,1952_protoqa
name a zoo animal that eats more than you do.,A,elephant,dolphin,giraffe,turtle,794_protoqa
name something a bride worries might happen on her wedding day.,A,rain,sun,falling,snow,3677_protoqa
name something you find in a photo lab.,C,images,photo,photos,page,3875_protoqa
tell me a name that's common for cats to have.,B,cuddly,fluffy,furry,fuzzy,942_protoqa
name something specific a rental car company checks when you return your car.,A,mileage,boosted,traction,glycemic,1392_protoqa
name something about his wedding that a prospective groom has no say in at all.,D,skirt,heels,dresses,dress,1630_protoqa
name a vegetable people grow in their garden.,B,avocado,tomato,garlic,pepper,2807_protoqa
name something youll find on the breakfast menu no matter what kind of restaurant youre at,C,toast,bread,eggs,cookies,613_protoqa
name a tool that you would use to build a bird house.,C,seen,dad,saw,missing,7272_protoqa
name an occupation whose members are no better than crooks.,A,politician,democrat,nigerian,communist,850_protoqa
name something a father and son might spend the day doing together.,B,backyard,fishing,cigar,turf,7006_protoqa
"name something you shouldn't photocopy, but do anyway.",D,phone,use,send,id,2897_protoqa
name a cereal kids love to eat.,B,jerky,cheerios,cracker,crackers,3732_protoqa
name something you climb.,A,trees,bridges,grass,sand,106_protoqa
tell me somewhere people have a tv that you think is ridiculous.,A,bathroom,bedroom,floor,window,4177_protoqa
name something you should never park in front of.,D,restroom,flooded,sidewalk,driveway,5886_protoqa
name an animal whose name children mispronounce.,C,fossilized,parakeet,rhinoceros,jaundice,780_protoqa
name something you hate about winter.,B,coke,ice,coffee,cream,441_protoqa
name something a track coach might carry with him.,D,mammography,self-serve,switcher,stopwatch,7101_protoqa
name something you need to play a game of ping-pong,D,tipping,backfield,astroturf,racket,7380_protoqa
"name something you should keep in the trunk of your car, just in case.",D,pillow,towel,wrap,blanket,7174_protoqa
name something in your kitchen you would hate to have break before your dinner party.,C,gallon,oven,stove,tray,81_protoqa
name a mood-setter in your home that you pay more attention to if you are trying to impress a date.,A,music,song,mix,dance,1463_protoqa
name something you might wash everyday,B,bottom,hands,head,arms,5754_protoqa
name a brand you can recognize just from its logo.,A,nike,audi,polo,adidas,6155_protoqa
name something you might find in a doctor's waiting room.,C,ads,websites,magazines,versions,5058_protoqa
name something a person uses to wipe their mouth with.,C,tile,wrapper,napkin,hanger,2492_protoqa
name different to use left over turkey,A,sandwiches,nachos,pancakes,burritos,4640_protoqa
name something that travels at high speeds.,C,elevators,spaceships,airplanes,sirens,1736_protoqa
name something that comes in a box.,B,oreos,cereal,taco,milk,819_protoqa
name something you eat that comes with sauce,B,noodles,spaghetti,lasagna,waffle,2388_protoqa
name an activity you do in the summer that is harder to do with a baby.,C,skating,fireworks,swimming,swim,7262_protoqa
what issue do voters care most about?,A,taxes,wage,tax,taxpayers,3211_protoqa
name something you buy by the roll.,B,pose,tape,car,type,492_protoqa
"besides medicine, name something people keep in their medicine cabinet.",D,interlocked,plasters,toothpicks,bandages,4313_protoqa
when is the worst time to get sick?,C,evening,holidays,vacation,afternoon,7569_protoqa
"name something you might ""catch up on"".",C,about,writing,reading,finding,3001_protoqa
name something people are afraid of.,D,squirrels,insects,mosquitoes,spiders,2757_protoqa
tell me something that can be frustrating to use for the very first time.,B,front,car,truck,on,4171_protoqa
name an occupation in which people often use their middle name or initial.,B,actual,doctor,has,doc,5607_protoqa
name something a resourceful person might use to hang a picture if they didnt have a nail,B,pose,tape,type,car,3334_protoqa
name something you do after returning home from a long vacation,B,tired,sleep,awake,wake,4499_protoqa
name something women like to take more time doing than men do.,B,sweats,bathing,pillows,clothes,1728_protoqa
name a place you see men crying.,B,grandmother,funeral,pastor,doctor,4952_protoqa
name an occasion when you know people will say nice things about you.,D,happy,bday,welcome,birthday,519_protoqa
name something that people swing.,A,rope,umbrella,sink,tail,393_protoqa
name a reason you might not get hired for a job.,D,showing,career,audience,appearance,2806_protoqa
tell me something that makes someone a bad house guest.,B,lazy,messy,lookin,thick,4199_protoqa
name a place where it would be rude to laugh.,C,doctor,pastor,funeral,grandmother,258_protoqa
name someone who might bake you a cake.,A,mom,dad,sister,grandma,3806_protoqa
name something you get on from time to time.,B,fence,airplane,sidewalk,elevator,717_protoqa
name something people stick their fingers in that they shouldn't.,C,me,dime,nose,noo,670_protoqa
name something that parents would ask their kids to wear in cold weather.,A,coat,shoe,tank,boots,5237_protoqa
name the smelliest place someone can work.,A,farm,dairy,village,plant,855_protoqa
name a cartoon character that can fly,A,dumbo,aladdin,gump,chucky,3561_protoqa
name something you buy at a hospital gift shop,B,tree,flowers,flower,pieces,4019_protoqa
name an activity during which you get bored and sleepy.,B,writing,reading,about,finding,3755_protoqa
name something parents photograph their baby doing for the first time.,A,walking,sitting,outside,while,3454_protoqa
name something found in las vegas that youd like to see more of in your home town,B,silos,casinos,castings,taxis,2294_protoqa
name a dance that you'd never see someone do at a dance club.,B,springsteen,waltz,smaug,clapton,688_protoqa
if you got stuck in the desert what would you want to have with you,D,burning,salt,bottle,water,4355_protoqa
name something that is driven by the wind.,A,windmill,thrower,crossbow,tambourine,7133_protoqa
name something doctors are always telling people to stop doing,D,smoke,weed,drinking,smoking,505_protoqa
name a reason you might have to leave work early.,A,sick,crazy,feel,hell,4984_protoqa
tell me a way to communicate without technology,C,account,link,mail,app,6361_protoqa
name something a house can be infested with.,C,rats,lizards,roaches,snakes,1606_protoqa
name something that you now wish had been forced to do as a child.,A,study,homework,exam,form,4057_protoqa
who might you pool money with to buy lottery tickets?,D,sister,girl,mom,friend,2108_protoqa
name something you'd wear to a roaring '20s themed party.,D,earrings,porcelain,bead,beads,1362_protoqa
name a type of bean people eat.,C,mashed,grilled,baked,fried,3782_protoqa
name something you find on a cricket ground.,A,pitch,plays,draw,field,1705_protoqa
name an occupation in which you might adopt a fake name,D,robocop,scientist,remake,detective,3469_protoqa
name a school supply that you haven't used since you were young.,C,owl,string,crayon,sponge,2222_protoqa
name something specific everyone complains about.,D,snow,today,degrees,weather,1938_protoqa
name something baseball players do while they're in the dugout,A,spit,bust,whip,choke,3462_protoqa
name something a couple engaged to be married might go shopping for.,B,bow,ring,tie,hand,178_protoqa
"besides the star, name someone that might ride in a rock star's tour bus.",B,coordinator,manager,assistant,agent,1111_protoqa
name a place where it'd be in bad taste to hit on someone,A,funeral,grandmother,pastor,doctor,2262_protoqa
name a sport that requires water in order to be played,A,swimming,fireworks,skating,swim,2493_protoqa
name something people like to receive in the mail.,C,cash,pay,money,some,7222_protoqa
name a word that you might see before or after the word wax,D,weft,sweetener,switchblade,beeswax,1386_protoqa
name something in your house that can be set.,C,garage,range,table,corner,1403_protoqa
name something from home that you wish movie theaters had,B,shower,bed,mine,asleep,746_protoqa
name something you might do on a date in the park.,C,baby,love,kiss,smile,4470_protoqa
"if donald trump lost all his money, name something else he'd probably lose.",B,husband,wife,daughter,father,4360_protoqa
name something people can inherit genetically from their parents:,C,length,gap,height,skin,677_protoqa
what might an actor do to make you not see their movies anymore?,D,wil,wie,wat,die,348_protoqa
"name something (other than food) that people will buy, even if it is tripled in price.",B,tyres,gasoline,pipes,cement,4831_protoqa
name a part of your body that plastic surgery could possibly improve.,C,noo,dime,nose,me,1599_protoqa
name something that's found in just about every desk drawer.,A,pencil,keyboard,glasses,sheet,511_protoqa
name a profession where you might be bitten by a dog.,D,cosmetologist,leopard-print,exfoliation,veterinarian,238_protoqa
name something a teenager couldnt live without,C,camera,cell,computer,device,5610_protoqa
name something a baseball fan might be holding at the game,D,kick,round,heat,ball,6942_protoqa
name something people often steal from the office to use at home.,A,paper,class,blank,assignment,5235_protoqa
name a food that people usually eat with their fingers.,B,chocolate,pizza,starbucks,pasta,3762_protoqa
name something a bracelet might be made of. (be more specific than metal),C,diamond,blue,gold,silver,3071_protoqa
name something you might lose on the dance floor.,D,purse,bag,glasses,wallet,6176_protoqa
name an expense on a business trip that the company would be expected to reimburse.,C,york,park,hotel,cafe,5722_protoqa
name the first thing youd say to the other driver after a fender bender,D,okay,nope,oh,sorry,2451_protoqa
name a food that people give as gifts during the holidays.,A,fruitcake,unagi,frybread,i̇taat,5949_protoqa
name something it would be rude not to do when being introduced to a stranger,B,heart,smile,hug,kiss,363_protoqa
name something that is found in a pond.,C,egg,meat,fish,chicken,3672_protoqa
"if someone is talking too much, what might you offer them in the hope of keeping them quiet?",D,wine,drink,coffee,food,3296_protoqa
name something or someone with fangs.,C,wolf,twilight,vampire,dance,3862_protoqa
name something you buy that has to be weighed first.,C,pineapple,butter,fruit,milk,690_protoqa
name something that you would see around a fireplace:,A,firewood,shear,twine,penicillin,2753_protoqa
name a clothing fabric.,A,cotton,stripe,silk,leather,6074_protoqa
"finish this sentence: when visiting ___, don't forget to bring your sunglasses.",B,texas,florida,georgia,chicago,5424_protoqa
when sitting next to someone she likes name something a woman does to flirt,C,kiss,heart,smile,hug,7534_protoqa
name something in a casino that may give you a headache.,B,loud,noise,panic,burst,3492_protoqa
name something that a guy who's competitive hates to lose.,A,game,season,play,games,634_protoqa
name a source of power.,D,currents,imbalance,military-industrial,combustion,4753_protoqa
name a game that you see people playing in the park,A,frisbee,kickball,foosball,dodgeball,6684_protoqa
"name a place where shoplifters stash the goods, until they're out of the store.",D,pants,shoes,glasses,clothes,810_protoqa
name a tool a man can't live without.,C,knife,wand,hammer,spike,925_protoqa
name a costume adults like to wear on halloween.,A,witch,dinosaur,frog,demon,4841_protoqa
name something you carry with you just in case but hate to get stuck carrying,D,shirt,hoodie,sweater,jacket,328_protoqa
name something kids get in trouble for throwing,C,coffee,wine,food,drink,5665_protoqa
name something that you don't want your dog to chew on over the holidays,D,rocks,sky,doors,lights,2293_protoqa
what do you do when someone cuts in front of you in line?,C,cry,breathe,scream,yell,3224_protoqa
name a grown-up activity kids do when they're playing pretend,B,cooking,cook,cooked,beef,1340_protoqa
name something you eat with a spoon.,B,cheese,soup,pudding,salad,1635_protoqa
what one thing about a vacation costs the most money?,C,charters,eatery,lodging,accommodations,2141_protoqa
name a card game that takes a long time to play,C,racing,golf,poker,cod,3483_protoqa
"name a quality that makes a successful man successful, but also makes him not such a good husband.",A,workaholic,overachiever,waster,insomniac,2627_protoqa
"name an animal that's usually not dangerous, but many people are afraid to touch",C,cat,dogs,dog,monkey,2322_protoqa
tell me something people say they're on.,C,meds,medicine,medication,dysfunction,5302_protoqa
tell me something you might do on a sunday.,B,living,church,haven,house,7466_protoqa
name a reason why couples elope.,C,relations,expertise,finances,clients,6173_protoqa
name a reason why someone might not want their phone number listed in the phone book.,C,gender,identity,privacy,default,6668_protoqa
name something a teen wouldnt be able to go without for a day,B,radio,tv,channel,video,13_protoqa
name a romantic gift for a woman that her 2-year-old might be jealous of.,D,coke,milk,chocolate,candy,170_protoqa
name a country that was involved in world war ii,D,wales,ireland,sweden,germany,5091_protoqa
what might somebody do that would annoy fellow theatergoers at a play,B,mouth,cough,poop,dammit,3196_protoqa
which spooky halloween character would you hate to run into in a dark alley,A,jason,bruce,lewis,frank,7519_protoqa
name something that never lasts as long as you hope it would.,B,cash,money,pay,some,524_protoqa
name a place that a college student would be most surprised to see their grandparent.,A,party,crew,friday,night,90_protoqa
according to women: which occupation has the sexiest men?,C,facility,building,construction,transportation,5395_protoqa
name a sport that needs ice.,C,tennis,football,hockey,rugby,1719_protoqa
"why would someone like star wars, but not star trek?",A,characters,character,lyrics,songs,7515_protoqa
what's something that could ruin a wedding if it got there late?,B,inspired,bride,wedding,groom,352_protoqa
other than gambling what do casinos have inside to get customers to stick around,B,wines,cocktails,brunch,tasting,5251_protoqa
"in your fantasies, name something you do to your boss.",D,run,out,down,hit,1175_protoqa
name a food that has an acquired taste.,C,coral,heineken,caviar,kiwi,3884_protoqa
name a color skittles come in.,C,blue,white,red,black,436_protoqa
name something you see in every james bond movie.,A,guns,attack,drugs,birds,6015_protoqa
name something about love that some people believe in and others don't.,D,dreams,magical,lifetime,endless,2295_protoqa
people move to california for the weather. name a reason they move away.,C,hurricanes,tornadoes,earthquakes,coyotes,3100_protoqa
name something a one year old spends a lot of time doing.,A,eating,eat,drinking,smoking,400_protoqa
name something a parent might try to convince their child to try in the summer.,A,swimming,swim,skating,fireworks,1956_protoqa
name an errand it seems you are always doing.,A,laundry,washing,cleaning,dishes,1870_protoqa
name an image that's often used in ads at thanksgiving.,C,turkish,soldiers,turkey,italian,2441_protoqa
besides andy name a character from the andy griffith show,B,majid,opie,hannan,jaesuk,6493_protoqa
which world city would you like to win a trip to?,C,france,grand,paris,lyon,4249_protoqa
name something that is different about writing a research paper on a computer than on a typewriter.,B,catalog,printing,domain,platform,5696_protoqa
name a vegetable that people might grow in their backyard.,D,pepper,avocado,garlic,tomato,7208_protoqa
name something women do a lot of when they're pregnant.,B,awake,sleep,tired,wake,2921_protoqa
"tell me an expression that contains the word ""sweat"".",B,investment,equity,consumer,investments,113_protoqa
name a job which might require someone to work on christmas,B,therapist,nurse,receptionist,physician,139_protoqa
what weather condition might a meteorologist have trouble pronouncing?,B,tornado,tsunami,damascus,pacific,6465_protoqa
name something a woman might complain that her husband never wants to do,A,clean,flat,wash,stick,4545_protoqa
name something medieval knights used in combat.,D,blade,shadow,flame,sword,6052_protoqa
name something a student might forget to bring to school.,B,studying,homework,exam,math,5806_protoqa
"if your dog could talk, what might he say?",D,cooks,treat,cakes,treats,4364_protoqa
name something that vampires hate.,A,sunlight,bursting,dust,flowing,1985_protoqa
name something that a bank uses for security against crime:,D,phones,sync,screens,cameras,663_protoqa
name a unit of currency that's used in a foreign country,D,pesos,dólares,€,euros,3410_protoqa
name something people put in the microwave that they shouldn't.,B,straw,foil,hanger,patches,3964_protoqa
name a culture or religion that celebrates a different new year then the west,C,french,african,chinese,japanese,1215_protoqa
name something you check everyday.,B,link,email,search,e-mail,1999_protoqa
name a vehicle where passengers can also stand while riding,A,bus,jet,car,taxi,168_protoqa
name something that carries a big load.,C,parking,seat,truck,cab,4825_protoqa
name a food people serve on a bed of rice.,B,salad,chicken,cheese,fried,4414_protoqa
name a way to tell if you neighbors are home.,D,coooooool,niiice,niiiiice,noice,12_protoqa
name something that has flippers.,D,whale,elephant,slaughter,dolphin,696_protoqa
name a form of communication that few people use anymore.,B,herald,telegraph,dispatch,examiner,5544_protoqa
name something you'd expect to see in a boardroom meeting.,C,ceos,agencies,executives,execs,5623_protoqa
name something people might regret doing to their body.,B,tattoo,piercing,tatoo,mascara,5219_protoqa
name an occasion when a women might be especially nervous and excited.,C,wife,daughter,pregnant,married,2915_protoqa
name a country kids study in ancient history class.,B,saudi,egypt,iraq,lebanon,771_protoqa
name a reason why a kid might not trickortreat,C,shut,pissed,scared,swear,3359_protoqa
name something specific a kid might have to stay after school to do.,C,dui,sobriety,detention,probation,7144_protoqa
name a color some men never wear,C,sweater,blue,pink,purple,5668_protoqa
we asked womenwhich accessory or piece of clothing do you buy most often,C,shoe,socks,shoes,boots,5345_protoqa
instead of magazines name something you wish your dentists waiting room had,A,tv,radio,video,channel,130_protoqa
besides trash name something specific people throw away every day.,D,sml,funtasma,thiamine,coinage,18_protoqa
name something about their jobs that teachers hate.,C,old,all,kids,other,1556_protoqa
name something you might see in a bathtub.,A,water,burning,bottle,salt,6700_protoqa
name something you slurp.,B,icecream,slurpee,froyo,choclate,555_protoqa
tell me something people do to pass the time when they're sick at home.,D,write,answer,what,read,985_protoqa
which of the 7 dwarfs would be the most annoying coworker?,C,naughty,sassy,grumpy,spoiled,5391_protoqa
name a room in a family's home where you are most likely to find an air freshener.,A,bathroom,bedroom,window,floor,1725_protoqa
name the first food people learn how to cook.,D,bread,cookies,toast,eggs,1538_protoqa
name something that people like to show off,D,front,on,truck,car,1408_protoqa
name something you wish you could bring to work.,B,animals,pets,kittens,puppies,5174_protoqa
name the most exciting thing to shop for.,A,clothing,accessories,apparel,models,6009_protoqa
name the number one state people want to live in.,B,florida,california,valley,texas,5209_protoqa
name the first thing you would spend money on if you won the lottery.,A,house,room,home,out,7042_protoqa
name a celebrity that has their own line of perfume.,B,nicki,beyonce,minaj,rihanna,871_protoqa
name something people use to decorate their house for christmas.,B,doors,lights,rocks,sky,6021_protoqa
name something you'd hate to discover your house was built on top of.,B,cemetery,graveyard,conservatory,lunchroom,7410_protoqa
name a place in the house where people store their junk.,C,paint,tube,closet,bathroom,3624_protoqa
name something a teen can do for longer amounts of time than their parents.,C,awake,tired,sleep,wake,5572_protoqa
name an adult that a child might know by name other than parents or relatives.,A,teacher,class,roommate,english,753_protoqa
name a place that kids beg their parents to take them.,D,hill,hall,square,park,1864_protoqa
tell me something on a woman's body that's considered prettier when long.,C,nails,glasses,hair,eye,4198_protoqa
name something you gain as you get older.,D,virtue,strength,faith,wisdom,6135_protoqa
"besides drive it, name something you do to your car.",D,clean,brush,dry,wash,719_protoqa
which question do you think is asked the most at a high school reunion?,B,other,kids,all,old,2103_protoqa
name something of yours that you'd be angry to find a partner snooped into,B,book,diary,novel,quote,4616_protoqa
name something you cant be afraid of if you want to become a vampire,A,blood,burning,body,burn,6777_protoqa
a song might be a hit. name something else that might be a hit.,D,episode,song,movies,movie,6488_protoqa
