sentence,question,answer,label,category,id
"He accents the illusion of reality --I paraphrase his entry in La Enciclopedia Humanica --by doing life-size scenes in ""The full round,"" never the easier frontal or three-quarters view.",How long did it take him to develop his unique style?,his style evolved over the course of his twenty year career,yes,Event Duration,5579_MC_TACO
She told me that she was heading for a drink and slipped out of the crowd.,How long was she at the bar?,18 hours,no,Event Duration,1401_MC_TACO
"Mintie, her colleagues say, could have made a lot of money in private practice.",How long has Mintie been making money?,20 seconds,no,Event Duration,8808_MC_TACO
"For example, buy local produce at a farmers market, like the one in Figure 2.20.",What happened after produce was bought at the farmers market?,it introduced a line for the home market,no,Event Ordering,6778_MC_TACO
Some of the people who took advantage of her through a questionable loan program were sent to jail.,What time of day were they sent to jail?,8:00 AM,yes,Typical Time,193_MC_TACO
Nibras and Quso delivered money to Khallad in Bangkok during Khallad's January 2000 trip to Kuala Lumpur and Bangkok.,Did Khallad's trip eventually come to an end?,no he continues to travel around the world to this day,no,Stationarity,8723_MC_TACO
Max and Joey would often run through fields in a game of chase.,How often do Max and Joey run?,once every 90 minutes,no,Frequency,98_MC_TACO
"According to the radar reconstruction, American 77 reemerged as a primary target on Indianapolis Center radar scopes at 9:05, east of its last known position.",How long did it take for American 77 to reemerge as a primary target?,it introduced two radar detectors,no,Event Duration,7104_MC_TACO
"After graduating from Cairo University with a degree in architectural engineering in 1990, Atta worked as an urban planner in Cairo for a couple of years.",What happened after Atta worked as an urban planner?,atta moved from moscow,no,Event Ordering,2022_MC_TACO
"Domestic violence survivors in Jackson, Vicksburg, Hattiesburg, Oxford and Pascagoula can all get help.",How often is help offered?,every century,no,Frequency,690_MC_TACO
"They first traveled by plane around Europe, where they saw many different people and sights.",What happened after the planes would land.,they would disembark their passengers,yes,Event Ordering,3784_MC_TACO
"When our cars burn gasoline in their engines, it is converted into motion and heat.",For how long is an engine burning gasoline each day.,ten seconds,no,Event Duration,6585_MC_TACO
"In particular, the author differentiates between what he terms 'dominance' and a particular version of 'colonization'.",What time did the author write this?,2:00 PM,yes,Typical Time,2895_MC_TACO
"Spontini, one of whose best operas was based on the life of that much mis-married enthusiast for divorce, John Milton, took to wife a member of the Erard family.",What time did Milton get married?,when he was at work last tuesday afternoon,no,Typical Time,1170_MC_TACO
"After dinner, he went to look for Max one last time before he had to take a bath and go to bed.",When did he go to bed?,10:00 AM,no,Typical Time,2151_MC_TACO
"In school, Atta came across as very intelligent and reasonably pleasant, with an excellent command of the German language.",How often did Atta speak German in school?,every-day,yes,Frequency,7538_MC_TACO
"Yonggary is then sent to the city and does some damage , where some jets attack him .",What time did the jets attack Yonggary?,10:00 AM,yes,Typical Time,569_MC_TACO
"Alexander then faced the Assakenoi, who fought in the strongholds of Massaga, Ora and Aornos.",For how long did Alexander face the Assakenoi?,1 minute,no,Event Duration,4876_MC_TACO
"The Beatles are giving a press conference about their new film , Magical Mystery Tour .",Were the Beatles still doing a press conference the next day?,three-day tour,no,Stationarity,8228_MC_TACO
"Durer rejected Alberti's concept of an objective beauty, proposing a relativist notion of beauty based on variety.",How often are philosophical concepts rejected?,philosophical concepts are rejected once a week,no,Frequency,942_MC_TACO
All the puppies at the dog pound need a loving home.,How long will it take to find them a home?,10 minutes,no,Event Duration,3918_MC_TACO
"He accents the illusion of reality --I paraphrase his entry in La Enciclopedia Humanica --by doing life-size scenes in ""The full round,"" never the easier frontal or three-quarters view.",How long did it take him to develop his unique style?,albums,no,Event Duration,5582_MC_TACO
"Mzoudi studied in Dortmund, Bochum, and Muenster before moving to Hamburg in 1995.",How often does Mzoudi travel to other cities?,every night,no,Frequency,2129_MC_TACO
"Jaanu , who has been following Nandini , beats up Preetam thinking that he is in love with Nandini .",How long was Jaanu following Nandini?,jaanu wasn't following nandini,no,Event Duration,4579_MC_TACO
"If you build a campfire, you start with a large stack of sticks and logs.",How often do you build campfires?,i sometimes build campfires,yes,Frequency,3121_MC_TACO
"In the end , they drive off , listening to the radio .",How long was the drive?,60 hours,no,Event Duration,1586_MC_TACO
Johnson is a justice on California's Second District Court of Appeal.,How many times a week does Johnson go to court?,15,no,Frequency,6506_MC_TACO
The Albanians first appear in the historical record in Byzantine sources of the late 11th century.,How often did the Byzantine empire document new cultural groups?,every few hundred hours,no,Frequency,1748_MC_TACO
"Newman also has a $5.4 million long-term compensation package the company awarded him upon his appointment as CEO in March 2010, according to the SEC filing.",How often do companies award multi-million dollar compensation packages?,several times each year,no,Frequency,1888_MC_TACO
"Tommy and Suzy (brother and sister) went to the playground one afternoon with their mom and dad, Jan and Dean.",How long were they at the playground?,7 seconds,no,Event Duration,271_MC_TACO
Fossils tell an obscure story of man's slow and sporadic development.,Was the animal born before the fossil was created?,yes,yes,Stationarity,2377_MC_TACO
"When I was in college, I thought I wanted to be a doctor, she said.",How long was she in college?,12 years,no,Event Duration,2495_MC_TACO
"There has been a transition and [the clinic] has helped to fill some void, said Deni Butler, administrator for the Eastern District Superior Court.",How long did the transition take?,5 minutes,no,Event Duration,4109_MC_TACO
"When everything was ready, she removed the seedlings from their trays and planted them in her garden.",How long did it take for to get everything ready?,20 seconds,no,Event Duration,2459_MC_TACO
He recalled that theTaliban had spotted a Predator in the fall of 2000 and scrambled their MiG fighters.,What happened after the MiG fighters scrambled?,and got an airborne illness,no,Event Ordering,956_MC_TACO
Alexander the Great's accomplishments and legacy have been depicted in many cultures.,How long did Alexander the Great reign?,a few weeks,no,Event Duration,9074_MC_TACO
"This approach has been echoed by Lev Landau and Evgeny Lifshitz, and others, and has become standard.",How long did it take to become standard?,several seconds,no,Event Duration,761_MC_TACO
"Britain finally ceded the island to Spain in the year 1802, under the terms of the Treaty of Amiens.",How many times did the British cede the Island?,they fought over it 1 different times,no,Frequency,6907_MC_TACO
"At Corinth, Philip established a ""Hellenic Alliance"" (modeled on the old anti-Persian alliance of the Greco-Persian Wars), which included most Greek city-states except Sparta.",What happened before the alliance took place?,the city revolted,yes,Event Ordering,6109_MC_TACO
"Peter wanted to show off his bark, but he was too tired.",What did Peter do next?,went to sleep,yes,Event Ordering,3464_MC_TACO
"Wallace lives in Athens, W. Va., with her husband Rob, 37, and her daughters Rachel, 11, and Claire, 5.",How often does Wallace travel outside of Athens?,three times a second,no,Frequency,4071_MC_TACO
Afterwards she felt a lot better and went to sleep.,Did she still feel bad after waking up?,no,yes,Stationarity,3201_MC_TACO
The Minangkabau custom of freely electing their leaders provided the model for rulership elections in modern federal Malaysia.,How long did the elections take?,1 minute,no,Event Duration,3267_MC_TACO
She had gotten out of her last day of school and was free for the summer.,What did she do after her last day of school?,she attended secretarial school,no,Event Ordering,7663_MC_TACO
She explained that Frank 's father was an alcoholic and that his mother worked as a toll booth operator .,How long has Frank's father been an alcoholic?,twenty seconds,no,Event Duration,1533_MC_TACO
He jumped on his favorite chair and looked down as Maggie ran under it.,How long did it take him to jump on the chair.,15 minutes,no,Event Duration,5319_MC_TACO
"Soaking wet, he ran toward where I was eating a sandwich on the grass and curled right up in my lap so I could make him feel better.",At what time of the day did he lay in her lap?,2:00 AM,no,Typical Time,4126_MC_TACO
"Direct control of the political operations of the entirety of Algeria, however, was not.",How long was there direct control of the politic operations?,1 year,yes,Event Duration,610_MC_TACO
"It hadn't seemed relevant, somehow, given that I was still reeling over the explosion, the deaths of my crewmates, and the rescue.",How long did the explosion take?,1 month,no,Event Duration,3459_MC_TACO
About a third of what we throw out is packaging.,How long does it take to throw it out?,90 years,no,Event Duration,2800_MC_TACO
"The massive ice sheet, called a glacier, caused the features on the land you see today.",How often does the glacier move?,each century,no,Frequency,4316_MC_TACO
"In another major paper from this era, Einstein gave a wave equation for de Broglie waves, which Einstein suggested was the Hamilton-Jacobi equation of mechanics.",How often did Einstein publish his wave equation?,the eighth wave,no,Frequency,3838_MC_TACO
"The massive ice sheet, called a glacier, caused the features on the land you see today.",What happened after the glacier caused the features on the land?,the ice formed about 2 hours,no,Event Ordering,4348_MC_TACO
"She began to tell the story of Majestic, the wild horse who could not be calmed.",How long did she tell the story?,9 days,no,Event Duration,5742_MC_TACO
The Vice President's task force was just getting under way when the 9/11 attack occurred.,How long did it take to clean up after the 9/11 attack?,it took 27 years,no,Event Duration,6416_MC_TACO
They like to play hopscotch or jump rope but that day they wanted to play tag.,When did they start playing?,they started playing at 10am,yes,Typical Time,5012_MC_TACO
Triumph and Disaster: The 20th century saw a stupendous release of energies that had been pent up for the 250 years of Tokugawa isolation.,How often did 20th century Japan experience conflicts?,once a night,no,Frequency,8017_MC_TACO
", native Archaic Indians began to develop a lasting hunting and gathering culture.",What did they do after a successful hunt?,slept,yes,Event Ordering,1441_MC_TACO
"One day, Kevin traveled from his home in the United States of America to Erin's house in England.",How often does Kevin travel to England?,every week,no,Frequency,7824_MC_TACO
He estimated the money will help handle at least another 180 cases next year.,What happened before the money was available?,people struggled,yes,Event Ordering,7312_MC_TACO
"Not that he devised flint and steel, matches, or any other way of creating fire.",How long does it take him to build a fire?,3 months,no,Event Duration,821_MC_TACO
Some are trying to escape eviction or an abusive marriage.,When do they typically escape?,hours later,no,Typical Time,8622_MC_TACO
"The origin of the funds remains unknown, although we have a general idea of how al Qaeda financed itself during the period leading up to 9/11.",When did al Qaeda begin financing itself?,after finishing the plan,no,Event Ordering,8847_MC_TACO
She had it for a long time so it is now a dark brown color.,What time did she buy it?,12:00 AM,no,Typical Time,7178_MC_TACO
"The 300-millimeter silicon wafers -- about the size of a standard pizza -- are shuttled around the facility in enclosed plastic pods, which ride on overhead tracks.",For how long do the wafers ride on tracks?,each week,no,Event Duration,234_MC_TACO
"When he's not working for a Washington defense attorney, Lucas recovers stolen property for a 40% cut.",What time does he arrive for work as a defense attorney?,1:00 AM,no,Typical Time,7292_MC_TACO
"Radio Televizioni Shqiptar (RTSH) is the public radio and TV broadcaster of Albania, founded by King Zog in 1938.",How old was King Zog when he founded RTSH?,96,no,Typical Time,7741_MC_TACO
"The 9/11 plotters eventually spent somewhere between $400,000 and $500,000 to plan and conduct their attack.",For how long did the 9/11 plotters plan the attack?,5 seconds,no,Event Duration,3347_MC_TACO
"Mintie, her colleagues say, could have made a lot of money in private practice.",How often does Mintie make money?,1.67 days a week,no,Frequency,8786_MC_TACO
"Partial lunar eclipses occur at least twice a year, but total lunar eclipses are less common.",How long does an eclipse last for?,10 seconds,no,Event Duration,919_MC_TACO
"Jud replies , `` Christ on His throne , no. .",How often does Jud attend Church?,every monday at 5 am,no,Frequency,6095_MC_TACO
"In this case he looks to his girlfriend , Violet .",How long did it take him to look at Violet?,it took him for 2 days,no,Event Duration,3150_MC_TACO
A majority of 65 votes in the 128-member body was required to reject his reinstatement.,How long did the campaign last?,the campaign lasted almost all second,no,Event Duration,2994_MC_TACO
I clapped her shoulder to show I was not laughing at her.,When did they clap her shoulder?,the next night,no,Typical Time,691_MC_TACO
They also argued that Hall's litigious style hampered their ability to garner funds from Congress.,What time did Hall leave his position for good?,4:00 PM,yes,Typical Time,1483_MC_TACO
She ordered the tastiest kind of each vegetable and the prettiest kind of each flower.,How often does she order vegetables and flowers?,every 90 minutes,no,Frequency,596_MC_TACO
"One day, Kevin traveled from his home in the United States of America to Erin's house in England.",How long did the trip take?,7 weeks,no,Event Duration,7849_MC_TACO
It was the seismograph that made it possible to learn why the Earth acted like a magnet.,How long will the Earth act like a magnet?,for next couple years,no,Event Duration,6706_MC_TACO
These specific animals might be more likely to visit only flowers of the same species.,What time of day do they collect pollen,2:00 PM,yes,Typical Time,2286_MC_TACO
Farragut convinces the ad men to make the motorcycle journey on the pretext of looking for a location to shoot a commercial .,How often will they make the journey?,every other night,no,Frequency,1756_MC_TACO
"Delighted , Preetam goes in search of her watch and brings it back .",At what time did Preetam go in search of her watch?,preetam went at 2:00 pm in search of her watch,yes,Typical Time,8124_MC_TACO
"By 1930 raw-material production had tripled the figure of 1900, manufactured goods had increased twelve-fold, and heavy industry was galloping towards maturity.",What happened after raw-materials production increased?,more production could be done,yes,Event Ordering,878_MC_TACO
"The official death toll has reached 114 -- including 66 women, 28 children and 20 men, the ministry said.",What did the ministry do after making this report?,the ministry played a role,no,Event Ordering,3262_MC_TACO
"Britain finally ceded the island to Spain in the year 1802, under the terms of the Treaty of Amiens.",How long did it take them to write the treaty?,1 minute,no,Event Duration,6900_MC_TACO
"The lightscreen provided had informed me when and where official meals were taking place, but I hadn't bothered to acknowledge the invitations.",What time did the lightscreen first provide the information?,50 years ago,no,Typical Time,9105_MC_TACO
they were heard saying when the photo was taken -- while Rowlf is clearly a selfie king.,How often does Rowlf take selfies?,once a month,no,Frequency,5865_MC_TACO
Spanish rule dictated Portugal's inadvertent involvement in Spain's ongoing wars.,How often does Spain go to war?,every few weeks,no,Frequency,9180_MC_TACO
"The First Dynasty The confluence of mythology and history in China took place around 4,000 years ago during what is referred to as the Xia (Hsia) Dynasty.",Does the dynasty still exist?,no,yes,Stationarity,3455_MC_TACO
"After several years of private practice from 1982-90, he became the judge of Decatur County Court for a year.",What happened after Decatur County?,he retired early,yes,Event Ordering,2427_MC_TACO
Afterwards she felt a lot better and went to sleep.,How many hours did she sleep?,270 minutes,no,Event Duration,3213_MC_TACO
"One day, as Mary was picking the blueberries, she turned around to find that Max was not there.",How long did Mary spend picking blueberries?,1 hours,yes,Event Duration,1151_MC_TACO
The new novel takes place in a morally gray and often violent world.,How long was it a violent world,1 night,no,Event Duration,9252_MC_TACO
"The massive ice sheet, called a glacier, caused the features on the land you see today.",How often does the glacier move?,every one hundred year,no,Frequency,4330_MC_TACO
Her mommy took her to the dog pound so that she could choose one that she wanted.,How often do they visit the dog pound?,three times a century,no,Frequency,2031_MC_TACO
Lucrezia is an honorable woman and does not at first agree to meet with the stranger .,What happens after she agrees to meet with the stranger?,they become friends,yes,Event Ordering,1593_MC_TACO
"Mama kept her mink jacket, a family hand-me-down, safe from time in a stopbox, and lent the capturador to my uncle for his stamp collection.",How often does Mama put the jacket in the stopbox?,once a week,no,Frequency,3537_MC_TACO
"Concerning the Georgetown Hoya interview where Heston was asked about Rolland, you write: ""There is no indication that [Heston] recognized Kayla Rolland's case.""",Did the Rolland case initiate before the interview?,yes,yes,Event Ordering,9422_MC_TACO
"Khallad helped in Yemen until he was arrested in a case of mistaken identity and freed with  Bin Laden's help, as we also mentioned earlier.",What year was Khallad arrested?,2127,no,Typical Time,7036_MC_TACO
"However , by the time Schahzenan's army reaches the city , Scheherazade's plan has worked .",How long will Schahzenan's army take to reach the city?,it will take them one minute,no,Event Duration,8383_MC_TACO
"There are many haras (breeding stables) in the neighbourhood, and the big Norman posters are much in demand.",How often are the big Norman posters requested?,several times daily,yes,Frequency,3670_MC_TACO
"Growing up on a farm near St. Paul, L. Mark Bailey didn't dream of becoming a judge.",What time of the day does he start work?,he starts work when 9 : am,yes,Typical Time,2728_MC_TACO
He said that Oliver North of Iran-Contra notoriety thought he had erased his computer but that the information was later retrieved for congressional committees to read.,What happened after the congressional committees read the data?,they made a claim against the person,yes,Event Ordering,5186_MC_TACO
"After several years of private practice from 1982-90, he became the judge of Decatur County Court for a year.",When did he get a law degree?,1983,no,Typical Time,2408_MC_TACO
"There are some exceptions, including pregnancies that resulted from sexual assault, incest or other violations of law.",Are the victims still pregnant?,no,yes,Stationarity,5528_MC_TACO
"In Malaysia, Powell met with Prime Minister Mahathir Mohamad, who has led the country since 1981.",How long did Powell take to travel to Malaysia to meet the Prime Minister?,4 hours,yes,Event Duration,1463_MC_TACO
"In 27 percent of the cases, the charges were dismissed or the defendant was found not guilty.",What did the defendants do after the charges were dismissed or they were found not guilty?,returned home to their parents,yes,Event Ordering,1651_MC_TACO
"A thin, washed-out, pretty woman stood up, and clasped her hands in front of her.",How long were her hands clasped?,1 day,no,Event Duration,7244_MC_TACO
"He loved spending time with him when he was younger, but he had moved last year.",What time did he leave on the day he moved?,he noted by this time last year,no,Typical Time,9307_MC_TACO
"She renews in Ranchipur an acquaintance with a former lover , Tom Ransome , now a dissolute alcoholic .",How frequently does Tom drink?,every century,no,Frequency,208_MC_TACO
"The company called that record ""a reflection on our commitment to achieving an incident-free environment, all the time, everywhere,"" the SEC filing states.",How long has the company had an incident-free environment?,2 days,no,Event Duration,1565_MC_TACO
Bin Laden and his aides did not need a very large sum to finance their planned attack on America.,How long did it take for Bin Laden and his aides to plan the attack?,1 year,yes,Event Duration,6623_MC_TACO
"He had never had any pets before, but was always excited to see the other dogs and cats in his neighborhood.",How often does he see dogs and cats?,every month,no,Frequency,2244_MC_TACO
A plant uses a lot of energy to produce nectar.,What happens after the nectar is produced?,it carrying a lot of debt,no,Event Ordering,1500_MC_TACO
She added a special growing mix from the garden store to make the soil better.,How long did it take to add growing mix into the garden?,1 month,no,Event Duration,8974_MC_TACO
"In school, Atta came across as very intelligent and reasonably pleasant, with an excellent command of the German language.",When did Atta learn German?,in her late 80s,no,Typical Time,7564_MC_TACO
"He succeeds James A. Taylor, who stepped down as chairman, president and chief executive in March for health reasons.",How long does it take for the successor to officially take James A. Taylor's position?,it will take 9 months,no,Event Duration,1571_MC_TACO
"At about 9:20, security personnel at FAA headquarters set up a hijacking teleconference with several agencies, including the Defense Department.",How long did the security personnel take to set up a hijacking teleconference?,an year,no,Event Duration,1857_MC_TACO
His counter-attack with Dayak warriors drove the Chinese out of Bau and across the Sarawak border.,What did the Chineese do next?,39 lenders across the u.s. offer home loans,no,Event Ordering,161_MC_TACO
"One day, as Mary was picking the blueberries, she turned around to find that Max was not there.",How long did Mary spend picking blueberries?,2 seconds,no,Event Duration,1153_MC_TACO
These specific animals might be more likely to visit only flowers of the same species.,What time of day do they collect pollen,he declined to be specific,no,Typical Time,2290_MC_TACO
"Allan crouched over his desk once more, pen in hand and mind blank.",How often does Allan crouch over his desk?,every day,yes,Frequency,8666_MC_TACO
"Billy loved to watch as Tumble ate his bowl of oatmeal, because Billy took good care of Tumble, everyday.",What did Tumble do after eating the oatmeal?,went to school,yes,Event Ordering,6193_MC_TACO
"The suggestion that you are some one else is the thing to strive for, not the concealment of who you really are.",How often do people conceal who they truly are?,every month,no,Frequency,2975_MC_TACO
"Our emphasis has been on having our potential clients know about us and deliver services to them, Dudovitz said.",Do the clients learn about the company before becoming clients?,no,no,Event Ordering,6886_MC_TACO
"Mzoudi studied in Dortmund, Bochum, and Muenster before moving to Hamburg in 1995.",How many years did Mzoudi spend studying ?,900,no,Event Duration,2091_MC_TACO
"Among the travelers were Mohamed Atta and Abdul Aziz al Omari, who arrived at the airport in Portland, Maine.",At what time did the travelers arrive at the airport?,"the travelers arrived in the springtime, after 3 days of travel",yes,Typical Time,5929_MC_TACO
"At the same time, the Sudanese regime began to change.",How long did it take for differences to become apparent?,a couple months,yes,Event Duration,2708_MC_TACO
"In the opening scene , Randy Morton describes a typical Friday afternoon at the Waldorf .",How often does he go to the Waldorf?,5 times a hour,no,Frequency,5123_MC_TACO
So what do we call a substance that has only a single type of atom?,How long did it take for scientists to recognize atoms?,50 minutes,no,Event Duration,5111_MC_TACO
Estimates of his date of birth vary by well over a century.,How long did it take for him to be born?,4 years,no,Event Duration,1109_MC_TACO
Some are trying to escape eviction or an abusive marriage.,How frequently do they attempt to escape?,every 2 minutes,no,Frequency,8613_MC_TACO
I clapped her shoulder to show I was not laughing at her.,When did they clap her shoulder?,3:30 AM,no,Typical Time,686_MC_TACO
"The letterhead on correspondence still bears the Bexar County Legal Aid name, even though the organization is no longer.",When was the letterhead printed?,5 hours ago,no,Event Ordering,2352_MC_TACO
They also operate a legal arm that assists migrant workers from Texas to Kentucky.,What day of the week do migrant worker receive help?,they need to belong to a health club,no,Typical Time,3229_MC_TACO
At this early stage in its history Japan was already (for the most part) only nominally ruled by the emperor.,What did the people do next?,people started blaming the emperor for the defeat of the world war ii,yes,Event Ordering,3711_MC_TACO
Cathy Wallace did not always know what she wanted to be when she grew up.,How long did it take Cathy Wallace to grow up?,6 years,no,Event Duration,841_MC_TACO
These fossils showed that this entire area was once at the bottom of a sea.,What happened before the fossils were found?,the fossil disintegrated,no,Event Ordering,8258_MC_TACO
Tony and Ally like to play other games like hopscotch or jump rope but that day they joined the game of tag.,What time did the game of tag begin?,he play the game,no,Typical Time,1502_MC_TACO
"It's hail crackled across the comm, and Tara spun to retake her seat at the helm.",How long was the storm?,2 hours,yes,Event Duration,31_MC_TACO
He estimated the money will help handle at least another 180 cases next year.,Is the money helping people today?,yes,yes,Stationarity,7314_MC_TACO
"After the death of Spitamenes and his marriage to Roxana (Roshanak in Bactrian) to cement relations with his new satrapies, Alexander turned to the Indian subcontinent.",How often did Alexander start an Indian campaign?,each month,no,Frequency,4073_MC_TACO
She had it for a long time so it is now a dark brown color.,How often does she use it?,she uses it once a week,yes,Frequency,7167_MC_TACO
"During a blackout , the house is attacked by aliens , who had previously killed Joe and abducted Iris .",How long does a blackout last?,0.67 years,no,Event Duration,3753_MC_TACO
It's just this hard when I try to answer the question: Why do older Oklahomans need lawyers?,What happens after they explain why older Oklahomans need lawyers?,they offer legal services,yes,Event Ordering,1799_MC_TACO
The legitimization of gambling led to its increased legalization across the US.,How long did it take to legitimize gambling?,10 years,yes,Event Duration,4678_MC_TACO
"In the aftermath of Massaga and Ora, numerous Assakenians fled to the fortress of Aornos.",How long did it take the Assakenians to get to the fortress?,5 hours,yes,Event Duration,2884_MC_TACO
The group are chased by the assassins and Ronnie and Riya are killed .,When did the assassins start  chasing the group?,tomorrow,no,Typical Time,1885_MC_TACO
She had it for a long time so it is now a dark brown color.,How long has she had it?,fifteen years,yes,Event Duration,7191_MC_TACO
An indictment filed in the case detailed interactions between group members as they swapped and commented on images.,How long did the group members meet?,a few centuries,no,Event Duration,721_MC_TACO
"The Serbian, who beat Tsonga in the 2008 Australian Open final, ended the dream run of Australian 18-year-old Bernard Tomic.",How long did it take for the Serbian to beat Tsonga?,50 years,no,Event Duration,4806_MC_TACO
"This approach has been echoed by Lev Landau and Evgeny Lifshitz, and others, and has become standard.",What happened after the approach was made by Landau and Lifshitz?,it was accepted by others,yes,Event Ordering,752_MC_TACO
"Zarco and Teixeira were appointed co-go­vern­ors of Madeira, while Perestrelo was awarded Porto Santo.",How long were Zarco and Teixeira co-governors?,zarco and teixeira were co-governors for a term of 4 years,yes,Event Duration,1066_MC_TACO
"He says that instead of everyone dying , they could keep at least one of their princes alive .",What time was the prince saved?,12:00 PM,yes,Typical Time,1214_MC_TACO
"Construction on Hoover Dam (originally Boulder Dam, subsequently renamed for the president who authorized the project) began in 1931 in a canyon 45 miles (72 km) southeast of Las Vegas.",Is construction still ongoing for the Hoover Dam?,no,yes,Stationarity,5837_MC_TACO
Spanish rule dictated Portugal's inadvertent involvement in Spain's ongoing wars.,When did Portugal get involved?,yesterday,no,Typical Time,9203_MC_TACO
"Yes, Self, I am also bothered that this observation ignores half-eaten cheese sandwiches, incomplete insect collections, and locks of infants' hair, forgotten in closets, basements, and warehouses.",When did someone eat the cheese sandwich?,7 weeks ago,no,Typical Time,2521_MC_TACO
Deborah likes to add some sugar with the lettuce so that Billy and Sally know what it is like to have sweet tastes in their life.,How long does it take Deborah to wash and prepare the lettuce?,0.6 hours,no,Event Duration,2516_MC_TACO
"Among the travelers were Mohamed Atta and Abdul Aziz al Omari, who arrived at the airport in Portland, Maine.",At what time did the travelers arrive at the airport?,"the travelers arrived in the springtime, after 3 months of travel",no,Typical Time,5933_MC_TACO
It's just this hard when I try to answer the question: Why do older Oklahomans need lawyers?,How often do Oklahomans need lawyers?,each few seconds,no,Frequency,1780_MC_TACO
She told me that she was heading for a drink and slipped out of the crowd.,How long was she at the bar?,a few centuries,no,Event Duration,1405_MC_TACO
"If you have ever heard, ""Eat a good breakfast"", thats why.",What happens after you eat a good breakfast?,you feel full,yes,Event Ordering,6978_MC_TACO
"Zarco and Teixeira were appointed co-go­vern­ors of Madeira, while Perestrelo was awarded Porto Santo.",When did the ceremony take place?,the ceremony took place on inauguration day,yes,Typical Time,1047_MC_TACO
"By 1930 raw-material production had tripled the figure of 1900, manufactured goods had increased twelve-fold, and heavy industry was galloping towards maturity.",At what time of the day was manufacturing occurring?,dawn to evening,yes,Typical Time,873_MC_TACO
"In one of the paintings, a character has been cut out and is instead sitting on the painting's frame, perhaps taking a break from posing?",What did the artist do when he finished the painting?,the artist threw the painting into the trash when he finished it,no,Event Ordering,1045_MC_TACO
"Tommy and Suzy (brother and sister) went to the playground one afternoon with their mom and dad, Jan and Dean.",How often did they go to the playground?,three times per week,yes,Frequency,249_MC_TACO
"But the key figure in the sultanate was Tun Perak, bendahara (prime minister) and military commander.",When did Perak become prime minister?,early in life,no,Typical Time,1268_MC_TACO
"The lightscreen provided had informed me when and where official meals were taking place, but I hadn't bothered to acknowledge the invitations.",For how long did the official meals last?,1 second,no,Event Duration,9114_MC_TACO
"If you walked, you used chemical energy from the food you ate.",How long did you have energy for?,4 years,no,Event Duration,2580_MC_TACO
Tumble liked to walk around outside in the garden and dig small holes to sleep in.,How often does Tumble get to go outside?,every minute,no,Frequency,8627_MC_TACO
"He ran all around the pond, barking at the ducks.",How often does he bark at ducks?,once a second,no,Frequency,1010_MC_TACO
", native Archaic Indians began to develop a lasting hunting and gathering culture.",How often does a typical hunter hunt?,once a year,no,Frequency,1451_MC_TACO
"Other times, they play a game with Quack where they wave at Quack and laugh.",How often do they play a game with Quack ?,they play about once a week,yes,Frequency,2685_MC_TACO
"The ground is capable of supporting grass and trees, so wind erosion would not explain it.","After the land erodes, what happens to the trees?",the trees fall,yes,Event Ordering,7012_MC_TACO
"At current rates of use, coal will last about 300 years.",How long has been coal used for industrial needs?,"literally, for hundreds of seconds",no,Typical Time,1238_MC_TACO
"The dog accompanied him, frisking about him in friendly fashion.",How long did the dog accompany him?,90 minutes,yes,Event Duration,5477_MC_TACO
Then they laid down on some towels and enjoyed the sun.,How long did they enjoy under the sun?,they enjoyed 2 years under the sun,no,Event Duration,1615_MC_TACO
"Britain finally ceded the island to Spain in the year 1802, under the terms of the Treaty of Amiens.",What time of day was the treaty most likely signed?,9:00 AM,yes,Typical Time,6913_MC_TACO
She ordered the tastiest kind of each vegetable and the prettiest kind of each flower.,How often does she order vegetables and flowers?,three days a week,yes,Frequency,597_MC_TACO
She explained that Frank 's father was an alcoholic and that his mother worked as a toll booth operator .,How often does Frank's father drink?,once a minute,no,Frequency,1540_MC_TACO
"So from now on, Marsha takes extra special care to make sure Joey is safe and sound at all times.",How long had Joey been safe and sound?,during the past ten months,yes,Event Duration,50_MC_TACO
"In 27 percent of the cases, the charges were dismissed or the defendant was found not guilty.",Were defendants found guilty still found guilty two years later?,no the sentences changed after about a year,no,Stationarity,1667_MC_TACO
The two become close friends but do not reveal the secrets .,What time would the friends most likely meet for lunch?,12:00 AM,no,Typical Time,3881_MC_TACO
She told me that she was heading for a drink and slipped out of the crowd.,How long was she at the bar?,2 years,no,Event Duration,1408_MC_TACO
"In 27 percent of the cases, the charges were dismissed or the defendant was found not guilty.",Were defendants found guilty still found guilty two years later?,no the sentences changed after about a years,no,Stationarity,1666_MC_TACO
"By 1930 raw-material production had tripled the figure of 1900, manufactured goods had increased twelve-fold, and heavy industry was galloping towards maturity.",How many years did it take raw-material production to double?,50 years,no,Event Duration,891_MC_TACO
"The origin of the funds remains unknown, although we have a general idea of how al Qaeda financed itself during the period leading up to 9/11.",When did al Qaeda begin financing itself?,1929,no,Event Ordering,8853_MC_TACO
"By 1930 raw-material production had tripled the figure of 1900, manufactured goods had increased twelve-fold, and heavy industry was galloping towards maturity.",What happened after raw-materials production increased?,less goods were produced,no,Event Ordering,879_MC_TACO
The Minangkabau custom of freely electing their leaders provided the model for rulership elections in modern federal Malaysia.,What time do the elections occur?,6:00 AM,no,Typical Time,3253_MC_TACO
"They packed up the car and drove to the library, ready for a fun morning.",How long  was the drive?,they had fun,no,Event Duration,2466_MC_TACO
