context,question,label,answerA,answerB,answerC,answerD,answerE
"'But he told us that he could not drum up much money in or money for such a thing from Washington, partly, he thought, because these countries had dictatorial governments.",When did he first pursue financial interests in those countries?,B,every few seconds,once he got to washington,three times a century,lived on his own,None of the above
"'But he told us that he could not drum up much money in or money for such a trip from Washington, partly, he thought, because these countries had dictatorial governments.",What happened after he tried getting money from those countries?,A,he visited other countries,at 10 pm,they sold a little,big financial stocks carried the day,None of the above
"'But he told us that he could not drum up much money in or money for such a trip from Washington, partly, he thought, because these countries had dictatorial governments.",What happened after he tried getting money from those countries?,E,he had a small investment,a few seconds,hold a meeting to discuss issues,once every 30 centuries,None of the above
"'But he told us that he could not drum up much money in or money for such a trip from Washington, partly, he thought, because these countries had dictatorial governments.",What happened after he tried getting money from those countries?,D,3 seconds,always,yes they will never be worried,he tried other countries,None of the above
"'But he told us that he could not drum up much money in or money for such a trip from Washington, partly, he thought, because these countries had dictatorial governments.",How much did he try to get money from those countries?,C,a hour,9 times each year,for several days,it can take 1 second to grant a subpoena,None of the above
"'But he told us that he could not drum up much money in or money for such a trip from Washington, partly, he thought, because these countries had dictatorial governments.",How much did he try to get money from those countries?,E,for less than a month,5 hours,they can only eat 9 meal per day,for a few centuries,None of the above
"'But he told us that he could not drum up much money in or money for such a trip from Washington, partly, he thought, because these countries had dictatorial governments.",How exactly did he try to get money from those countries?,E,0.5 minute,1 day,twice a year,the first friday of each century,None of the above
"'But he told us that he could not drum up much money in or money for such a trip from Washington, partly, he thought, because these countries had dictatorial governments.",How much did he try to get money from those countries?,B,about 5 am,1 month,they are everywhere,every weekend,None of the above
"'But he told us that he could not drum up much money in or money for such a thing from Washington, partly, he thought, because these countries had dictatorial governments.",How exactly did he try to get money from those countries?,B,every other month,for several years,3 hours,at 10 pm,None of the above
"'But he told us that he could not drum up much money in or money for such a trip from Washington, partly, he thought, because these countries had dictatorial governments.",How much did he try to get money from those countries?,A,three questions,i touch her,she doubted that kind of performance is sustainable,they can only eat 1 meal per month,None of the above
"'But he told us that he could not drum up much money in or money for such a trip from Washington, partly, he thought, because these countries had dictatorial governments.",How exactly did he try to get money from those countries?,E,1 second,2 hours,6 years,once every century,None of the above
"'But he told us that he could not drum up much money in or money for such a thing from Washington, partly, he thought, because these countries had dictatorial governments.",How exactly did he try to get money from those countries?,C,for a few days,a few times every week,during several years,weeks,None of the above
"'But he told us that he could not drum up much money in or money for such a thing from Washington, partly, he thought, because these countries had dictatorial governments.",How much did he try to get money from those countries?,D,every day,every century,the u.k. and france keep their nuclear weapons,for several weeks,None of the above
"'But he told us that he could not drum up much money in or money for such a trip from Washington, partly, he thought, because these countries had dictatorial governments.",How much did he try to get money from those countries?,C,no she found it out overnight,a hour later,3 week,a couple hours,None of the above
"'But he told us that he could not drum up much money in or money for such a trip from Washington, partly, he thought, because these countries had dictatorial governments.",How much did he try to get money from those countries?,E,they can summon people,for seconds,right now,once every 3.33 -,None of the above
"'But he told us that he could not drum up much money in or money for such a trip from Washington, partly, he thought, because these countries had dictatorial governments.",Is he still trying to drum up interest in those countries?,E,it was 6 centuries,yes,1 minute,for a few years,None of the above
"'But he told us that he could not drum up much money in or money for such a trip from Washington, partly, he thought, because these countries had dictatorial governments.",Is he still trying to drum up interest in those countries?,D,a crime was committed involving the same comments and images,every day,people wrote to president roosevelt once a year,no he gave up,None of the above
"'But he told us that he could not drum up much money in or money for such a thing from Washington, partly, he thought, because these countries had dictatorial governments.",Is he still trying to drum up interest in those countries?,E,for a few years,3 week,and he never stopped,once a second,None of the above
'Bailey for the same for his three years of unpaid work at Indiana Pro Bono Commission.,How frequently does Bailey receive awards?,E,it was used by others,they can summon people,twice every night,they change at day time,None of the above
'Bailey for the same for his three years of unpaid work at Indiana Pro Bono Commission.,How frequently does Bailey receive awards?,E,twice a month,no the hijacker was caught,a day,in an hour,None of the above
'Bailey for the same for his three years of unpaid work at Indiana Pro Bono Commission.,How frequently does Bailey receive awards?,E,he emerged as the heir apparent,each few weeks,45 days,once each five seconds,None of the above
'Bailey for the same for his three years of unpaid work at Indiana Pro Bono Commission.,How frequently does Bailey receive awards?,E,they can summon demons,they went out to have supper,0.56 seconds,every night,None of the above
'Bailey for the same for his three years of unpaid work at Indiana Pro Bono Commission.,How frequently does Bailey receive awards?,E,each few seconds,every other year,everything went extinct,1.5 hours,None of the above
'Bailey for the same for his three years of unpaid work at Indiana Pro Bono Commission.,How frequently does Bailey receive awards?,E,once every 90 %,every few seconds,it was 9 years,every few years,None of the above
'Bailey for the same for his three years of unpaid work at Indiana Pro Bono Commission.,How frequently does Bailey receive awards?,E,years,the next day,every few hours,almost 20 days,None of the above
'Bailey for the same for his three years of unpaid work at Indiana Pro Bono Commission.,How frequently does Bailey receive awards?,E,a few times a day,every minute,four years ago,she wanted a jim beam,None of the above
'Bailey for the same for his three years of unpaid work at Indiana Pro Bono Commission.,How frequently does Bailey receive awards?,E,5 times a second,he worked hard,once per hour,10 hours,None of the above
'Bailey for the same for his three years of unpaid work at Indiana Pro Bono Commission.,How frequently does Bailey receive awards?,E,no he gave up,60 years,twice every day,everyday,None of the above
'Bailey for the same for his three years of unpaid work at Indiana Pro Bono Commission.,How frequently does Bailey receive awards?,E,he straining his back,1.5 hours,for 30 weeks,every few centuries,None of the above
'Bailey for the same for his three years of unpaid work at Indiana Pro Bono Commission.,How frequently does Bailey receive awards?,E,twice a night,pushkin liked to speak at high noon usually,they talked,on monday,None of the above
'Bailey for the same for his three years of unpaid work at Indiana Pro Bono Commission.,How frequently does Bailey receive awards?,B,the second friday of each month,once every year,a month ago,0.2 minute,None of the above
'Bailey for the same for his three years of unpaid work at Indiana Pro Bono Commission.,How frequently does Bailey receive awards?,C,once or twice,they can only eat 9 meal per day,once a year,each month,None of the above
'Bailey for the same for his three years of unpaid work at Indiana Pro Bono Commission.,How frequently does Bailey receive awards?,E,once a minute,two -,in the morning,yes they do this every century for fun,None of the above
"'Bailey "" the same for his three years of investigative work at Indiana Pro Bono Commission.",How frequently does Bailey receive awards?,A,each year,the u.k. and france keep their nuclear weapons,a few and,0.4 weeks,None of the above
'Bailey for the same for his three years of unpaid work at Indiana Pro Bono Commission.,When did Bailey receive their award?,E,a few days,1.5 hours,10 times a month,three seconds ago,None of the above
'Bailey for the best for his three years of professional work at Indiana Pro Bono Commission.,When did Bailey receive their award?,E,the work gets the award,each month,five -,a few times a week,None of the above
'Bailey for the same for his three years of unpaid work at Indiana Pro Bono Commission.,What happened after Bailey received their award?,C,no the hijacker was caught,puts it in a box,bailey was very happy,twice per day,None of the above
Bailey for the same for his three years of investigative work at Indiana Pro Bono Commission.,How big was Bailey's award ceremony?,D,twice every five seconds,every week,once every 30 days,an hour,None of the above
Bailey for the same for his three years of unpaid work at Indiana Pro Bono Commission.,How big was Bailey's award ceremony?,A,1 hour,18 hours,he went to high school,30 years,None of the above
Bailey for the best for his three years of professional work at Indiana Pro Bono Commission.,How big was Bailey's award ceremony?,E,2.5 times,21 hours,45 days,decade,None of the above
Bailey for the best for his three years of professional work at Indiana Pro Bono Commission.,How big was Bailey's award ceremony?,E,18 hours,several seconds,25 hours,7 hours,None of the above
Bailey for the best for his three years of professional work at Indiana Pro Bono Commission.,How big was Bailey's award ceremony?,E,3 weeks,15 days,35 hours,22 seconds,None of the above
Bailey for the best for his three years of professional work at Indiana Pro Bono Commission.,How big was Bailey's award ceremony?,E,18 years,he went to high school,only a few -,7 hours,None of the above
Bailey for the best for his three years of professional work at Indiana Pro Bono Commission.,How big was Bailey's award ceremony?,E,this was put into practice,for 6 years,5 seconds,he worked hard,None of the above
"'In 1930, the poet Muhammad Iqbal established a separate Muslim community in the northwest of India.",How much did Muhammad Iqbal make a proposal?,E,1 time per second,you know where she 'll turn up,once every week,yes they will always be worried,None of the above
"'In 1930, the poet Muhammad Iqbal has a separate Muslim family in the northwest of India.",How much did Muhammad Iqbal make a proposal?,E,two seconds,every day,for a few centuries,9 days,None of the above
"'In 1930, the poet Muhammad Iqbal has a separate Muslim family in the northwest of India.",How much did Muhammad Iqbal make a proposal?,D,no the hijacker was arrested,5 days,about a week,every month,None of the above
"'In 1930, the poet Muhammad Iqbal has a separate Muslim family in the northwest of India.",How much did Muhammad Iqbal make a proposal?,E,ten minutes,they change during night time,every hour,invite the terrorists to lunch,None of the above
"'In 1930, the poet Muhammad Iqbal has a separate Muslim family in the northwest of India.",How much did Muhammad Iqbal make a proposal?,E,two -,the first friday of each century,a second later,every second,None of the above
"'In 1930, the poet Muhammad Iqbal proposes a separate Muslim community in the northwest of India.",How much did Muhammad Iqbal make a proposal?,E,max and joey ran 20 % through the fields,1 time per day,he visited other countries,puts it in a gallery,None of the above
"'In 1930, the poet Muhammad Iqbal has a separate Muslim family in the northwest of India.",How long did Muhammad Iqbal make a proposal?,E,1.5 hours,she went to work for a fund-raising organization,they draw the images,every century,None of the above
"'In 1930, the poet Muhammad Iqbal proposes a separate Muslim community in the northwest of India.",How much did Muhammad Iqbal make a proposal?,E,18 times a year,1 times per week,each few seconds,each minute,None of the above
"'In 1930, the poet Muhammad Iqbal suggested a separate Muslim university in the northwest of India.",What time of the day was the proposal made?,E,midnight,every minute,one day,in summer,None of the above
"'In 1930, the poet Muhammad Iqbal suggested a separate Muslim university in the northwest of India.",What time of the day was the proposal made?,B,saturday,noon,monday,tuesday,None of the above
"'In 1930, the poet Muhammad Iqbal proposes a separate Muslim community in the northwest of India.",How much did Muhammad Iqbal consider his proposal?,E,0.56 seconds,1 second,lived with your father,big financial stocks carried the day,None of the above
"'In 1930, the poet Muhammad Iqbal proposes a separate Muslim community in the northwest of India.",How much did Muhammad Iqbal consider his proposal?,D,you know where she 'll turn up,once a century,it was filled with items,a month,None of the above
"'In 1930, the poet Muhammad Iqbal proposes a separate Muslim community in the northwest of India.",How much did Muhammad Iqbal consider his proposal?,C,a few questions,5 year,one week,a few weeks,None of the above
"'In 1930, the poet Muhammad Iqbal proposes a separate Muslim community in the northwest of India.",How much did Muhammad Iqbal consider his proposal?,E,90 years,45 seconds,several seconds,6 seconds,None of the above
"'In 1930, the poet Muhammad Iqbal proposes a separate Muslim community in the northwest of India.",How much did Muhammad Iqbal consider his proposal?,C,japan negotiating with the chinese government,they worked,one month,2 times each week,None of the above
"'In 1930, the poet Muhammad Iqbal proposes a separate Muslim community in the northwest of India.",How much did Muhammad Iqbal consider his proposal?,C,once per year,once a minute,1 week,for a day,None of the above
"'In 1930, the poet Muhammad Iqbal proposes a separate Muslim community in the northwest of India.",How much did Muhammad Iqbal consider his proposal?,E,every minute,9 days,one minute,5 days,None of the above
"'In 1930, the poet Muhammad Iqbal proposes a separate Muslim community in the northwest of India.",How much did Muhammad Iqbal consider his proposal?,E,two years,every 1 years,a century,usually a century,None of the above
"'In 1930, the poet Muhammad Iqbal proposes a separate Muslim community in the northwest of India.",How much did Muhammad Iqbal consider his proposal?,E,5 seconds,within a few hours,spanish authorities clear the price for the treatment,it was 2 million,None of the above
"'In 1930, the poet Muhammad Iqbal proposes a separate Muslim community in the northwest of India.",How much did Muhammad Iqbal consider his proposal?,E,pushkin liked to speak at high noon usually,no he gave up,once every 10 years,a generation,None of the above
"'In 1930, the poet Muhammad Iqbal proposes a separate Muslim community in the northwest of India.",How much did Muhammad Iqbal consider his proposal?,B,a spokesman declined to elaborate,a week,he places its on display,0.56 times a week,None of the above
"'In 1930, the poet Muhammad Iqbal proposes a separate Muslim community in the northwest of India.",How much did Muhammad Iqbal consider his proposal?,D,once per month,it was developed into practice,planes are hijacked once a minute,1 month,None of the above
"'In 1930, the poet Muhammad Iqbal proposes a separate Muslim community in the northwest of India.",How much did Muhammad Iqbal consider his proposal?,E,puts it into a gallery,1 minute,people wrote to president roosevelt once a year,9 times per year,None of the above
"'In 1930, the poet Muhammad Iqbal proposes a separate Muslim community in the northwest of India.",How much did Muhammad Iqbal consider his proposal?,E,an hour,1.67 seconds,they can summon people,10 minutes,None of the above
'There was even a small room in the back of one of the closets.,"After buying the house, how long did it take the owners to notice the room?",E,2 years,80 years,7.5,once every 30 centuries,None of the above
'There was even a small room in the back of one of the closets.,"After buying the house, how long did it take the owners to notice the room?",E,a few seconds,seconds,1 week before he turned 7.8 years old,twice a century,None of the above
'There was even a small room in the back of one of the closets.,"After buying the house, how long did it take the owners to notice the room?",C,the movie was released in the past hour,once he got to washington,1 week,once every day,None of the above
'There was even a small room in the back of one of the closets.,"After buying the house, how long did it take the owners to notice the room?",E,the u.k. and france keep their nuclear weapons,she wanted a jim beam,once a hour,1 second,None of the above
'There was even a secret room in the back of one of the closets.,What happened after the room was discovered?,A,the room was used,three times a week,they change during night time,fifty years,None of the above
'There was even a secret room in the back of one of the closets.,What happened after the room was discovered?,C,for a century,for several weeks,it was filled with items,for 15 years,None of the above
'There was even a small room in the back of one of the closets.,Was the room still there after the house was remodeled?,A,yes,they can only eat 1 meal per month,not speak to each other,they talked,None of the above
'There was even a small room in the back of one of the closets.,How long was the room utilized?,B,she doubted that kind of performance is sustainable,once a day,each hour,three times a minute,None of the above
'There was even a small room in the back of one of the closets.,How long was the room utilized?,A,once a night,it can take 1 year to grant a subpoena,a spokesman declined to elaborate,he emerged as a peacemaker,None of the above
'There was even a small room in the back of one of the closets.,How long was the room utilized?,E,2 times a seconds,twice a month,3 weeks,10 times a minute,None of the above
'There was even a small room in the back of one of the closets.,How long was the room utilized?,E,hold a meeting to discuss issues,once a minute,it can take 1 year to grant a subpoena,2 days,None of the above
'There was even a small room in the back of one of the closets.,How long was the room utilized?,C,for several weeks,once every 30 centuries,once a month,every month,None of the above
'There was even a small room in the back of one of the closets.,How long was the room utilized?,D,never,sometimes,always,rarely,None of the above
'There was even a small room in the back of one of the closets.,How long was the room utilized?,B,he places it on display,10 times a month,0.56 seconds,he puts it on display,None of the above
'There was even a small room in the back of one of the closets.,How long was the room utilized?,D,they were seeing different people,three seconds ago,10 days,every day,None of the above
'There was even a small room in the back of one of the closets.,How long was the room utilized?,A,every night,aircraft are hijacked once a week,four years ago,0.56 seconds,None of the above
"'At least some FAA officials in Boston Center and the New England Region knew that a hijacker on board American 11 had said ""we have some planes.""",How many are planes hijacked?,E,on most weekdays after school,he published books of his own,twice a week,every century,None of the above
"'At least some FAA officials in Boston Center and the New England Region knew that a hijacker on board American 11 had said ""we have some planes.""",How many are planes hijacked?,E,planes are hijacked once a week,every 2 -,in the evening,they get more food,None of the above
"'At least some FAA officials in Boston Center and the New England Region knew that a hijacker on board American 11 had said ""we have some planes.""",How many are planes hijacked?,E,not speak to each other,on most weekdays before school,all time,aircraft are hijacked once a week,None of the above
"'At least some FAA officials in Boston Center and the New England Region knew that a hijacker on board American 11 had said ""we have some planes.""",How many are planes hijacked?,E,at 5 pm,each minute,in the last 15 years,once a hour,None of the above
"'At least some FAA officials in Boston Center and the New England Region knew that a hijacker on board American 11 had said ""we have some planes.""",How many are planes hijacked?,E,planes are hijacked every a hour,they change when the type of material change,for seconds,until midnight,None of the above
"'At least some FAA officials in Boston Center and the New England Region knew that a hijacker on board American 11 had said ""we have some planes.""",How many are planes hijacked?,E,aircraft are hijacked once a hour,for a day,destroy it,he published books of his verses,None of the above
"'At least some FAA officials in Boston Center and the New England Region knew that a hijacker on board American 11 had said ""we have some planes.""",How many are planes hijacked?,E,a century,the who ignored the population,for 6 years,once per hour,None of the above
"'At least some FAA officials in Boston Center and the New England Region knew that a hijacker on board American 11 had said ""we have some planes.""",How many are planes hijacked?,E,lived on his own,a day ago,planes are hijacked once every week,every morning,None of the above
"'At least some FAA officials in Boston Center and the New England Region knew that a hijacker on board American 11 had said ""we have some planes.""",How many are planes hijacked?,E,planes are hijacked every a week,a century,50 years,no it depends on the tilt of the earths axis,None of the above
"'At least some FAA officials in Boston Center and the New England Region knew that a hijacker on board American 11 had said ""we have some planes.""",How many are planes hijacked?,E,a month,once a minute,the first friday of each month,planes are hijacked once a minute,None of the above
"'At least some FAA officials in Boston Center and the New England Region knew that a hijacker on board American 11 had said ""we have some planes.""",How many are planes hijacked?,E,planes are hijacked once a month,for several days,for several years,10 weeks,None of the above
"'At least some FAA officials in Boston Center and the New England Region knew that a hijacker on board American 11 had said ""we have some planes.""",How many are planes hijacked?,E,they came back,a week,forever,once a minute,None of the above
"'At least some FAA officials in Boston Center and the New England Region knew that a hijacker on board American 11 had said ""we have some planes.""",How many are planes hijacked?,E,every minute,it spend on the facility,once every 10 years,once a weekend,None of the above
"'At least some FAA officials in Boston Center and the New England Region knew that a hijacker on board American 11 had said ""we have some planes.""",How else did they know the plane had been hijacked?,E,twice a minute,another few centuries,only a few -,they can eat as often as they want to,None of the above
"'At least some FAA officials in Boston Center and the New England Region knew that a hijacker on board American 11 had said ""we have some planes.""",How else did they know the plane had been hijacked?,E,one century,they can only eat 9 meal per day,the work gets the award,found a new apartment,None of the above
"'At least some FAA officials in Boston Center and the New England Region knew that a hijacker on board American 11 had said ""we have some planes.""",How else did they know the plane had been hijacked?,D,yes they will always be worried,she wanted strong government,2.5 times,1 day,None of the above
"'At least some FAA officials in Boston Center and the New England Region knew that a hijacker on board American 11 had said ""we have some planes.""",How soon did they know the plane had been hijacked?,C,in the evening,three days,a day,not speak to each other,None of the above
"'At least some FAA officials in Boston Center and the New England Region knew that a hijacker on board American 11 had said ""we have some planes.""",How else did they know the plane had been hijacked?,D,everything went extinct,every day,twice a year,one day,None of the above
"'At least some FAA officials in Boston Center and the New England Region knew that a hijacker on board American 11 had said ""we have some planes.""",How else did they know the plane had been hijacked?,C,he places this on display,9 times each year,1 hour,three questions,None of the above
"'At least some FAA officials in Boston Center and the New England Region knew that a hijacker on board American 11 had said ""we have some planes.""",How else did they know the plane had been hijacked?,D,aircraft are hijacked once a hour,3,every 10 years,a few hours,None of the above
"'At least some FAA officials in Boston Center and the New England Region knew that a hijacker on board American 11 had said ""we have some planes.""",Will the plane still be hijacked next week?,E,1 days,yes,one year,every 1 years,None of the above
"'At least some FAA officials in Boston Center and the New England Region knew that a hijacker on board American 11 had said ""we have some planes.""",Will the plane still be hijacked next week?,A,no the hijacker was arrested,three times a century,they sold a little,no they remain ions,None of the above
"'At least some FAA officials in Boston Center and the New England Region knew that a hijacker on board American 11 had said ""we have some planes.""",Will the plane still be hijacked next week?,D,5 times a century,an minute,at dawn,no the hijacker was caught,None of the above
'The king of Gandhara then stops everyone from enjoying the little meal that is provided .,When did the king stop them from eating?,E,twice per minute,the first friday of each month,one a year,at midnight,None of the above
'The king of Gandhara then stops everyone from enjoying the little meal that is provided .,When did the king stop them from eating?,E,3 day,people wrote to president roosevelt once a year,5 seconds,never,None of the above
'The king of Gandhara then stops everyone from enjoying the little ##ness that is provided .,How much does the king prevent them from spending?,E,each year,it was 9 years,the third friday of each month,a minute,None of the above
'The king of Gandhara then stops everyone from enjoying the little ##ness that is provided .,How much does the king prevent them from spending?,E,it spend on the facility,hours,five seconds,a few seconds,None of the above
'The king of Gandhara then stops everyone from enjoying the little meal that is provided .,How much does the king prevent them from spending?,E,ten centuries,once every 10 years,age 19,60 years,None of the above
'The king of Gandhara then stops everyone from enjoying the little entertainment that is provided .,What happened after the king stopped them?,E,a year ago,the second friday of each month,1 time per day,she went to work for a fund-raising organization,None of the above
'The king of Gandhara then stops everyone from enjoying the little meal that is provided .,What happened after the king stopped them?,E,once a hour,they get more food,a few questions,found a new apartment,None of the above
'The king of Gandhara then stops everyone from enjoying the little ##ness that is provided .,How much are they able to eat?,E,10 minutes,once a minute,a day ago,the second friday of each month,None of the above
'The king of Gandhara then stops everyone from enjoying the little meal that is provided .,How many are they able to eat?,B,once a second,twice per day,gave speeches on social reform,every other month,None of the above
'The king of Gandhara then stops everyone from enjoying the little ##ness that is provided .,How much are they able to eat?,C,a spokesman declined to elaborate,it can take 1 week to grant a subpoena,they can only eat 1 meal per day,this was put into practice,None of the above
'The king of Gandhara then stops everyone from enjoying the little entertainment that is provided .,How much are they able to eat?,E,1 day,people letters to president roosevelt once a year,this was put into practice,twice per minute,None of the above
'The king of Gandhara then stops everyone from enjoying the little ##ness that is provided .,How much are they able to eat?,E,he places its on display,once each five seconds,until midnight,they can only eat 1 meal per minute,None of the above
'The king of Gandhara then stops everyone from enjoying the little ##ness that is provided .,How much are they able to eat?,C,yes they will sometimes be worried,once every century,once a day,she went to work for a fund-raising organization,None of the above
'The king of Gandhara then stops everyone from enjoying the little ##ness that is provided .,How much are they able to eat?,E,bailey was very happy,once a century,5 times,they can eat as often as they want to,None of the above
'The king of Gandhara then stops everyone from enjoying the little ##ness that is provided .,How much are they able to eat?,E,they change during night time,they can only eat 1 meal per month,they went out to have supper,he worked to shed his raider image,None of the above
'The king of Gandhara then stops everyone from enjoying the little ##ness that is provided .,How much are they able to eat?,E,once a month,one day,once every week,it was adopted by others,None of the above
'The king of Gandhara then stops everyone from enjoying the little ##ness that is provided .,How much are they able to eat?,E,twice per month,for 30 hours,begged for money on the bars,they can only eat 1 meal per century,None of the above
'The king of Gandhara then stops everyone from enjoying the little ##ness that is provided .,How much are they able to eat?,E,they can only eat 9 meal per day,"he unleashed his own , unstoppable , attack",every morning,they are everywhere,None of the above
'The king of Gandhara then stops everyone from enjoying the little ##ness that is provided .,How much are they able to eat?,E,they can only eat 1 meal per century,the two discuss a wide range of issues,she got a job,for several years,None of the above
'The king of Gandhara then stops everyone from enjoying the little entertainment that is provided .,How much are they able to eat?,B,every few years,they can only eat 1 meal per night,after he left earlier,5 times a minute,None of the above
"'Several tenants blame other tenants as perpetrators of the rift, however.",What will the tenants do as a victim of the rift?,C,they worked,every late night before lunch,they will move,every two years,None of the above
"'Several tenants blame other tenants as perpetrators of the rift, however.",What will the tenants do as a victim of the rift?,C,two years ?,3 seconds,not speak to each other,a century ago,None of the above
"'Several tenants blame other tenants as perpetrators of the rift, however.",What will the tenants do as a victim of the rift?,E,they go to their destinations,spouses incriminating each other,the subpoena will be granted after the committee is granted authority to grant subpoenas,many of whom operate small -,None of the above
"'Several tenants blame other tenants as perpetrators of the rift, however.",What will the tenants do as a victim of the rift?,E,every couple of months,yes they do it every century for fun,once a weekend,start the rift,None of the above
"'Several tenants blame other neighborhoods as perpetrators of the rift, however.",How long has there been a rift between neighbors?,E,each month,one hour,it can take 1 week to grant a subpoena,2 seconds,None of the above
"'Several tenants blame other people as perpetrators of the rift, however.",How long has there been a rift between neighbors?,E,several years,made peace,one second,put it in a gallery,None of the above
"'Several tenants blame other residents as perpetrators of the rift, however.",How long has there been a rift between neighbors?,E,2 times a seconds,forever,0.56 times a week,a few and,None of the above
"'Several tenants blame other neighborhoods as perpetrators of the rift, however.",How long has there been a rift between neighbors?,A,one week,a second later,1 hour,yes they do it every month for fun,None of the above
"'Several tenants blame other neighborhoods as perpetrators of the rift, however.",How long has there been a rift between neighbors?,C,twice a year,6.67 years,one year,at midnight,None of the above
"'Several tenants blame other neighborhoods as perpetrators of the rift, however.",How long has there been a rift between neighbors?,E,once every year,many of whom operate small -,once a night,2 ),None of the above
"'Several tenants blame other people as perpetrators of the rift, however.",How much do the tenants have issues with other people?,B,no the hijacker was arrested,every few weeks,4 seconds,at least 30 %,None of the above
"'Several tenants blame other people as perpetrators of the rift, however.",How much do the tenants have issues with other people?,E,they can only eat 1 meal per century,for less than a minute,every few seconds,for 30 seconds,None of the above
"'Several tenants blame other people as perpetrators of the rift, however.",How much do the tenants have issues with other people?,E,every minute,it was lost,once every month,when he was a child,None of the above
"'Several tenants blame other people as perpetrators of the rift, however.",How much do the tenants have issues with other people?,A,every month,every night,for a few centuries,twice every day,None of the above
"'Several tenants blame other people as perpetrators of the rift, however.",How much do the tenants have issues with other people?,E,made peace,every few years,aircraft are hijacked once a hour,usually a century,None of the above
"'Joe did and after he got a scratch on his head, he and his dad rode in the field on the field.",What time did Joe and his mom ride in the field?,E,a minute before it started,midnight,every hour,at dawn,None of the above
"'Joe did and after he got a tattoo on his back, he and his dad rode in the field on the team.",What did Joe and his brothers do after riding in the field?,A,they planted crops,many of whom operate small -,the intelligence committees exercise have,they worked,None of the above
"'Joe did and after he got a scratch on his back, he and his dad rode in the field on the field.",What did Joe and his mom do after riding in the field?,A,they worked,they both laughed,maybe,five questions,None of the above
"'Joe did and after he got a cast on his head, he and his dad rode in the field on the team.",What did Joe and his mom do after riding in the field?,E,he straining his back,each few weeks,maybe,planes are hijacked once every week,None of the above
"'Joe did and after he got a tattoo on his back, he and his dad rode in the field on the field.",What did Joe and his brothers do after riding in the field?,D,since he left earlier,each hour,before they laughed,go back and,None of the above
"'Joe did and after he got a cast on his head, he and his dad rode in the field on the ground.",What did Joe and his mom do after riding in the field?,B,pushkin liked to speak at high noon usually,sleep,forever,about 3 am,None of the above
"'Joe did and after he got a tattoo on his back, he and his dad rode in the field on the team.",What did Joe and his brothers do after riding in the field?,E,he worked to shed his raider image,weeks,the two discuss a wide range of issues,before a couple days,None of the above
"'Joe did and after he got a cast on his head, he and his dad rode in the field on the field.",What did Joe and his mom do after riding in the field?,B,at midnight,come back and,he places its on display,tomorrow,None of the above
"'Joe did and after he got a scratch on his back, he and his dad rode in the field on the field.",Will Joe and his brothers be riding in the field tomorrow?,E,a week,for seconds,three times a night,yes they do this every minute for fun,None of the above
"'Joe did and after he got a scratch on his back, he and his dad rode in the field on the field.",Will Joe and his brothers be riding in the field tomorrow?,E,every 10 centuries,yes they do it every minute for fun,a couple hours,the next century,None of the above
"'Joe did and after he got a scratch on his back, he and his dad rode in the field on the field.",Will Joe and his brothers be riding in the field tomorrow?,E,weeks,yes they do it every century for fun,they lost a hundred wars,about 10 am,None of the above
"'Joe did and after he got a scratch on his back, he and his dad rode in the field on the field.",Will Joe and his brothers be riding in the field tomorrow?,E,one second,israel seek elements needed to develop nuclear weapons,i asked if she had a jim beam,yes they do it every month for fun,None of the above
"'Joe did and after he got a scratch on his back, he and his dad rode in the field on the field.",Will Joe and his brothers be riding in the field tomorrow?,E,yes they do this every month for fun,it was filled with items,max and joey ran 20 % through the fields,10 minutes,None of the above
"'Joe did and after he got a scratch on his back, he and his dad rode in the field on the field.",Will Joe and his brothers be riding in the field tomorrow?,E,2 times each week,a few and,yes they do this every century for fun,usually a century,None of the above
"'Joe did and after he got a scratch on his back, he and his dad rode in the field on the field.",Will Joe and his brothers be riding in the field tomorrow?,E,during several years,maybe,only a few -,yes they do it all century for fun,None of the above
'Some government officials were worried that they would take care of such breakdowns.,How much were the  government officials concerned with terrorists?,E,1 day,a few hours,not speak to each other,50 years,None of the above
'Some government officials were worried that they would take care of such breakdowns.,How much were the  government officials concerned with terrorists?,E,"30 """,10 times a month,some years,1 hour,None of the above
'Some government officials were worried that they would take care of such breakdowns.,How much were the  government officials concerned with terrorists?,E,10 days,each day,2.44 years,five seconds,None of the above
'Some government officials were worried that they would take care of such breakdowns.,How much were the  government officials concerned with terrorists?,E,a second,twice every day,5 hours,once every 30 days,None of the above
'Some government officials were worried that they would take care of such breakdowns.,How much were the  government officials concerned with terrorists?,C,he attended to high school,five questions,a year,a few questions,None of the above
'Some government officials were worried that they would take care of such breakdowns.,How much were the  government officials concerned with terrorists?,E,in an week,destroys it,1 minute,a century ago,None of the above
'Some government officials were worried that they would take care of such breakdowns.,How much were the  government officials concerned with terrorists?,E,1 second,she was a pirate,for 15 years,three times a minute,None of the above
'Some government officials were worried that they would take control of such breakdowns.,What will the officials do to voice their concern?,E,invite the terrorists to lunch,10 years,they worked,he worked hard,None of the above
'Some government officials were worried that they would take control of such breakdowns.,What will the officials do to voice their concern?,B,about 1 am,try to reduce vulnerability,they ' re moved to the place in the facility they ' re required,max and joey ran 20 % through the fields,None of the above
'Some government officials were worried that they would take control of such breakdowns.,What will the officials do to voice their concern?,A,organize ways to kill the terrorists,quit the job,every day,start the rift,None of the above
