context,question,label,answerA,answerB,answerC,answerD,answerE
"A woman with brown hair , wearing a black sweater , black glasses , and dark pants is crossing a street pass three children while holding a lavender bag with white embroidery .",What is someone crossing?,C,a finch,while a van and garbage truck drive by,a street,as Spiderman,None of the above
"A woman with brown hair , wearing a black sweater , black glasses , and dark pants is crossing a street pass three children while holding a lavender bag with white embroidery .",Who is someone crossing?,D,a certain piece of fabric,to fix an injury to his arm,i am the boss,three children,None of the above
"A woman with brown hair , wearing a black sweater , black glasses , and dark pants is crossing a street pass three children while holding a lavender bag with white embroidery .",When is someone crossing something?,B,an animal,while holding a lavender bag with white embroidery,in a winter blizzard,their bicycles,None of the above
"A woman with brown hair , wearing a black sweater , black glasses , and dark pants is crossing a street pass three children while holding a lavender bag with white embroidery .",Who is being passed?,C,the states,break free of an opposing player,three children,Three dogs,None of the above
"A woman with brown hair , wearing a black sweater , black glasses , and dark pants is crossing a street pass three children while holding a lavender bag with white embroidery .",Who is holding something?,A,A woman with brown hair,while a referee makes a decision,while his opponent has rocks spelled out on his tray,""" Do nt tax me bro ! """,None of the above
"A woman with brown hair , wearing a black sweater , black glasses , and dark pants is crossing a street pass three children while holding a lavender bag with white embroidery .",What is someone holding?,D,onto a larger boat,to look for waterfowl,in front a burst of clouds,a lavender bag,None of the above
"A woman with brown hair , wearing a black sweater , black glasses , and dark pants is crossing a street pass three children while holding a lavender bag with white embroidery .",How is something held?,C,a variety of mechanical and computer equipment,with guns,with white embroidery,to photographer,None of the above
"A woman with brown hair , wearing a black sweater , black glasses , and dark pants is crossing a street pass three children while holding a lavender bag with white embroidery .",What is something held with?,A,white embroidery,a white polka dotted pink bow,a small wooden bucket,ragged and tattered clothing,None of the above
A guy wearing a blue # 5 jersey is hitting a yellow softball in a grassy field to some fielders .,Who is wearing something?,D,his head,white and maroon,a concrete wall,A guy,None of the above
A guy wearing a blue # 5 jersey is hitting a yellow softball in a grassy field to some fielders .,What did someone wear?,C,a female wearing a red sports shirt,while standing on a ship 's deck,a blue # 5 jersey,into a weathered old building,None of the above
A guy wearing a blue # 5 jersey is hitting a yellow softball in a grassy field to some fielders .,Who is hitting something?,A,A guy,a tabletop,a sailboat,by the waist dancing ballroom,None of the above
A guy wearing a blue # 5 jersey is hitting a yellow softball in a grassy field to some fielders .,What is someone hitting?,A,a yellow softball,A young boy and girl,An African American girl,over the dumpster,None of the above
A guy wearing a blue # 5 jersey is hitting a yellow softball in a grassy field to some fielders .,Where is someone hitting something?,A,in a grassy field,a notepad,Three girls,in a glass display,None of the above
A guy wearing a blue # 5 jersey is hitting a yellow softball in a grassy field to some fielders .,Who is something being hit to?,B,in a cowboy gear,to some fielders,as a girl rat,a broom,None of the above
"A woman wearing a brown scarf and sunglasses , walks through a shopping outlet .",Who wore something?,A,A woman,to have a cataract,a stoop,A rugby player,None of the above
"A woman wearing a brown scarf and sunglasses , walks through a shopping outlet .",What did someone wear?,B,a spare,a brown scarf and sunglasses,the dumpster,a cobble road,None of the above
"A woman wearing a brown scarf and sunglasses , walks through a shopping outlet .",Who walks somewhere?,B,for a picture,A woman,with a mighty punch,on a walkway,None of the above
"A woman wearing a brown scarf and sunglasses , walks through a shopping outlet .",Where does someone walk?,B,outside the door,through a shopping outlet,four music,the ground,None of the above
"A woman wearing a brown scarf and sunglasses , walks through a shopping outlet .",What does someone walk into?,C,a street,a tree,a shopping outlet,a sparse crowd,None of the above
We see a shot of a Korean historical drama with a man in bright red and yellow costume is in the foreground .,What does someone see?,B,The motorist,a shot of a Korean historical drama,a small wooden hammer,a tan and white cow,None of the above
three people over a culvert looking into the water beside an alligator caution sign,Who is looking?,D,Woman in red shift and long white socks,buying alcohol,their movements,three people,None of the above
three people over a culvert looking into the water beside an alligator caution sign,Where was someone looking?,A,into the water,by the ruts in the trail she is following,in an open outdoor area,on stage,None of the above
three people over a culvert looking into the water beside an alligator caution sign,What is something looking into?,A,the water,along a walkway,the telescope,a computer,None of the above
three people over a culvert looking into the water beside an alligator caution sign,Where is something looking?,D,in the pictures,the pile of leaves,a blue polo shirt and dark pants,beside an alligator,None of the above
A bird flying pass the walkway .,What is flying?,A,A bird,to its window,a newspaper,"a "" your daily cup "" t - shirt",None of the above
A bird flying pass the walkway .,Where is something flying?,B,A construction worker,pass the walkway,down a quaint city street,tell me why my music sucks,None of the above
A bird flying pass the walkway .,What passes somewhere?,A,A bird,while writing on a notepad,A teenage girl,at the rear of a crowd of people,None of the above
A bird flying pass the walkway .,What does something pass?,C,The woman,while a van and garbage truck drive by,the walkway,like everyone is getting good gas mileage here with all these beautiful scooters,None of the above
Military trainees in a rubber raft hook a ladder onto a larger boat .,Who hooks something?,C,army personnel,old military uniforms,Military trainees,Workers,None of the above
Military trainees in a rubber raft hook a ladder onto a larger boat .,What hooks something?,D,red tunics and black trousers,An woman,outside of an estate,Military trainees in a rubber raft,None of the above
Military trainees in a rubber raft hook a ladder onto a larger boat .,What does something hook?,A,a ladder,in order to carve small details onto the statue,to pull on a rope pulley,to be dressed in normal clothes,None of the above
Military trainees in a rubber raft hook a ladder onto a larger boat .,Where does someone hook something?,B,cement walls,onto a larger boat,for his appointment,along the sidewalk,None of the above
Military trainees in a rubber raft hook a ladder onto a larger boat .,What does someone hook something into?,C,along side a body of water,A man and little girl,a larger boat,a giant rock,None of the above
A man and woman taking a nap on a makeshift rip .,Who takes something?,B,down a tunnel,A man and woman,her hair,inside a room,None of the above
A man and woman taking a nap on a makeshift rip .,What does someone take?,A,a nap,down a sidewalk,A street performer,down a rapid body of water,None of the above
A man and woman taking a nap on a makeshift rip .,Where is something being taken?,D,from the sheath,a pot of boiling water,in tan shirt,on a makeshift rip,None of the above
A hand poking out of a black sweater sleeve is mixing an egg into a flour well with a fork .,What is mixing something?,D,in stage,A girl wearing a black bikini,on a grassy field,A hand,None of the above
A hand poking out of a black sweater sleeve is mixing an egg into a flour well with a fork .,What is being mixed?,C,at the camera,an art museum,an egg,A stream of men,None of the above
A hand poking out of a black sweater sleeve is mixing an egg into a flour well with a fork .,Where is something mixed?,D,A street market,up,forward,into a flour well,None of the above
A hand poking out of a black sweater sleeve is mixing an egg into a flour well with a fork .,What is something mixed into?,C,Two elderly men,into the camera,a flour well,across the shore,None of the above
A hand poking out of a black sweater sleeve is mixing an egg into a flour well with a fork .,How is something mixed?,A,with a fork,while waiting for a bus,at a winery,down a rapid body of water,None of the above
A toddler wearing a pink shirt and jeans is placed on a shopping cart while sitting next to a loaf of bread .,Who wears something?,B,in the late 60 's,A toddler,outside of a building,in the performance,None of the above
A toddler wearing a pink shirt and jeans is placed on a shopping cart while sitting next to a loaf of bread .,What did someone wear?,B,using a map and compass,a pink shirt and jeans,for balance,Two people,None of the above
A toddler wearing a pink shirt and jeans is placed on a shopping cart while sitting next to a loaf of bread .,Who is placed somewhere?,D,the little girl,Two kids,in an open outdoor area,A toddler,None of the above
A toddler wearing a pink shirt and jeans is placed on a shopping cart while sitting next to a loaf of bread .,What is placed?,C,to have a cataract,as directed by a director,A toddler wearing a pink shirt and jeans,as he presents a playbill or pamphlet to photographer,None of the above
A toddler wearing a pink shirt and jeans is placed on a shopping cart while sitting next to a loaf of bread .,Where is something placed?,B,to give one another a high - five,on a shopping cart,with a pestle,a conveyor,None of the above
A toddler wearing a pink shirt and jeans is placed on a shopping cart while sitting next to a loaf of bread .,What is something placed on?,B,in this shopping scene,a shopping cart,by the waist dancing ballroom,for a picture,None of the above
A toddler wearing a pink shirt and jeans is placed on a shopping cart while sitting next to a loaf of bread .,When is someone placed somewhere?,B,woman and little girl,while sitting next to a loaf of bread,on their bicycles,"a hat , moccasins , and a purple shirt",None of the above
A toddler wearing a pink shirt and jeans is placed on a shopping cart while sitting next to a loaf of bread .,Who is sitting somewhere?,A,A toddler,a yellow belt,into a microphone,the masonry of a wall,None of the above
A toddler wearing a pink shirt and jeans is placed on a shopping cart while sitting next to a loaf of bread .,Where is someone sitting?,B,an abstract elephant cartoon painted in horizontal rainbow stripes,next to a loaf of bread,lift a barbell,a pitchfork,None of the above
Two men are studying plans over a partially built reed aircraft mounted on sawhorses .,Who is studying something?,A,Two men,A man on horseback,while grasping the hand of a young lady,her bicycle,None of the above
Two men are studying plans over a partially built reed aircraft mounted on sawhorses .,What was built?,D,The motorist,Military trainees in a rubber raft,the telescope,reed aircraft,None of the above
Two men are studying plans over a partially built reed aircraft mounted on sawhorses .,What is mounted on something?,A,a partially built reed aircraft,an iron fence,to a finch,a team member from the gold team,None of the above
Teen girl using landscape binoculars to look for waterfowl .,Who is using something?,D,A pair of athletes,in the sunshine,a large cruise ship,Teen girl,None of the above
Teen girl using landscape binoculars to look for waterfowl .,What is someone using?,A,landscape binoculars,concrete,insulation,using landscape binoculars,None of the above
Teen girl using landscape binoculars to look for waterfowl .,Why is someone using something?,C,the rain gutters,A man with curly hair and glasses,to look for waterfowl,a bunch stuff,None of the above
Teen girl using landscape binoculars to look for waterfowl .,Who looks for something?,B,A young man,Teen girl,a safety vest and hard hat,A group of men,None of the above
Teen girl using landscape binoculars to look for waterfowl .,How does someone look for something?,B,their spindles,using landscape binoculars,with ribbons and evergreen,an electronic device,None of the above
A pastor on a cellphone in front of a stone building with five officers wearing green uniforms ; two are standing while the others are seated .,Who was wearing something?,D,Two older women,at conference,from behind,five officers,None of the above
A pastor on a cellphone in front of a stone building with five officers wearing green uniforms ; two are standing while the others are seated .,What did someone wear?,A,green uniforms,a fierce game of rugby,A woman with a red and orange apron,to a bowl of orange mush,None of the above
A pastor on a cellphone in front of a stone building with five officers wearing green uniforms ; two are standing while the others are seated .,When is someone standing?,C,the carpet,a sidewalk,while the others are seated,a blue polo shirt and dark pants,None of the above
A pastor on a cellphone in front of a stone building with five officers wearing green uniforms ; two are standing while the others are seated .,Who is seated?,C,alone,the snow,the others,pulled up,None of the above
Blond child is learning self deference .,Who is learning something?,C,A woman with brown hair,A young Asian man,Blond child,on his tray,None of the above
Blond child is learning self deference .,What is someone learning?,A,self deference,some personal belongings,his peers,religious figure,None of the above
An older man is riding his bike in front of a large cruise ship that is sitting in port .,Who is riding something?,C,in a parade,to bite each other in the face,An older man,A man and little girl,None of the above
An older man is riding his bike in front of a large cruise ship that is sitting in port .,What is someone riding?,C,by a candle,in sequence,his bike,during a speaking engagement,None of the above
An older man is riding his bike in front of a large cruise ship that is sitting in port .,Where is someone riding something?,C,by a solicitor,two little rabbits,in front of a large cruise ship,the shortstop,None of the above
An older man is riding his bike in front of a large cruise ship that is sitting in port .,What is sitting?,B,the wooden slats of a park bench,a large cruise ship,in her underwear,a device,None of the above
An older man is riding his bike in front of a large cruise ship that is sitting in port .,Where is something sitting?,A,in port,ready to play,in the sky,A man and a woman,None of the above
Here is a man wearing a gray hat with a flower boutonniere raising his glass .,Who is wearing something?,D,at a food booth,a notepad,from a cup,a man,None of the above
Here is a man wearing a gray hat with a flower boutonniere raising his glass .,What is someone wearing?,A,a gray hat,with an electric sander,a blue face mask,a swimming pool,None of the above
Here is a man wearing a gray hat with a flower boutonniere raising his glass .,Who is boutonniere something?,B,The girl in plaid,a man,a gray shirt,a sign above shops,None of the above
Here is a man wearing a gray hat with a flower boutonniere raising his glass .,What is being boutonniere?,D,in horizontal rainbow stripes,into the pile of leaves,on a pier,a flower,None of the above
Here is a man wearing a gray hat with a flower boutonniere raising his glass .,Who is raising something?,B,a pink shirt and chaps,a man,a port - a - potty,a punching bag,None of the above
Here is a man wearing a gray hat with a flower boutonniere raising his glass .,What is someone raising?,B,Two little girls,his glass,A man controlling a dog sled,as directed by a director,None of the above
Two female tennis players showing great sportsmanship at a tennis match .,Who showed something?,A,Two female tennis players,with another young boy,A few people with bags,in the suburbs,None of the above
Two female tennis players showing great sportsmanship at a tennis match .,What did someone show?,A,great sportsmanship,the sight,The nuptials,on the pavement of her campsite,None of the above
Two female tennis players showing great sportsmanship at a tennis match .,Where is something being shown?,A,at a tennis match,from a silver punch bowel,as though there was a beauty competition of some sort sponsored by the Chinese,a boy scout handbook,None of the above
Two female tennis players showing great sportsmanship at a tennis match .,What is something being shown from?,A,a tennis match,while sitting on a bench,next to a young woman with a straw hat,in tan,None of the above
A group of men dressed as American forefathers holding flags with a crowd and a brick building in the background .,Who was dressed?,D,another guy,The man,A woman designer,A group of men,None of the above
A group of men dressed as American forefathers holding flags with a crowd and a brick building in the background .,How was someone dressed?,B,at a religious ceremony,as American forefathers,A Chinese man,to their destination,None of the above
A group of men dressed as American forefathers holding flags with a crowd and a brick building in the background .,What was someone dressed as?,A,American forefathers,possibly for religious reasons,A throng of travelers,Native Americans,None of the above
A group of men dressed as American forefathers holding flags with a crowd and a brick building in the background .,Who held something?,D,the closure on her dress,a port - a - potty,the vision,A group of men,None of the above
A group of men dressed as American forefathers holding flags with a crowd and a brick building in the background .,How did someone hold something?,A,with a crowd and a brick building in the background,across the shore,A woman and her saint bernard dog,in a fierce game of rugby,None of the above
"At the rodeo , a patriotic cowboy and cowgirl prepare to ride with an american flag .",Where does someone prepare to do something?,A,At the rodeo,from a fermentation tank,A little child,on a skateboard launch off a ramp,None of the above
"At the rodeo , a patriotic cowboy and cowgirl prepare to ride with an american flag .",Who prepares to do something?,B,At a fencing tournament in a gymnasium,a patriotic cowboy and cowgirl,while playing guitar with passion,a team member from the gold team,None of the above
"At the rodeo , a patriotic cowboy and cowgirl prepare to ride with an american flag .",What does someone prepare?,A,to ride with an american flag,sitting along a wall,a horse 's hoof,down a tree - lined stream,None of the above
"At the rodeo , a patriotic cowboy and cowgirl prepare to ride with an american flag .",What does someone prepare to do?,B,in the framing of new building,ride with an american flag,A BMW rider,in his hand,None of the above
"At the rodeo , a patriotic cowboy and cowgirl prepare to ride with an american flag .",Where does someone ride with something?,B,around a computer printer,At the rodeo,to the bannister,A woman designer,None of the above
"At the rodeo , a patriotic cowboy and cowgirl prepare to ride with an american flag .",Who rides with something?,B,a small child,a patriotic cowboy and cowgirl,goggles and a red anorak,down a tunnel,None of the above
"At the rodeo , a patriotic cowboy and cowgirl prepare to ride with an american flag .",What does someone ride with?,A,an american flag,around a pit fire and wieners on a grill,Small girls,the stain glass window and elegant columns,None of the above
A scientist performs a lab test using fresh raw eggs .,Who performs something?,C,A guitarist,a cherry,A scientist,be making something to eat at a public showcase,None of the above
A scientist performs a lab test using fresh raw eggs .,What does someone perform?,A,a lab test,using a red ball,to avoid a mishap,A young girl,None of the above
A scientist performs a lab test using fresh raw eggs .,How does someone perform something?,D,them,a food booth,some personal belongings,using fresh raw eggs,None of the above
A scientist performs a lab test using fresh raw eggs .,Who uses something?,A,A scientist,the color spectrum,A small white and tan dog,around a tree,None of the above
A scientist performs a lab test using fresh raw eggs .,What is being used?,D,from hunting,eating pasta,the cafeteria - style food,fresh raw eggs,None of the above
"A football game between a gold team and a white team , a team member from the gold team is signing a time - out .",Who is signing something?,B,a four - wheel ATV,a team member from the gold team,the carpet,while his opponent has rocks spelled out on his tray,None of the above
"A football game between a gold team and a white team , a team member from the gold team is signing a time - out .",What is someone signing?,A,a time - out,Strange man,to accept jesus as your savior,over - sized blue tank top and shorts,None of the above
A group of older people are sitting in a pub playing various instruments .,Who is sitting somewhere?,D,A young kid,A woman with curly brown hair and a blue skirt,some paperwork,A group of older people,None of the above
A group of older people are sitting in a pub playing various instruments .,Where is someone sitting?,C,a coil of rope,while playing the board game Clue,in a pub,red fingers and an extravagant head piece,None of the above
A group of older people are sitting in a pub playing various instruments .,How is someone sitting somewhere?,B,Middle school aged kids,playing various instruments,down the road,at the sight,None of the above
A group of older people are sitting in a pub playing various instruments .,Who is playing something?,C,on his back,A bright carnival scene,A group of older people,on a very busy street,None of the above
A group of older people are sitting in a pub playing various instruments .,Where is someone playing something?,C,some food,back in her direction,in a pub,a spa,None of the above
A group of older people are sitting in a pub playing various instruments .,What is someone playing?,C,the harpsichord,a variety of mechanical and computer equipment,various instruments,within the path of a large outdoor meditation labyrinth,None of the above
"A paraplegic ( with prosthetics ) wearing a finish line banner , is walking next to a middle - aged man wearing a yellow t - shirt shirt .",Who is wearing something?,B,A person,A paraplegic,A female reporter,A bowler,None of the above
"A paraplegic ( with prosthetics ) wearing a finish line banner , is walking next to a middle - aged man wearing a yellow t - shirt shirt .",What is someone wearing?,C,A medical professional,like everyone is getting good gas mileage here with all these beautiful scooters,a finish line banner,a break,None of the above
"A paraplegic ( with prosthetics ) wearing a finish line banner , is walking next to a middle - aged man wearing a yellow t - shirt shirt .",Who is walking somewhere?,B,a stapler,A paraplegic,A person,a brown horse,None of the above
"A paraplegic ( with prosthetics ) wearing a finish line banner , is walking next to a middle - aged man wearing a yellow t - shirt shirt .",Where is someone walking?,B,A crane,next to a middle - aged man wearing a yellow t - shirt shirt,in front of a microphone,a brown horse,None of the above
"A paraplegic ( with prosthetics ) wearing a finish line banner , is walking next to a middle - aged man wearing a yellow t - shirt shirt .",Who is wearing something?,B,while another guy looks on,a middle - aged man,his guitar,as the preacher reads them their wedding vows,None of the above
"A paraplegic ( with prosthetics ) wearing a finish line banner , is walking next to a middle - aged man wearing a yellow t - shirt shirt .",What did someone wear?,C,a rubber tote,one of the players,a yellow t - shirt shirt,Santa 's sleigh,None of the above
Four women sitting on green outdoor furniture on a patio with a small doghouse in the backdrop .,Who is sitting?,A,Four women,while a man plays the recorder,for some romantic moments,behind some guard rails,None of the above
Four women sitting on green outdoor furniture on a patio with a small doghouse in the backdrop .,Where is someone sitting?,C,in front of them,as three others stand around in various poses,on green outdoor furniture,A large group of people,None of the above
Four women sitting on green outdoor furniture on a patio with a small doghouse in the backdrop .,What is someone sitting on?,C,in horizontal rainbow stripes,a large tree trunk,green outdoor furniture,green uniforms,None of the above
"Cool , refreshing snow flies as a skier speeds quickly down a wintry wonderland .",What flies?,B,someone,"Cool , refreshing snow",watching black smoke billow in the distance,in a museum,None of the above
"Cool , refreshing snow flies as a skier speeds quickly down a wintry wonderland .",Who flies?,A,a skier,on a city street,a brown horse,a face,None of the above
Many woman on laying on bellies on floor holding hands .,Who is laying?,A,Many woman,to shove his face into a fire by a candle,with passion,the floor,None of the above
Many woman on laying on bellies on floor holding hands .,Where is someone laying?,A,on bellies,a Budweiser sprint car,an Asian hair stylist,by rope,None of the above
Many woman on laying on bellies on floor holding hands .,Who is holding something?,C,next to a middle - aged man wearing a yellow t - shirt shirt,like a vampire,Many woman,each other,None of the above
"Performing some bike maintenance , the lady lubricates a frame before assembly is completed .",What is being performed?,D,past a red spaceship,"in a narrow , snowy passageway between two sets of trees",a pink clutch,some bike maintenance,None of the above
"Performing some bike maintenance , the lady lubricates a frame before assembly is completed .",Who performs something?,D,by a fountain and large vents,face and head,the court,the lady,None of the above
"Performing some bike maintenance , the lady lubricates a frame before assembly is completed .",Who lubricates something?,A,the lady,an iron decorative fence,great sportsmanship,A young and old Hindu,None of the above
"Performing some bike maintenance , the lady lubricates a frame before assembly is completed .",What does someone lubricate?,A,a frame,A helicopter,a white porcelain Asian figurine,in their hijab,None of the above
"Performing some bike maintenance , the lady lubricates a frame before assembly is completed .",When does someone lubricate something?,C,some paperwork,through a turn,before assembly is completed,during an archaeological excavation,None of the above
"overhead view of two people , a man and a woman , preparing a meal with potatoes .",Who is preparing something?,D,on a training mission,religious figure,pointing his finger forwards,two people,None of the above
"overhead view of two people , a man and a woman , preparing a meal with potatoes .",What is someone preparing?,B,A grocery store checkout,a meal,a computer screen,a diagram,None of the above
"overhead view of two people , a man and a woman , preparing a meal with potatoes .",How is something prepared?,D,"Cool , refreshing snow",A large class of graduates,with blue rope lightning and a reddish cattle skull wall fixture,with potatoes,None of the above
A woman shakes a cocktail .,Who shakes something?,A,A woman,down in the background,with an overview of a body of water,four men,None of the above
A woman shakes a cocktail .,What does someone shake?,B,a white guitar,a cocktail,down at a bus stop,A group of young adults,None of the above
A mailman with a rolling mailbag smiling at the camera in front of a wall topped with an iron decorative fence .,Who was smiling?,B,A man in a brown shirt,A mailman,a microscope,a punching bag,None of the above
A mailman with a rolling mailbag smiling at the camera in front of a wall topped with an iron decorative fence .,Where was someone smiling?,B,A group of women,at the camera,the water,The brown dog,None of the above
A mailman with a rolling mailbag smiling at the camera in front of a wall topped with an iron decorative fence .,What was someone smiling at?,B,Rays of sunlight,the camera,The man,A boy,None of the above
A mailman with a rolling mailbag smiling at the camera in front of a wall topped with an iron decorative fence .,What is topped with something?,C,on a cart,the water,a wall,there amish but there carrying maybe a cellphone or walkie talkie,None of the above
A mailman with a rolling mailbag smiling at the camera in front of a wall topped with an iron decorative fence .,How is something topped?,A,with an iron decorative fence,at the sight,in a snow covered area,Athletes wearing helmets and jackets displaying logos of multiple sponsors,None of the above
A mailman with a rolling mailbag smiling at the camera in front of a wall topped with an iron decorative fence .,What is something topped with?,A,an iron decorative fence,his glass,in the road,around a computer printer,None of the above
"A young person , wears red sandals , black pants and a blue shirt , his head and face covered with a checked scarf and carrying a rocket launcher .",Who wears something?,A,A young person,a dog sled,in the NBA march madness,Three children,None of the above
"A young person , wears red sandals , black pants and a blue shirt , his head and face covered with a checked scarf and carrying a rocket launcher .",What does someone wear?,A,red sandals,a brown dog and a white dog,A large black gorilla,on a flowered sofa,None of the above
"A young person , wears red sandals , black pants and a blue shirt , his head and face covered with a checked scarf and carrying a rocket launcher .",What is covered with something?,A,his head and face,in white,another man,An Indian women,None of the above
"A young person , wears red sandals , black pants and a blue shirt , his head and face covered with a checked scarf and carrying a rocket launcher .",How is something covered?,B,in an open outdoor area,with a checked scarf,Woman with yellow button up shirt and jeans,in front of the Drake hotel,None of the above
"A young person , wears red sandals , black pants and a blue shirt , his head and face covered with a checked scarf and carrying a rocket launcher .",What is something covered with?,C,line up her pool shot,outside of an estate,a checked scarf,a long - sleeve white shirt and checked bottoms,None of the above
"A young person , wears red sandals , black pants and a blue shirt , his head and face covered with a checked scarf and carrying a rocket launcher .",Who is carrying something?,A,A young person,A medical professional,into one of her works of art,at the front desk,None of the above
"A young person , wears red sandals , black pants and a blue shirt , his head and face covered with a checked scarf and carrying a rocket launcher .",What is someone carrying?,D,at a urinal,atop a metal beam,Road crew,a rocket launcher,None of the above
A young boy raises his head out of the pool water and takes a huge gulp of air during swimming lessons .,Who raises something?,C,their hometown,a spare,A young boy,a woman in a white sweater,None of the above
A young boy raises his head out of the pool water and takes a huge gulp of air during swimming lessons .,What does someone raise?,B,the stain glass window and elegant columns,his head,an office,by the goal post,None of the above
A young boy raises his head out of the pool water and takes a huge gulp of air during swimming lessons .,Where does someone raise something?,C,with painted red fingers and an extravagant head piece,at a local potluck,out of the pool water,"A man wearing a plaid shirt , gray vest , and brown tie",None of the above
A young boy raises his head out of the pool water and takes a huge gulp of air during swimming lessons .,Who takes something?,D,Two young children,the camera,A farm woman,A young boy,None of the above
A young boy raises his head out of the pool water and takes a huge gulp of air during swimming lessons .,What does someone take?,B,a pump,a huge gulp of air,to come to an agreement,old century viking costumes and armor,None of the above
A young boy raises his head out of the pool water and takes a huge gulp of air during swimming lessons .,When does someone take something?,C,American flags,on either side of him,during swimming lessons,the arrival of the solar eclipse,None of the above
Two older women working their spindles diligently .,Who is working?,D,Athletes,the finishing touches,An elderly oriental looking woman,Two older women,None of the above
Two older women working their spindles diligently .,What is someone working?,D,on some personal belongings,with adornment,the popup,their spindles,None of the above
A man carrying steel beams across a lumberyard .,Who is carrying something?,D,a shampoo,the little girl,in a karate gee,A man,None of the above
A man carrying steel beams across a lumberyard .,What is someone carrying?,C,with blue rope lightning and a reddish cattle skull wall fixture,granite,steel beams,cement walls,None of the above
A vibrant tracker hikes through a scenic trail .,What hikes?,D,a map and compass,to a seagull,The motorist driving a Toyota Camry,A vibrant tracker,None of the above
A vibrant tracker hikes through a scenic trail .,Where does something hike?,C,to get a puck to go their way,in front of a microphone,through a scenic trail,A kid,None of the above
A vibrant tracker hikes through a scenic trail .,What does something hike through?,A,a scenic trail,to put out a wildfire,a silver punch bowel,a bare tree,None of the above
Soccer player putting on moves that you thought could only happen in a video game .,Who is putting on something?,C,break free of an opposing player,Three black runners,Soccer player,out towards the crowd and the rest of the field,None of the above
Soccer player putting on moves that you thought could only happen in a video game .,What did someone thinke?,B,outside of an estate,could only happen in a video game,the sign,A group of youths,None of the above
Soccer player putting on moves that you thought could only happen in a video game .,What can happen?,C,a palace and the landscape,the thief escaping with the suitcase,Soccer player putting on moves,on a roundabout,None of the above
Soccer player putting on moves that you thought could only happen in a video game .,Where can something happen?,C,A man in a blue and white shirt,in his wake,in a video game,down a mountain,None of the above
"three young boys playing hear no evil , speak no evil , see no evil",Who is playing?,B,a turn,three young boys,her doll,in front of a gentleman,None of the above
"three young boys playing hear no evil , speak no evil , see no evil",What is someone playing?,D,a jumping trip,as he hammers a chisel at his work,on the masonry of a wall,hear no evil,None of the above
"three young boys playing hear no evil , speak no evil , see no evil",Who hears something?,A,three young boys,in a street,A crowd of people,to drill into a keg of beer,None of the above
"three young boys playing hear no evil , speak no evil , see no evil",What does someone hear?,B,through a turn,no evil,A small white and tan dog,A brown - haired woman,None of the above
"three young boys playing hear no evil , speak no evil , see no evil",Who speaks something?,B,with what looks like the belonging of someone homeless,three young boys,Girl,to photographer,None of the above
"three young boys playing hear no evil , speak no evil , see no evil",What does someone speak?,D,while a referee makes a decision,a horse,A brown - haired woman,no evil,None of the above
"three young boys playing hear no evil , speak no evil , see no evil",Who sees something?,A,three young boys,on his bicycle,while a black women stirs a pot,a pot of boiling water,None of the above
"three young boys playing hear no evil , speak no evil , see no evil",What is being seen?,C,A crowd,A kid,no evil,a rifle,None of the above
Girl in black jacket sifting powdered sugar over a chocolate cake .,What is someone sifting?,C,for maple syrup,black smoke billow,powdered sugar,ice cream,None of the above
Girl in black jacket sifting powdered sugar over a chocolate cake .,Where is something being sifted?,A,over a chocolate cake,fresh raw eggs,on a city street,Odd child with fake eye barrows and a cut on his lip,None of the above
A caucasian man wearing a short - sleeved black shirt and a dark - skinned woman wearing a sleeveless dress are working at a conveyor .,Who is wearing something?,D,a distant rainbow,A man in overalls,on her back,A caucasian man,None of the above
A caucasian man wearing a short - sleeved black shirt and a dark - skinned woman wearing a sleeveless dress are working at a conveyor .,What did someone wear?,B,a slide,a short - sleeved black shirt,on a racetrack,in a fierce game of rugby,None of the above
A caucasian man wearing a short - sleeved black shirt and a dark - skinned woman wearing a sleeveless dress are working at a conveyor .,What was someone wearing?,A,a sleeveless dress,heavy makeup,down a quaint city street,feed an apple to a horse,None of the above
A caucasian man wearing a short - sleeved black shirt and a dark - skinned woman wearing a sleeveless dress are working at a conveyor .,Who is working?,C,A group of boys,This group,A caucasian man,a frame,None of the above
A caucasian man wearing a short - sleeved black shirt and a dark - skinned woman wearing a sleeveless dress are working at a conveyor .,Where is someone working?,B,down the fairway,at a conveyor,a riot,field,None of the above
A caucasian man wearing a short - sleeved black shirt and a dark - skinned woman wearing a sleeveless dress are working at a conveyor .,What is someone working at?,B,A crowd,a conveyor,a stone cottage wall,on a notepad,None of the above
A caucasian man wearing a short - sleeved black shirt and a dark - skinned woman wearing a sleeveless dress are working at a conveyor .,What is someone wearing?,D,jeans and a t - shirt,a cocktail,with a broom,a sleeveless dress,None of the above
A man in a black coat walks past a red spaceship with a parking ticket stuck to its window .,Who walks somewhere?,A,A man,the bird,on a flowered sofa,down at a table,None of the above
A man in a black coat walks past a red spaceship with a parking ticket stuck to its window .,Who walks into something?,A,A man in a black coat,A middle - aged man,a blaze,"smores with tinfoil , Hershey 's chocolate , graham crackers and marshmallows",None of the above
A man in a black coat walks past a red spaceship with a parking ticket stuck to its window .,Where does someone walk?,C,a horse 's hoof,on the masonry of a wall,past a red spaceship,while a crowd looks on,None of the above
A man in a black coat walks past a red spaceship with a parking ticket stuck to its window .,What does someone walk through?,D,a plywood,his soccer ball,the wooden slats of a park bench,a red spaceship,None of the above
